target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,green_conditions,red_flags,stage4c_conditions,production_scoring_changed,normalization_point
NUCLEAR_SMR_GRID_POLICY,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,18,22,10,14,12,2,5,nuclear_policy|smr_keyword|ai_power_demand|reactor_restart,ppa_or_power_contract|licensed_project|equipment_revenue_path|financing_visible,long_term_power_contract|low_licensing_risk|fy2_fy3_revenue_visibility|cost_overrun_risk_low,actual_ppa_or_long_term_contract|licensed_or_restarted_asset|equipment_revenue_path|legal_risk_low|financing_visible,licensing|cost_overrun|legal_delay|project_financing|loi_only|smr_theme_only,project_cancelled|cost_overrun|licensing_delay|financing_failure|ppa_missing,false,"Nuclear/SMR is Watch-to-Green: existing nuclear PPA can score, but SMR theme or LOI alone cannot."
RARE_METALS_STRATEGIC_MATERIALS,MATERIALS_SPREAD_STRATEGIC,RARE_METALS_STRATEGIC_MATERIALS,GREEN_POSSIBLE,18,18,18,14,13,5,5,rare_earth_keyword|lithium_or_copper_price|geopolitical_supply_chain|government_support,government_support|price_floor|offtake_agreement|production_capacity,government_or_defense_customer|long_term_offtake|fcf_conversion|production_execution,government_support|price_floor_or_purchase_guarantee|long_term_offtake|production_capacity|fcf_conversion,commodity_price|geopolitical_policy|project_execution|governance_event|price_theme_only,commodity_price_collapse|project_execution_failure|governance_dispute|offtake_failure,false,"Strategic metals can be Green only when offtake, price floor, production, and FCF are source-backed."
DATA_CENTER_REIT_INFRASTRUCTURE,CONSTRUCTION_REAL_ESTATE_MATERIALS,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,18,23,18,13,13,5,5,ai_datacenter_demand|reit_or_idc_asset|hyperscale_tenant|liquid_cooling_facility,hyperscale_lease|power_cooling_land_secured|occupancy_high|ffo_affo_growth,tenant_quality|funding_cost_controlled|ffo_affo_visibility|power_water_constraint_low,hyperscale_tenant_long_lease|power_cooling_land_secured|ffo_affo_growth|occupancy_high|funding_cost_controlled,capex_burden|power_water_constraint|tenant_concentration|funding_cost|asset_not_operational,capex_burden|funding_cost_spike|tenant_loss|power_water_constraint|affo_dilution,false,"Data-center REITs are Green-possible, but FFO/AFFO, occupancy, tenant quality, and funding cost are gates."
UTILITIES_AI_POWER_PPA,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,17,22,12,12,10,5,5,ai_power_demand|utility_power_supply|nuclear_life_extension|ppa_headline,long_term_ppa|tariff_or_price_visible|capacity_secured|regulatory_risk_low,stable_cash_flow|fcf_or_dividend_stability|grid_connection_confirmed|debt_risk_low,long_term_ppa|power_sale_price_visible|capacity_secured|regulatory_risk_low|fcf_or_dividend_stability,regulation|tariff|debt|grid_connection|capex|power_demand_theme_only,tariff_no_pass_through|debt_capex_burden|grid_connection_delay|policy_reversal,false,"Utilities with AI PPA can score, but power-demand theme without tariff/FCF visibility stays Watch."
SMART_GRID_FLEXIBLE_DATACENTER,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,WATCH_YELLOW_FIRST,18,18,16,13,11,2,6,smart_grid|ess|grid_interactive_datacenter|peak_power_reduction_demo,datacenter_or_utility_customer|repeat_software_or_service_revenue|regulatory_incentive|commercialization_path,paid_grid_flexibility_service|verified_peak_reduction|utility_adoption|op_fcf_conversion,datacenter_or_utility_customer|repeat_software_or_service_revenue|verified_peak_reduction|regulatory_incentive|commercialization_path,commercialization|utility_adoption|regulation|project_delay|poc_only|no_revenue_model,utility_adoption_delay|project_delay|no_revenue_model|regulatory_incentive_failure,false,"Smart-grid flexibility is Watch-to-Green: PoC is not enough without customer, repeat revenue, and commercialization."
NORTH_KOREA_POLICY_EVENT,POLICY_GEOPOLITICAL_EVENT,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,5,5,5,8,5,0,3,inter_korea_policy|dmz_theme|kaesong_reopen_expectation|kumgang_tourism_expectation,actual_business_reopen_contract|sanction_relief_confirmed|cash_flow_path,multi_year_contract|revenue_recognition|security_risk_low,actual_contract|revenue_recognition|security_risk_low|sanction_relief_confirmed,extreme_policy_security|military_risk|sanction|event_only|no_cash_flow,military_security_risk|sanction_tightening|diplomacy_breakdown|business_suspension,false,North Korea policy themes are RedTeam-first event premium; Green is effectively blocked without real contracts and cash flow.
METAVERSE_NFT_THEME,PLATFORM_CONTENT_SW_SECURITY,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,5,5,5,6,5,0,3,nft_keyword|metaverse_keyword|digital_collectible|token_volume_spike,repeat_platform_revenue|stable_fee_revenue|regulatory_risk_low,eps_fcf_conversion|customer_lock_in|sustainable_transaction_fee,repeat_platform_revenue|stable_fee_revenue|eps_fcf_conversion|regulatory_risk_low,extreme_theme|no_revenue|liquidity_collapse|price_only_rally|speculative_volume,liquidity_collapse|revenue_model_failure|regulatory_hit|user_activity_collapse,false,NFT/metaverse is RedTeam-first; separate regulated payment/tokenization infra from speculative NFT themes.
ADVANCED_MATERIAL_SPECULATIVE_THEME,MATERIALS_SPREAD_STRATEGIC,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,5,5,5,5,5,0,3,superconductor_keyword|mxene_keyword|graphene_keyword|quantum_policy|sample_or_patent,commercial_customer|product_supply_contract|revenue_recognition,repeat_revenue|eps_fcf_conversion|customer_contracts,product_supply_contract|commercial_customer|revenue_recognition|eps_fcf_conversion,extreme_speculative|no_commercialization|paper_only|sample_only|no_contract,commercialization_failure|contract_absence|technology_reversal|liquidity_collapse,false,"Advanced-material narratives are Green-restricted until products, customers, contracts, revenue, and FCF exist."
VALUE_UP_SHAREHOLDER_RETURN,FINANCIAL_CAPITAL_DIGITAL,VALUE_UP_SHAREHOLDER_RETURN,GREEN_POSSIBLE,12,18,4,20,25,10,5,low_pbr|value_up_index|buyback_or_dividend|nav_discount,roe_improvement|buyback_cancellation|repeat_shareholder_return|dividend_sustainability,pbr_roe_frame_change|nav_discount_close|capital_return_execution|fcf_support,roe_improvement|actual_cancellation|repeat_shareholder_return|dividend_sustainability|nav_or_pbr_discount_logic,governance|execution|low_roe|no_cancellation|index_inclusion_only|weak_fcf,return_execution_failure|roe_deterioration|governance_risk|fcf_shortfall,false,"Value-up is Green-possible only with ROE, actual cancellation, repeat return, and discount closure evidence."
AI_DATA_CENTER_INFRASTRUCTURE,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,22,23,20,14,12,2,5,ai_capex|power_cooling_server_network|datacenter_reit|power_ppa,orders_or_leases|capex_visibility|op_eps_revision|bottleneck_asset,multi_axis_infra_bottleneck|delivery_or_lease_revenue|project_delay_low|old_frame_removed,orders_or_leases|power_or_cooling_or_network_bottleneck|op_eps_revision|capex_visibility|project_delay_low,ai_capex_cut|project_delay|grid_constraint|overbuild|no_revenue_exposure,ai_capex_cut|project_delay|grid_interconnection_delay|overbuild|revenue_exposure_failure,false,"AI data-center infrastructure is Green-possible, but each sub-axis needs its own evidence rather than AI-theme grouping."
