case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
sk_hynix_hbm_rerating_success_case,MEMORY_HBM_CAPACITY,000660,SK하이닉스 HBM 리레이팅,KR,structural_success,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,,2026-05-14,2026-05-14,2026-05-14,,hbm_demand|ai_memory_rerating|market_cap_rerating|multi_year_eps_revision_candidate,crowding|capex_reversal|customer_price_resistance,structural_ai_bottleneck_aligned_plus_4b_watch,needs_price_backfill,false,"HBM is the strongest R2 structural success reference, but the same price path requires 4B-watch after broad recognition."
applied_materials_ai_packaging_growth_case,SEMI_EQUIPMENT_CAPEX,AMAT,Applied Materials AI packaging growth,US,success_candidate,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,,2026-05-14,,,,guidance_raise|semiconductor_equipment_growth|packaging_revenue_growth|after_hours_price_up_3pct,customer_capex_peak|order_pushout|export_control,early_aligned_candidate,needs_price_backfill,false,"AI CAPEX is showing up in equipment and packaging guidance, but equipment remains CAPEX-cycle Watch-to-Green."
nvidia_cowos_l_transition_case,ADVANCED_PACKAGING_COWOS_EMIB,NVDA,NVIDIA CoWoS-L transition,US,success_candidate,ADVANCED_PACKAGING_COWOS_EMIB,GREEN_POSSIBLE,,2025-01-16,,,,cowos_l|advanced_packaging_bottleneck|capacity_still_bottleneck|blackwell_packaging,capa_expansion|bottleneck_normalization|yield_issue,packaging_bottleneck_reference,needs_price_backfill,false,CoWoS demand did not vanish; technology mix shifted. CAPA expansion still creates 4B risk.
broadcom_optical_pcb_leadtime_case,OPTICAL_NETWORKING_AI_DATACENTER,AVGO,Broadcom optical PCB lead-time bottleneck,US,success_candidate,OPTICAL_NETWORKING_AI_DATACENTER,GREEN_POSSIBLE,,2026-03-24,,,,optical_transceiver_pcb_leadtime|lead_time_6_weeks_to_6_months|laser_supply_constraint|ai_datacenter_network,new_capacity|lead_time_normalization|customer_concentration,optical_pcb_bottleneck_reference,needs_price_backfill,false,"AI bottleneck extends into optical networking and PCB, but Green still needs customer/order/OP evidence."
foxconn_ai_server_rack_growth_case,AI_SERVER_ODM_EMS_SUPPLY_CHAIN,2317.TW,Foxconn AI server rack growth,TW,success_candidate,AI_SERVER_ODM_EMS_SUPPLY_CHAIN,WATCH_YELLOW_FIRST,,2026-05-14,,,,ai_server_rack_shipments_double|q1_profit_up|ai_server_capex_up|server_revenue_growth,consignment_model|low_margin|inventory|index_underperformance,ai_revenue_but_margin_watch,needs_price_backfill,false,"AI server revenue success is not HBM-style Green unless margin, inventory, and customer concentration pass."
ecolab_coolit_liquid_cooling_case,AI_DATA_CENTER_COOLING,ECL,Ecolab-CoolIT liquid cooling,US,success_candidate,AI_DATA_CENTER_COOLING,GREEN_POSSIBLE,,2026-03-20,,,,liquid_cooling|nvidia_amd_exposure|cooling_revenue_550m|eps_accretion_2028,mna_overpay|debt_financing|eps_accretion_delay|premarket_price_down,strategic_cooling_success_candidate_but_mna_debt_watch,needs_price_backfill,false,"AI cooling is Green-capable, but acquisition price, debt, and EPS accretion timing must be validated."
coreweave_openai_contract_ipo_case,NEOCLOUD_GPU_RENTAL,CRWV,CoreWeave OpenAI contract IPO,US,4b_watch,NEOCLOUD_GPU_RENTAL,WATCH_YELLOW_FIRST,,2025-03-20,,,,openai_contract_11_9b|gpu_cloud_revenue_growth|ipo_valuation_target,microsoft_concentration|net_loss|high_debt|gpu_depreciation,ai_contract_visibility_but_leverage_risk,needs_price_backfill,false,"Large contracts improve visibility, but high debt, customer concentration, and FCF risk block Green."
coreweave_downsized_ipo_debt_case,NEOCLOUD_GPU_RENTAL,CRWV,CoreWeave downsized IPO debt watch,US,failed_rerating,NEOCLOUD_GPU_RENTAL,WATCH_YELLOW_FIRST,,,,,,gpu_cloud_contracts|revenue_growth,ipo_downsize|debt_8b|fcf_negative|microsoft_revenue_62pct|customer_concentration,neocloud_4c_watch_debt_customer_concentration,needs_source_date_and_price_backfill,false,Downsized IPO plus debt/customer concentration shows why neocloud is high-risk Watch rather than Green.
supermicro_ey_resignation_case,REDTEAM_ACCOUNTING_TRUST_OVERLAY,SMCI,Supermicro EY resignation,US,4c_thesis_break,REDTEAM_ACCOUNTING_TRUST_OVERLAY,REDTEAM_FIRST,2023-01-01,,,,2024-10-30,ai_server_revenue_rerating|market_cap_44b_to_67b,auditor_resignation|filing_delay|internal_control_issue|hindenburg_accounting_claim|doj_probe,early_rerating_success_then_hard_4c,needs_price_backfill,false,AI server growth cannot overcome auditor resignation or filing/trust breakdown; R2 accounting trust is a hard gate.
samsung_ai_boom_labor_execution_case,COMMODITY_MEMORY_GENERAL_SEMI,005930,삼성전자 AI boom labor/execution RedTeam,KR,failed_rerating,COMMODITY_MEMORY_GENERAL_SEMI,WATCH_YELLOW_FIRST,,2026-05-15,,,,ai_memory_recovery|one_stop_semiconductor_strategy,labor_strike|execution_risk|foundry_yield_risk|talent_retention_risk,execution_labor_redteam,needs_price_backfill,false,"Large semiconductor incumbents still need execution, foundry yield, HBM competitiveness, and labor stability checks."
commodity_memory_price_rebound_case,COMMODITY_MEMORY_GENERAL_SEMI,MEMORY_REBOUND,Commodity DRAM/NAND rebound reference,GLOBAL,cyclical_success,COMMODITY_MEMORY_GENERAL_SEMI,WATCH_YELLOW_FIRST,,,,,,memory_spot_price_rebound|dram_nand_contract_price_rebound|op_eps_recovery,supply_rebound|spot_reversal|hbm_lag,cyclical_success_not_hbm_green,needs_price_backfill,false,"Commodity memory can produce strong EPS recovery, but it is not the same visibility profile as HBM."
cxl_glass_substrate_theme_case,AI_CHIP_FABRIC_INFRA,CXL_GLASS_THEME,CXL/glass substrate theme-only reference,GLOBAL,overheat,AI_CHIP_FABRIC_INFRA,WATCH_YELLOW_FIRST,,,,,,cxl_keyword|glass_substrate_keyword|neuromorphic_theme,theme_without_revenue|no_customer_validation|no_mass_production|valuation_overheat,theme_without_revenue,missing_price_data,false,"CXL, glass substrate, and neuromorphic tags remain Watch/Red until adoption, yield, and revenue are real."
