target_id,stage1,stage2,stage3,stage4b,stage4c,loop3_penalty_axes,gate_only,production_scoring_changed
EXPORT_RECURRING_CONSUMER,k_food_export_growth|ramen_viral|capa_expansion|overseas_channel_news,asp_change|us_europe_shipments|op_revision_1q|eps_revision_1q,repeat_orders|channel_sell_through|opm_improvement|fy1_fy2_eps_revision|inventory_stable,k_food_rerating_crowded|target_price_revision_crowded|capacity_expansion_priced,recall_flag|country_sales_ban|foreign_inventory_growth|channel_stuffing|single_product_demand_fatigue,single_product|recall|foreign_inventory|channel_stuffing,false,false
K_FOOD_SINGLE_HERO_PRODUCT,hero_product_viral|spicy_challenge|export_growth|single_sku_awareness,asp_change|sku_expansion|capa_expansion|op_eps_revision,multi_sku_portfolio|multi_country_sell_through|repeat_purchase|opm_improvement,hero_product_narrative_overheated|single_product_story_crowded,country_recall|food_safety_issue|single_product_demand_fatigue|foreign_inventory_growth,hero_product_dependency|recall|viral_safety|foreign_inventory,false,false
K_BEAUTY_EXPORT_DISTRIBUTION,us_japan_europe_export_growth|k_beauty_viral|brand_awareness|ecommerce_sales_growth,sephora_ulta_target_costco_channel|offline_channel_entry|online_sales_growth|op_eps_revision,sell_through|reorder_signal|opm_fcf_improvement|china_dependency_down|inventory_receivables_stable,k_beauty_group_overheated|channel_entry_priced|indie_brand_valuation_surge,tariff_flag|import_review|offline_sell_through_failure|inventory_growth|receivables_growth|china_channel_slowdown,tariff|sell_through|inventory|receivables|china_slowdown,false,false
BEAUTY_DEVICE_EXPORT,beauty_device_viral|tiktok_sales|influencer_endorsement|device_awareness,device_unit_sales|amazon_tiktok_shop_sales|offline_channel_entry|overseas_sales_ratio,device_asp_stable|repeat_skincare_consumables|device_margin|opm_improvement,beauty_device_narrative_overheated|share_price_multiple_expansion|celebrity_endorsement_crowded,device_competition|safety_regulatory_issue|tariff|hero_product_fatigue,4b_crowding|device_competition|regulation|tariff,false,false
BEAUTY_OEM_ODM_SUPPLYCHAIN,global_k_beauty_order_growth|brand_customer_growth|production_utilization,customer_diversification|repeat_orders|capacity_utilization|opm_improvement,overseas_customer_diversification|repeat_orders|eps_fcf_bodyweight_change|receivables_stable,beauty_supply_chain_premium_crowded,customer_sell_through_slowdown|inventory_growth|receivables_growth|customer_concentration,customer_diversification|inventory|receivables|brand_sell_through,false,false
RETAIL_CONVENIENCE_OFFLINE,same_store_sales_growth|pb_mix|store_count|overseas_store,store_profitability|pb_mix_ratio|opm_improvement|fcf_stability,same_store_sales|store_profitability|pb_mix|fcf_stability,store_count_story_crowded|defensive_retail_premium_full,same_store_sales_slowdown|rent_wage_pressure|store_density_competition,sssg|pb_mix|store_profitability|rent_wage,false,false
RETAIL_ECOMMERCE_LOGISTICS,gmv_growth|logistics_network_expansion|customer_count_growth,logistics_cost_ratio_down|opm_improvement|fcf_improvement|gross_margin_quality,repeat_customers|cost_leverage|low_regulatory_risk|low_data_security_risk,scale_narrative_crowded|fcf_ignored|trust_risk_ignored,data_breach|supplier_regulation|payment_delay|logistics_cost_increase|fcf_deterioration,data_security|supplier_regulation|logistics_cost|fcf|margin_quality,false,false
ECOMMERCE_FRESH_LOGISTICS,fresh_food_delivery_growth|cold_chain_expansion|repeat_order_growth|ipo_expectation,unit_economics_improvement|waste_rate_control|delivery_cost_control|op_turnaround,repeat_order|cold_chain_efficiency|op_fcf_turnaround|low_waste_rate,fresh_logistics_growth_story_crowded|listing_expectation_premium,delivery_cost_increase|waste_rate_spike|delayed_profitability|cash_burn,waste_rate|delivery_cost|cash_burn,false,false
APPAREL_FAST_FASHION_BRAND_OEM,brand_momentum|fast_fashion_growth|oem_order_growth|overseas_channel,inventory_turnover|discount_rate_control|order_visibility|opm_improvement,repeat_orders|inventory_turnover|brand_pricing_power|fcf_improvement,fashion_brand_hype_crowded|fast_fashion_growth_priced,ip_litigation|product_safety_regulation|supplier_exclusivity_dispute|inventory_markdown|customs_scrutiny,inventory|discount|ip_litigation|product_safety|tariff,false,false
HOME_LIVING_APPLIANCE_RENTAL,rental_accounts_growth|overseas_accounts_growth|new_product_launch,rental_churn_stable|filter_service_revenue|recurring_service_revenue_ratio|opm_fcf_improvement,recurring_revenue_over_hardware_cycle|low_churn|service_margin|fcf_improvement,rental_account_growth_crowded,replacement_demand_slowdown|hardware_sales_ratio_high|housing_cycle_down|dividend_suspension,churn|overseas_margin|hardware_cycle|quality_recall,false,false
HOME_CHILD_EDUCATION,kids_product_growth|education_or_childcare_theme|household_product_news,recurring_demand|channel_expansion|opm_improvement,subscription_or_repeat_purchase|policy_risk_low|fcf_path,kids_theme_crowded,low_birth_rate_tam_decline|policy_regulation|one_off_product_cycle|inventory_growth,birth_rate|tam|policy|inventory,false,false
CONSUMER_REGULATED_PRODUCT,regulated_consumer_product_approval|new_market_access|policy_change,legal_revenue|distribution_approval|margin_visibility,regulated_market_open|repeat_revenue|low_social_backlash,regulated_product_theme_crowded,license_reversal|social_backlash|product_safety_issue|regulatory_ban,approval|public_health|regulatory_ban,false,false
