sub_archetype,large_sector,canonical_archetype,posture,theme_count,theme_tags,must_have_evidence,green_policy
CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,7,전력설비|전선-케이블|강관|피팅 밸브|건설기계|조선 기자재|LNG선 기자재,contract_or_order|backlog|op_eps_revision|margin_visibility,"Green only with contract quality, backlog, margin path, and low cancellation risk."
AI_DATA_CENTER_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,8,전력설비|전선|광섬유|광케이블|광통신|냉각시스템|클린룸|AI 데이터센터,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,AI tag alone is not evidence; orders and revision support are required.
DEFENSE_GOVERNMENT_BACKLOG,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,5,방위산업|항공우주|드론|플라잉카|스페이스X 관련주,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,Government backlog can support Green only when delivery and margin visibility are real.
SHIPBUILDING_OFFSHORE_BACKLOG,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,5,조선|조선 기자재|LNG선 기자재|엔진|피팅밸브,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,"Shipbuilding needs order quality and margin conversion, not backlog headline only."
NUCLEAR_SMR_GRID_POLICY,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,5,원자력|원전|SMR|스마트그리드|전력망,binding_contract|permitted_project_timeline|supplier_revenue_visibility,Policy headlines stay Watch/Yellow until contract economics are binding.
MEMORY_HBM_CAPACITY,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,5,HBM|반도체-HBM|종합반도체|CXL|뉴로모픽 반도체,memory_price|hbm_demand|supply_discipline|medium_term_revision,HBM/memory Green needs EPS path and capacity or price evidence.
SEMI_EQUIPMENT_CAPEX,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,3,반도체 전공정 장비|반도체 후공정 장비|2차전지 공정장비,customer_capex|orders|revenue_conversion|customer_diversification,Equipment themes need customer capex and order conversion.
ADVANCED_PACKAGING_PCB,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,6,PCB|인쇄회로기판|CXL|유리기판|후공정|AI 서버 PCB,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,PCB/packaging can be Green-eligible with AI server demand and order conversion.
AI_CHIP_FABRIC_INFRA,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,4,퓨리오사AI 관련주|인공지능 AI|시스템반도체|뉴로모픽 반도체,direct_exposure|orders_or_revenue|revision_support,"AI-chip association without exposure is theme risk, not scoring evidence."
BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,5,2차전지 소재|2차전지 생산·판매|전고체 배터리|리튬|폐배터리,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,"Battery materials are Green-restricted until contract, margin, and demand risks are controlled."
RENEWABLE_ENERGY_POLICY,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,4,태양광|풍력|탄소배출권|탈 플라스틱,tariff_or_policy|project_backlog|margin_visibility,Renewable policy needs project economics and margin support.
ENERGY_DISTRIBUTION_FUEL,BATTERY_EV_GREEN,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,5,LNG 발전유통|LPG|유가 상승 수혜|유류도소매|윤활유,spread|inventory_status|demand_visibility,Fuel distribution is spread/cycle driven and needs cyclicality caps.
CHEMICAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,REDTEAM_FIRST,4,화학|페인트|탈 플라스틱|주정,product_spread|inventory_status|capacity_discipline,Chemical spread alone cannot create structural Green.
REFINING_OIL_SPREAD,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,4,정유|화학-정유|윤활유|LPG,refining_margin|inventory_status|demand_visibility,Refining is cyclical; Green needs structural supply discipline.
