target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,hard_gate,production_scoring_changed
GRID_TRANSFORMER_MIDCAP_KOREA,ai_data_center_grid_demand|us_transformer_shortage|long_lead_time|transformer_price_increase,customer_name|contract_amount|delivery_period|backlog_growth|op_eps_revision,op_eps_fcf_revision|opm_improvement|lead_time_power|60d_mfe_20pct|relative_strength,midcap_power_basket_rotation|price_2x_3x_before_revision|peer_top_quartile_valuation,customer_project_delay|capa_normalization|raw_material_cost_spike|margin_miss,customer_missing|counterparty_missing|price_only_rally|margin_unknown|capa_normalization,false,false
POWER_CABLE_GRID_BACKLOG_KOREA,power_cable_shortage|ehv_cable|subsea_cable|us_grid_expansion|data_center_power_grid,cable_contract|customer_name|contract_amount|delivery_period|copper_passthrough|margin_path,op_eps_revision|margin_visible|copper_passthrough_working|delivery_visibility|60d_mfe_20pct,cable_basket_rotation|contract_detail_missing_rally|price_faster_than_revision,copper_cost_mismatch|low_margin_order|customer_missing|delivery_delay,customer_missing|margin_unknown|copper_passthrough_missing|price_only_rotation,false,false
DEFENSE_ELECTRONICS_KF21_RADAR,kf21_localization|aesa_radar|apy016k|defense_electronics,kf21_batch_production|radar_delivery_visibility|avionics_supply|government_program,radar_revenue_recognition|defense_electronics_opm|block2_or_export_demand|repeat_delivery,kf21_keyword_rally_before_revenue|defense_electronics_story_crowded,revenue_missing|opm_missing|export_contract_missing|program_delay,actual_revenue_missing|opm_missing|export_contract_missing,false,false
SPACE_LAUNCH_PROGRAM_OF_RECORD,kslv_iii|next_generation_launcher|government_program_of_record|sole_bidder,program_budget|government_allocation|long_cycle_rd|price_path_12pct,contract_signed|milestone_delivery|space_revenue_recognition|opm_fcf_improvement|dilution_absorbed,space_launch_name_rally|program_priced_before_contract,capital_raise|fss_revision_request|rd_cost_overrun|dilution,capital_raise|dilution|fss_revision_request|contract_missing,false,false
DEFENSE_CAPITAL_RAISE_DILUTION,large_rights_offering|capital_raise_plan|regulator_review,dilution_terms_identified|use_of_proceeds_needed,not_green_until_dilution_and_use_of_proceeds_absorbed,defense_backlog_rally_meets_capital_shock,large_capital_raise|fss_revision_request|share_price_drop|dilution_uncertainty,large_capital_raise|fss_revision_request|dilution|use_of_proceeds_unclear,true,false
CONSTRUCTION_EQUIPMENT_CYCLE_KOREA,infrastructure_demand|compact_equipment|north_america_construction|emerging_market_demand,exports_up|dealer_inventory_normalization|asp_or_opm_improvement,op_eps_revision|dealer_inventory_stable|parts_service_growth|fcf_improvement,machinery_cycle_rally|construction_equipment_valuation_crowded,high_borrowing_cost|dealer_inventory_rise|china_real_estate_weakness|tariff_cost|global_equipment_warning,dealer_inventory_risk|high_borrowing_cost|global_machinery_warning|china_real_estate,false,false
CONSTRUCTION_EQUIPMENT_GOVERNANCE_OVERLAY,value_up_story|holding_restructuring|minority_shareholder_concern,controversial_restructuring|share_exchange_ratio|governance_discount_identified,not_green_until_governance_resolved_and_minorities_protected,value_up_rally_ignores_governance,minority_shareholder_damage|controversial_merger|governance_discount_expands,minority_shareholder_risk|controversial_restructuring|governance_discount,true,false
NUCLEAR_DECOMMISSIONING_KOREA,kori_1_decommissioning_approval|nuclear_decommissioning|waste_handling|maintenance_service,khnp_service_contract|contract_amount|contract_period|company_scope_confirmed,repeat_decommissioning_revenue|opm_fcf_improvement|additional_pipeline|price_path_aligned,policy_news_rally_without_contract|nuclear_decommissioning_theme_crowded,company_contract_missing|opm_fcf_missing|project_delay|policy_only,company_contract_missing|policy_only|opm_missing,false,false
NUCLEAR_POLICY_STAGE1_2_NOT_GREEN,national_energy_plan|large_reactor_policy|smr_policy|nuclear_generation_mix,policy_to_project_visibility|macro_project_budget,not_green_until_company_contract_revenue_margin,nuclear_policy_rally_before_scope,policy_reversal|company_scope_missing|contract_missing|margin_unknown,policy_only|contract_missing|scope_unknown,false,false
SHIPBUILDING_EQUIPMENT_BACKLOG_KOREA,shipyard_backlog|lng_ship_equipment|ship_engine|fitting_valve|offshore_module,yard_customer_backlog|delivery_schedule|engine_or_module_visibility|order_to_revenue_path,equipment_delivery_to_revenue|opm_improvement|low_margin_orders_cleared|60d_mfe_20pct,shipbuilding_body_rally_then_equipment_rotation|price_only_rotation,delivery_schedule_missing|opm_missing|yard_order_delay|low_margin_equipment,delivery_missing|opm_missing|price_only_rotation|low_margin_order,false,false
SPACE_SATELLITE_CAPITAL_ALLOCATION_RISK,satellite_theme|oneweb|leo_communications|starlink_competition,equity_investment|space_option|strategy_pivot,not_green_until_civil_or_defense_satellite_revenue_and_capital_allocation_proven,satellite_theme_rally_ignores_write_down,eutelsat_stake_sale|investment_loss|civilian_leo_strategy_retreat|capital_allocation_damage,investment_loss|strategy_retreat|theme_without_revenue,true,false
DISCLOSURE_CONFIDENCE_CAP,opendart_list_only|media_report|mou|loi|non_binding|policy_event,detail_fetch_required|customer_amount_period_margin_required,not_green_until_binding_detail_and_eps_fcf_path,headline_priced_before_detail,contract_amount_missing|customer_missing|period_missing|margin_unknown|final_contract_missing,opendart_list_only|media_only|mou_loi|non_binding|detail_missing,false,false
