sub_archetype,large_sector,canonical_archetype,posture,theme_tags,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,must_have_evidence,red_flags,success_candidates,counterexamples,theme_is_score_input,production_scoring_changed,normalization_point
RAIL_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,철도|고속철 수출|현대로템 철도|대형 인프라|우크라 재건 일부|네옴시티 일부,20,23,12,14,12,1,5,rail_policy|overseas_bid|large_infra_news|trading_value_spike,confirmed_contract|contract_to_sales|delivery_schedule|op_eps_revision_possible,multi_year_backlog|margin_visible_delivery|overseas_customer_diversification|old_rail_discount_frame,large_order_expectation_priced|follow_on_order_gap|valuation_normalized,contract_cancellation|delivery_delay|cost_overrun|project_financing_failure,confirmed_contract|delivery_schedule|contract_to_sales|margin_visibility,policy_theme_only|project_financing_delay|margin_uncertainty|low_margin_order,hyundai_rotem_morocco_rail_order,rail_policy_only_theme|reconstruction_theme_without_order,false,false,"Rail can reach Stage 2 with real orders, but policy/reconstruction headlines stay event-watch."
AI_DATA_CENTER_COOLING,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,냉각시스템|액침냉각|HVAC|AI 데이터센터|클린룸|서버 인프라,21,22,22,13,12,0,5,ai_server_heat_load|cooling_demand|hvac_keyword|liquid_cooling_keyword,confirmed_customer_order|data_center_capex_link|revenue_timing|op_eps_revision,multi_year_data_center_capex|cooling_bottleneck_position|service_or_maintenance_repeat_revenue|pricing_power,ai_capex_narrative_overheated|cooling_theme_group_rally|equipment_capacity_overbuild,data_center_project_delay|ai_capex_cut|margin_damage|customer_cancellation,confirmed_customer_order|data_center_capex_link|revenue_conversion|project_margin,cooling_theme_only|no_customer|ai_capex_delay|low_margin_installation,ecolab_coolit_ai_cooling|samsung_flaktgroup_hvac,liquid_cooling_theme_no_order|data_center_capex_delay,false,false,"Cooling is a real AI infra sub-archetype, but Green needs customer, order, delivery, and service economics."
WASTE_RECYCLING_ENVIRONMENT,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,GREEN_POSSIBLE,폐기물처리|재활용|폐배터리|탈 플라스틱|플라스틱 재활용|폐기물 에너지화,18,22,15,13,12,0,5,waste_regulation|recycling_facility|battery_recycling_news|plastic_recycling_news,processing_volume_growth|long_term_contract|utilization_up|op_fcf_improvement,permitted_facility_bottleneck|repeat_fcf|customer_diversification|esg_theme_frame_still_used,esg_recycling_theme_overheated|battery_recycling_expectation_priced,utilization_down|metal_price_down|capex_burden|regulatory_delay,processing_volume|utilization|long_term_contract|fcf_after_capex,recycling_theme_only|low_utilization|commodity_price_dependency|capex_without_fcf,kj_environment_waste_platform,battery_recycling_no_volume|metal_price_margin_reversal,false,false,Waste treatment can be Green-possible with permitted assets and repeat FCF; battery recycling theme alone remains Watch.
SECURITY_IDENTITY_DEEPFAKE,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,IT 보안|딥페이크|생체인식|CCTV|클라우드 보안|AI 보안,20,20,10,14,13,0,5,security_incident_growth|deepfake_regulation|government_or_enterprise_security_spend,actual_contract|subscription_or_arr_growth|customer_diversification|opm_improvement,recurring_security_subscription|low_churn|regulatory_demand|security_theme_frame_still_used,security_theme_overheated|multiple_saturation|new_competition,large_outage|customer_lawsuit|trust_damage|renewal_rate_down,recurring_contract|arr_or_subscription|opm_improvement|renewal_or_retention,theme_only_security|large_outage|legal_risk|churn|no_recurring_revenue,deepfake_security_regulation_demand,crowdstrike_operational_trust_4c|security_theme_no_revenue,false,false,"Security can be structural, but ARR/contracts and operational trust matter; a major outage can be hard 4C."
CLOUD_AI_SOFTWARE_INFRA,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,클라우드 컴퓨팅|ERP|B2B SaaS|컨택센터|원격근무|AI 소프트웨어,20,23,8,16,14,0,5,cloud_transition|erp_saas_demand|ai_feature_launch|b2b_customer_growth,recurring_revenue_growth|arpu_up|opm_improvement|retention_confirmed,customer_lock_in|high_fcf_conversion|pricing_power|old_software_frame,saas_ai_narrative_overheated|multiple_saturation,churn|ai_cost_overrun|opm_decline|competition_intensifies,recurring_revenue|arpu|retention|opm_or_fcf_improvement,ai_feature_only|mau_without_monetization|ai_cost_overrun|churn,douzone_bizon_smb_cloud_erp,ai_software_no_paid_usage|cloud_cost_margin_pressure,false,false,"SaaS can be Green-possible only when recurring revenue, margin, and FCF improve; AI keywords are not enough."
EDUCATION_SPECIALTY_SERVICES,EDUCATION_LIFE_AGRI_MISC,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,교육|취업일자리|키즈|유아용품|학습지|에듀테크|입시|성인교육,18,18,5,12,12,0,5,entrance_exam_change|student_count_or_price_up|education_spending_growth,repeat_revenue|opm_improvement|adult_or_online_expansion|overseas_students,adult_or_overseas_growth_offsets_birthrate|pricing_power|fcf_improvement,entrance_exam_theme_overheated|policy_expectation_priced,private_education_regulation|student_population_decline|price_cut|ai_substitution,repeat_revenue|opm_improvement|adult_or_overseas_expansion|fcf_improvement,birthrate_decline|regulation|exam_policy_event_only|ai_substitution,adult_education_subscription_candidate,birthrate_exposed_kids_product|policy_regulation_education,false,false,Education is Watch-first; Green needs adult/overseas/subscription expansion that offsets birthrate risk.
APPAREL_BRAND_OEM,CONSUMER_RETAIL_BRAND,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,의류 브랜드|의류 OEM|의류 ODM|의류소재|K패션 브랜드|키즈·유아용품 일부,18,16,8,14,12,0,5,overseas_popup|kfashion_collaboration|order_growth|celebrity_ip_collaboration,overseas_sales_growth|inventory_turnover_stable|opm_improvement|customer_diversification,repeat_brand_purchase|global_channel_expansion|fcf_improvement|old_domestic_apparel_frame,brand_hype_overheated|inventory_risk_expands,inventory_increase|discount_sales|channel_slowdown|order_cancellation,overseas_sales_growth|inventory_turnover|opm_improvement|customer_diversification,single_fad_brand|inventory_build|discounting|channel_concentration,kfashion_export_channel_candidate,single_brand_fad_inventory|oem_order_slowdown,false,false,Apparel is more conservative than K-food/K-beauty; inventory and discount rate are core Red flags.
BUILDING_MATERIALS_CYCLE,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,건자재|시멘트|레미콘|콘크리트|철근|거푸집|가구,17,12,12,12,12,5,5,price_hike|rate_down|housing_start_recovery|dividend_appeal,opm_improvement|cost_stability|shipment_recovery|dividend_stability,supply_rationalization|pricing_power|recurring_rental_or_material_revenue|low_debt_risk,property_recovery_priced|dividend_theme_overheated,pf_stress|housing_starts_down|vacancy_up|dividend_cut,price_pass_through|volume_recovery|cost_stability|credit_risk_contained,pf_stress|rates_up|vacancy_up|price_hike_failure,cement_price_cost_spread_candidate,housing_slowdown_materials_4c|pf_materials_counterexample,false,false,"Building materials need price and volume, but PF/rate risk keeps Green conservative."
REIT_DEVELOPMENT_TRUST,CONSTRUCTION_REAL_ESTATE_MATERIALS,HOLDING_RESTRUCTURING_GOVERNANCE,WATCH_YELLOW_FIRST,리츠|개발신탁|부동산 자산 보유|배당|임대수익,17,12,12,12,12,5,5,rate_down|dividend_appeal|occupancy_recovery|asset_revaluation,rental_income_stability|occupancy_stable|refinancing_cost_stable|dividend_stability,repeat_rental_income|low_refinancing_risk|nav_discount_mispricing|dividend_coverage,property_recovery_priced|yield_compression_crowded,vacancy_up|refinancing_stress|asset_impairment|dividend_cut,occupancy|rental_income|refinancing_cost|dividend_coverage,rate_up|vacancy_up|asset_impairment|dividend_cut,reit_rate_down_occupancy_candidate,reit_refinancing_stress|development_trust_credit_risk,false,false,"REIT/development trust is Watch-first; rates, vacancy, debt, and dividend coverage decide quality."
CRO_CLINICAL_SERVICE,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,CRO|임상시험수탁기관|AI 신약개발 일부|제약바이오 서비스,18,20,8,12,12,0,5,clinical_trial_count_growth|pharma_rd_growth|order_backlog_growth,sales_op_growth|customer_diversification|repeat_service_revenue,multi_year_backlog|customer_portfolio_diversified|high_fcf_conversion,b|i|o|t|e|c|h|_|r|d|_|e|x|p|e|c|t|a|t|i|o|n|_|o|v|e|r|h|e|a|t|e|d,clinical_trial_cut|customer_budget_cut|order_cancellation,service_contract|clinical_volume|customer_diversification|opm_fcf_conversion,biotech_funding_cycle_down|customer_concentration|trial_delay|low_margin_backlog,cro_service_backlog_candidate,cro_customer_budget_cut|clinical_volume_without_margin,false,false,"CRO can move Watch-to-Green, but it is weaker than CDMO and needs backlog plus customer diversification."
