case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
hanmi_hbm_equipment_stage3_early_capture_case,STRUCTURAL_STAGE3_EARLY_CAPTURE,042700,Hanmi Semiconductor HBM equipment early-capture case,KR,success_candidate,STRUCTURAL_STAGE3_EARLY_CAPTURE,GREEN_POSSIBLE,,,,,,sk_hynix_contract|hbm_equipment_bottleneck|micron_supply_report|recent_contracts_200bn_krw|intraday_plus_22pct,unconfirmed_customer_report|valuation_crowding|stage4b_watch,stage3_candidate_with_disclosure_cap,needs_contract_customer_op_revision_price_backfill,false,"Hanmi is a structural early-capture candidate, but unconfirmed customer reports are capped until binding contracts appear."
samsung_ea_fadhili_epc_stage2_strong_case,STAGE2_STRONG_NOT_GREEN,028050,Samsung E&A Fadhili EPC Stage 2 strong case,KR,success_candidate,STAGE2_STRONG_NOT_GREEN,WATCH_YELLOW_FIRST,,,,,,saudi_aramco_customer|fadhili_gas_plant_contract|contract_value_6bn_usd|intraday_plus_8_5pct,epc_margin_unconfirmed|cash_conversion_unconfirmed|project_delay_or_low_margin_risk,large_epc_contract_stage2_until_margin_cash_conversion,needs_margin_cash_conversion_op_revision_price_backfill,false,"Samsung E&A has contract amount and customer evidence, but EPC margin and cash conversion decide Stage 3."
samsung_sds_kkr_cb_stage2_not_green_case,STAGE2_STRONG_NOT_GREEN,018260,Samsung SDS KKR CB AI cloud Stage 2 not Green,KR,4b_watch,STAGE2_STRONG_NOT_GREEN,WATCH_YELLOW_FIRST,2026-04-15,2026-04-15,,2026-04-15,,kkr_820m_usd_convertible_bond|ai_offering_advisory|mna_capital_allocation|intraday_plus_20_8pct,cb_dilution|ai_revenue_arr_missing|opm_fcf_missing,strategic_validation_plus_dilution_watch,needs_arr_ai_revenue_cb_dilution_price_backfill,false,"Samsung SDS gets Stage 2 strategic validation, but CB dilution and missing AI ARR/FCF block Green."
alteogen_keytruda_sc_royalty_stage3_candidate_case,STRUCTURAL_STAGE3_EARLY_CAPTURE,196170,Alteogen Keytruda SC royalty platform candidate,KR,success_candidate,STRUCTURAL_STAGE3_EARLY_CAPTURE,GREEN_POSSIBLE,2024-11-19,,,,,merck_partner|keytruda_sc_formulation|injection_time_reduced|enzyme_supply_royalty_option,royalty_revenue_missing|adoption_backfill_required|stage4b_watch_if_priced_ahead,platform_royalty_candidate_requires_backfill,needs_royalty_adoption_milestone_op_revision_price_backfill,false,Alteogen can be Stage 2/3 candidate after royalty/adoption backfill; expectation-only periods need 4B monitoring.
pinkfong_ip_ipo_event_not_stage3_case,EVENT_PRICE_RALLY_NOT_STAGE3,PINKFONG,Pinkfong IP IPO price-path not Stage 3,KR,4b_watch,EVENT_PRICE_RALLY_NOT_STAGE3,REDTEAM_FIRST,,,,,,ipo_max_plus_62pct|ipo_close_plus_9pct|ipo_raise_76bn_krw|revenue_97_4bn_krw|operating_profit_18_8bn_krw,baby_shark_one_hit_risk|ipo_premium|multi_ip_revenue_unconfirmed,stage2_strong_price_path_not_green,needs_listing_date_multi_ip_opm_fcf_price_backfill,false,"Pinkfong has strong Stage 2 IP price-path, but IPO pop and one-hit risk block Stage 3 until multi-IP OPM/FCF are proven."
samsung_sdi_ess_contract_stage2_strong_case,STAGE2_STRONG_NOT_GREEN,006400,Samsung SDI ESS LFP contract Stage 2 strong,KR,success_candidate,STAGE2_STRONG_NOT_GREEN,WATCH_YELLOW_FIRST,2025-12-09,2025-12-09,,,,ess_lfp_contract_over_2tn_krw|three_year_supply|delivery_from_2027|line_conversion|intraday_plus_6_1pct,customer_name_undisclosed|revenue_recognition_delayed|ess_opm_unconfirmed|utilization_unconfirmed,ess_contract_stage2_until_customer_opm_utilization,needs_customer_utilization_opm_fcf_price_backfill,false,"Samsung SDI ESS is Stage 2 strong, but customer, utilization, OPM, and FCF are needed before Green."
kogas_daesung_gas_event_4b_case,EVENT_PRICE_RALLY_NOT_STAGE3,036460/117580/096770/018670,KOGAS Daesung Energy East Sea gas event,KR,4b_watch,EVENT_PRICE_RALLY_NOT_STAGE3,REDTEAM_FIRST,2024-06-03,,,2024-06-03,,kogas_plus_30pct|daesung_energy_plus_30pct|sk_innovation_plus_6pct|sk_gas_plus_7pct|possible_14bn_barrels|exploration_approval,success_probability_20pct|failure_probability_80pct|commerciality_unconfirmed|pre_drilling,event_price_success_not_stage3,needs_drill_bit_commerciality_eps_price_backfill,false,The East Sea gas event is the canonical +30% price-path that remains Stage 1/4B-watch before commerciality.
kia_sdv_ev_target_cut_4c_watch_case,STAGE2_STRONG_NOT_GREEN,000270,Kia hybrid localization with SDV delay EV target cut,KR,failed_rerating,STAGE2_STRONG_NOT_GREEN,WATCH_YELLOW_FIRST,2026-04-09,,,,2026-04-09,hybrid_us_localization|sdv_launch_delayed_to_2028|ev_target_cut|investment_plan_plus_30pct|shares_minus_5_5pct,sdv_delay|ev_target_cut|capex_increase_margin_pressure,stage2_with_product_roadmap_4c_watch,needs_margin_capex_revision_price_backfill,false,"Kia localization evidence is useful, but SDV delay, EV target cut, and capex pressure are 4C-watch fields."
jeju_air_fatal_accident_hard_4c_case,OPERATIONAL_TRUST_HARD_4C,089590,Jeju Air fatal accident hard 4C,KR,4c_thesis_break,OPERATIONAL_TRUST_HARD_4C,REDTEAM_FIRST,2024-12-30,,,,2024-12-30,fatal_accident|intraday_minus_15_7pct|record_low|market_cap_loss_95_7bn_krw|government_safety_inspection,fatal_accident|safety_inspection|consumer_trust_damage|travel_demand_impact,safety_hard_4c_overrides_reopening,needs_accident_date_mae_safety_recovery_price_backfill,false,Jeju Air is a hard 4C example where safety and trust override travel recovery.
naver_dunamu_holdco_link_stage2_case,PRIVATE_OR_HOLDCO_LINK_CAP,035420/DUNAMU_PRIVATE,NAVER-Dunamu digital asset equity value cap,KR,success_candidate,PRIVATE_OR_HOLDCO_LINK_CAP,WATCH_YELLOW_FIRST,2026-05-14,2026-05-14,,,,hana_bank_dunamu_stake_6_55pct|stake_value_1tn_krw|naver_financial_dunamu_share_swap_option|digital_asset_market_share,listed_eps_fcf_link_missing|security_regulatory_risk|equity_method_income_unconfirmed,private_asset_stage2_until_listed_cashflow_link,needs_equity_method_income_security_regulatory_price_backfill,false,"Dunamu stake value is Stage 2 validation, not listed-company Green until EPS/FCF linkage and security/regulation are clean."
