theme_tag,sub_archetype,large_sector,large_sector_korean,canonical_archetype,posture,theme_is_score_input,must_have_evidence,green_policy
전력설비,CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,false,contract_or_order|backlog|op_eps_revision|margin_visibility,"Green only with contract quality, backlog, margin path, and low cancellation risk."
전선-케이블,CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,false,contract_or_order|backlog|op_eps_revision|margin_visibility,"Green only with contract quality, backlog, margin path, and low cancellation risk."
강관,CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,false,contract_or_order|backlog|op_eps_revision|margin_visibility,"Green only with contract quality, backlog, margin path, and low cancellation risk."
피팅 밸브,CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,false,contract_or_order|backlog|op_eps_revision|margin_visibility,"Green only with contract quality, backlog, margin path, and low cancellation risk."
건설기계,CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,false,contract_or_order|backlog|op_eps_revision|margin_visibility,"Green only with contract quality, backlog, margin path, and low cancellation risk."
조선 기자재,CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,false,contract_or_order|backlog|op_eps_revision|margin_visibility,"Green only with contract quality, backlog, margin path, and low cancellation risk."
LNG선 기자재,CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,false,contract_or_order|backlog|op_eps_revision|margin_visibility,"Green only with contract quality, backlog, margin path, and low cancellation risk."
전력설비,AI_DATA_CENTER_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,false,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,AI tag alone is not evidence; orders and revision support are required.
전선,AI_DATA_CENTER_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,false,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,AI tag alone is not evidence; orders and revision support are required.
광섬유,AI_DATA_CENTER_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,false,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,AI tag alone is not evidence; orders and revision support are required.
