target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,gate_only,production_scoring_changed,normalization_point
MEMORY_HBM_CAPACITY,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,24,21,19,15,12,0,5,hbm_demand|memory_price_increase|ai_server_memory_shortage,hbm_sales_mix|op_eps_revision|supply_discipline|customer_supply_allocation,long_term_contract|prepayment_or_price_band|hbm_capa_constraint|multi_year_eps_revision|pbr_to_per_frame_shift,market_cap_rerating_saturated|crowded_hbm_consensus|capex_overbuild_news,ai_capex_slowdown|hbm_price_decline|capacity_oversupply|customer_order_cut,hbm_demand|capacity_constraint|multi_year_eps_revision|supply_discipline|customer_visibility,crowding|capex_reversal|customer_price_resistance|memory_price_decline,false,false,HBM can be Green only when AI memory demand becomes source-backed EPS/FCF and capacity-bottleneck evidence.
COMMODITY_MEMORY_GENERAL_SEMI,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,WATCH_YELLOW_FIRST,22,16,17,13,10,0,5,dram_or_nand_price_increase|earnings_turnaround|hbm_conversion_supply_squeeze,op_eps_revision|inventory_normalization|supply_discipline,commodity_memory_price_support|multi_quarter_revision|cycle_to_structural_frame_shift,memory_rally_crowded|price_rebound_fully_priced,supply_rebound|hbm_competitive_lag|price_decline|customer_capex_cut,op_eps_revision|supply_discipline|inventory_normalization,pure_cyclical_bounce|hbm_lag|supply_rebound,false,false,General DRAM/NAND recovery stays Watch-to-Green because commodity memory can reverse quickly.
SEMI_EQUIPMENT_CAPEX,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,22,20,18,14,12,0,5,customer_ai_hbm_fab_capex|equipment_order_keyword|euv_or_back_end_tool_keyword,equipment_order|guidance_raise|backlog_growth|customer_capex_budget,order_to_revenue_conversion|op_eps_revision|customer_diversification|margin_visible,equipment_group_overheating|customer_capex_peak,order_pushout|export_control|customer_capex_cut|inventory_build,customer_capex|orders|revenue_conversion|op_eps_revision,order_pushout|export_control|customer_concentration,false,false,Equipment needs customer CAPEX plus order-to-revenue conversion; capex peak is a first-class 4B/4C risk.
SEMI_MATERIALS_PROCESS,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,20,18,14,13,11,0,5,process_material_keyword|customer_qualification|fab_ramp,qualification_passed|volume_ramp|margin_visibility,repeat_volume|customer_diversification|op_eps_revision,material_theme_crowded|qualification_fully_priced,qualification_delay|customer_capex_cut|price_pressure,qualification|volume_ramp|margin_visibility,qualification_delay|single_customer|price_pressure,false,false,"Materials need qualification and volume ramp evidence, not only semiconductor theme tags."
ADVANCED_PACKAGING_PCB,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,21,20,18,13,12,0,5,ai_server_pcb|optical_transceiver_pcb|glass_substrate_keyword|cxl_substrate_keyword,order_visibility|lead_time_extended|capacity_constraint|op_eps_revision,ai_server_demand_converts_to_revenue|pricing_power|customer_diversification,substrate_theme_crowded|capa_expansion_news,capa_normalization|customer_order_delay|yield_issue,order_visibility|capacity_constraint|op_eps_revision|pricing_power,capa_normalization|theme_without_order|customer_delay,false,false,"PCB/substrate can improve quickly, but Green requires order visibility and margin conversion."
ADVANCED_PACKAGING_COWOS_EMIB,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,22,21,20,14,12,0,5,cowos_bottleneck|emib_keyword|2_5d_packaging|interposer_substrate,packaging_tool_or_substrate_order|lead_time_extended|capacity_shortage,packaging_revenue_growth|op_eps_revision|bottleneck_frame_confirmed,bottleneck_consensus_crowded|capa_expansion,bottleneck_easing|yield_issue|customer_capex_delay,packaging_bottleneck|revenue_growth|op_eps_revision|customer_visibility,capa_expansion|yield_issue|bottleneck_easing,false,false,"Advanced packaging can be Green when bottleneck economics show up in revenue and EPS, not just CoWoS keywords."
DISPLAY_OLED_SUPPLYCHAIN,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,19,18,12,13,11,0,5,oled_capex|lcd_to_oled_shift|apple_oled_keyword,panel_capex_order|material_volume_ramp|margin_visible,multi_customer_oled_ramp|op_eps_revision|cycle_risk_controlled,display_capex_crowded|panel_capex_peak,panel_capex_delay|price_pressure|customer_cut,panel_capex_order|volume_ramp|margin_visible,capex_cycle|single_customer|panel_delay,false,false,OLED/display supply chain is cyclical and should remain Watch until durable order and margin evidence exist.
ELECTRONIC_COMPONENTS_MLCC_SENSOR,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,19,17,13,12,11,1,5,mlcc_sensor_or_camera_keyword|smartphone_parts_recovery|content_growth,customer_diversification|content_per_device_growth|margin_improvement,recurring_component_growth|op_eps_revision|inventory_normalization,component_cycle_crowded|smartphone_recovery_fully_priced,inventory_build|customer_cut|asp_pressure,content_growth|customer_diversification|margin_improvement,smartphone_cycle_only|inventory_build|asp_pressure,false,false,Components need content growth and inventory discipline because end-device cycles can reverse.
AI_CHIP_FABRIC_INFRA,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,WATCH_YELLOW_FIRST,18,15,12,14,11,0,5,ai_chip_tapeout|foundry_or_system_semi_keyword|domestic_ai_chip,customer_design_win|mass_production_plan|yield_or_foundry_progress,revenue_conversion|gross_margin_visible|repeat_customer,ai_chip_theme_crowded|ipo_or_mou_premium,tapeout_delay|yield_failure|no_revenue|customer_loss,design_win|mass_production|revenue_conversion,mou_only|no_revenue|yield_issue,false,false,"AI chip/fabric remains Watch until design wins convert into yield, production, and revenue."
AI_ACCELERATOR_CHIP_PUREPLAY,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,WATCH_YELLOW_FIRST,18,15,13,15,10,0,5,ai_accelerator_ipo|wafer_scale_engine|nvidia_competition_keyword,named_customer|commercial_revenue|gross_margin_visible,repeat_customer|software_ecosystem|eps_or_fcf_path,pureplay_valuation_overheat|nvidia_competition_ignored,customer_loss|no_revenue|valuation_compression|funding_need,named_customer|commercial_revenue|gross_margin_visible,valuation_overheat|no_revenue|funding_need,false,false,"AI accelerator pure-play can be researched, but valuation and Nvidia competition keep it Watch-first."
