trigger_id,case_id,trigger_type,trigger_date,evidence_available,event_return_pct,trigger_outcome_label,promote_to,extra_metrics
r4l17_korea_zinc_tender_T0,r4_loop17_korea_zinc_control_premium,Stage2_control_premium,2024-09-13,"MBK/Young Poong launches 2T won tender at 660,000 won; Korea Zinc +19.8%.",19.8,control_premium_stage2_not_operating_green,Stage2,"{""initial_tender_value_krw_trn"": 2.0, ""young_poong_event_return_pct"": 30}"
r4l17_korea_zinc_buyback_T2,r4_loop17_korea_zinc_control_premium,Stage2_buyback_control_validation,2024-10-21,"Court rejects attempt to block Korea Zinc buyback; shares +6.4% to 877,000 won.",6.4,control_premium_buyback_stage2,Stage2,"{""entry_price_krw"": 877000}"
r4l17_korea_zinc_tc_T0,r4_loop17_korea_zinc_teck_tc_cut,4B_treatment_charge_spread,2024-04-02,Teck/Korea Zinc zinc TC falls to $165/t from $274/t.,price_data_unavailable_after_deep_search,smelter_margin_4B,4B-watch,"{""tc_decline_pct"": 40}"
r4l17_korea_zinc_us_minerals_T0,r4_loop17_korea_zinc_us_critical_minerals,Stage2_critical_minerals_capex,2025-12-15,U.S.-backed Tennessee critical-minerals project reported at $7.4B.,reported_context_+27,strategic_resource_stage2_with_capex_4B,Stage2+4B,"{""project_value_usd_bn"": 7.4, ""share_issuance_krw_trn"": 2.833}"
r4l17_steel_antidumping_T0,r4_loop17_hyundai_steel_posco_antidumping,Stage2-Actionable_steel_antidumping,2025-02-20,"Korea recommends 27.91-38.02% duties on Chinese steel plate; Hyundai Steel +5.8%, POSCO +3.9%.",Hyundai_Steel_+5.8_POSCO_+3.9,good_stage2_domestic_steel_protection,Stage2-Actionable,"{""hyundai_market_relative_pp"": 6.5, ""posco_market_relative_pp"": 4.6}"
r4l17_us_steel_tariff_T0,r4_loop17_hyundai_posco_louisiana_steel_plant,4B_export_tariff,2025-02-10,U.S. steel/aluminum tariff risk hits Korean steel shares.,POSCO_-3.6_Hyundai_Steel_-2.9,steel_export_tariff_4B,4B-watch,"{""hyundai_steel_tariff_event_return_pct"": -2.9, ""posco_tariff_event_return_pct"": -3.6}"
r4l17_louisiana_steel_T1,r4_loop17_hyundai_posco_louisiana_steel_plant,Stage2_localization_hedge,2025-04-21,"Hyundai Steel / Hyundai Motor Group $5.8B Louisiana steel plant, 2.7M t/y, 2029 target.",price_data_unavailable_after_deep_search,localization_hedge_stage2_not_green,Stage2,"{""annual_capacity_mn_tons"": 2.7, ""investment_usd_bn"": 5.8}"
r4l17_petrochemical_loss_T0,r4_loop17_petrochemical_oversupply_restructuring,failed_rerating_petrochemical_oversupply,2025-02-07,Lotte Chemical 2024 OP loss 895B won and LG Chem OP -63.75%.,price_data_unavailable_after_deep_search,petrochemical_oversupply_failed_rerating,4B-watch,"{""lg_chem_2024_op_decline_pct"": 63.75, ""lotte_chemical_2024_op_loss_krw_bn"": 895}"
r4l17_petrochemical_restructuring_T2,r4_loop17_petrochemical_oversupply_restructuring,Stage2_restructuring_relief,2026-02-24,Korea approves Daesan restructuring with 1.1M t/y NCC shutdown and up to 2T won support.,price_data_unavailable_after_deep_search,capacity_cut_relief_not_green,Stage2_relief,"{""daesan_ncc_shutdown_capacity_mn_tons_per_year"": 1.1, ""government_support_krw_trn"": 2.0}"
r4l17_sk_innovation_refining_T0,r4_loop17_sk_innovation_refining_margin_spread,evidence_good_but_price_failed_refining_spread,2025-02-06,SK Innovation expects flat refining margins; shares -2.9% vs KOSPI +0.7%.,-2.9,refining_margin_price_failed,no_actionable,"{""market_relative_pp"": -3.6}"
r4l17_sk_innovation_recovery_T3,r4_loop17_sk_innovation_refining_margin_spread,Stage2_refining_recovery_candidate,2026-05-13,Q1 2026 OP recovered to 2.2T won vs 30B loss year earlier.,price_data_unavailable_after_deep_search,refining_OP_recovery_with_normalization_4B,Stage2,"{""q1_2026_consensus_context_krw_trn"": 1.4, ""q1_2026_op_krw_trn"": 2.2}"
r4l17_posco_minres_lithium_T0,r4_loop17_posco_minres_lithium_jv,Stage2_upstream_lithium_supply,2025-11-11,"POSCO buys MinRes lithium stake for $765M; MinRes +10.8%, POSCO direct price unavailable.",MinRes_+10.8_POSCO_unavailable,strategic_upstream_stage2_no_direct_price,Stage2,"{""deal_value_usd_mn"": 765}"
r4l17_rare_earth_control_T0,r4_loop17_china_rare_earth_export_control_korea,sector_4B_rare_earth_export_control,2025-04-22,China asks Korean firms not to export products using Chinese rare earths to U.S. defense firms.,price_data_unavailable_after_deep_search,rare_earth_export_control_4B,4B-watch,"{""affected_product_count"": 6}"
