target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed
OVERSEAS_EPC_CONTRACT_BACKLOG_KOREA,middle_east_epc_recovery|gas_infra_order|overseas_order_headline,contract_amount|counterparty|completion_date|price_reaction,cost_ratio_stable|op_eps_revision|cash_conversion_improves|fcf_improves|project_execution_clean,large_contract_priced_before_margin|epc_basket_crowded,cost_ratio_deterioration|construction_delay|contract_cancellation|low_margin_order,cost_ratio_deterioration|construction_delay|contract_cancellation|low_margin_order,cost_ratio|cash_conversion|low_margin_order|delay,false,false
EPC_LOW_MARGIN_ORDER_OVERLAY,large_epc_contract|long_term_project,contract_amount|project_period|revenue_recognition_schedule,not_green_if_cost_ratio_or_cash_conversion_missing,contract_headline_priced_before_margin,cost_overrun|construction_delay|low_margin_order|cash_conversion_failure,cost_overrun|construction_delay|low_margin_order|cash_conversion_failure,cost|delay|margin|cash,true,false
AI_DATA_CENTER_REAL_ASSET_KOREA,openai_korea_data_center_plan|aws_korea_data_center_investment|samsung_affiliate_rally,actual_contract_option|tenant_or_epc_candidate|power_water_permitting_plan,binding_epc_contract|tenant_lease|noi_affo_or_op_eps_visible|power_water_secured,ai_data_center_name_only_rally|construction_material_basket_rally,actual_contract_missing|tenant_missing|power_water_permitting_failure|noi_affo_missing,actual_contract_missing|tenant_missing|power_water_permitting_failure|noi_affo_missing,no_contract|no_tenant|power_water|noi_affo,false,false
CONSTRUCTION_REAL_ESTATE_CREDIT_KOREA,pf_stress|rate_cut_expectation|support_package,debt_rescheduling|project_normalization|guarantee_support,not_green_if_workout_or_bridge_loan_rollover_active,pf_relief_rally_before_repair,pf_workout|debt_rescheduling|bridge_loan_rollover_failure|liquidity_crisis,pf_workout|debt_rescheduling|bridge_loan_rollover_failure|liquidity_crisis,pf|workout|liquidity|bridge_loan,true,false
PF_RESTRUCTURING_RELIEF_KOREA,government_support_package|guarantee_expansion|market_stabilization_fund,pf_refinancing|profitable_project_normalized|bad_project_separated,pf_exposure_decreases|cash_conversion_improves|cost_ratio_stable|op_eps_revision,support_news_priced_as_recovery,workout|refinancing_failure|delinquency_increase|impairment,workout|refinancing_failure|delinquency_increase|impairment,policy_only|pf_exposure|cash_conversion|impairment,false,false
APARTMENT_QUALITY_SAFETY_OVERLAY,housing_brand|presale_recovery,quality_recovery_plan|compensation_plan,not_green_if_fatal_accident_or_quality_cost_active,brand_recovery_priced_before_trust_repair,fatal_collapse|government_investigation|business_suspension|quality_cost|brand_damage,fatal_collapse|government_investigation|business_suspension|quality_cost|brand_damage,safety|quality|investigation|brand,true,false
LARGE_BUILDER_BALANCE_SHEET_DEFENSE,large_builder_defense|overseas_infra_mix|pf_relief,balance_sheet_strength|project_diversification|guarantee_support|cashflow_defense,pf_exposure_decreases|cash_conversion_improves|cost_ratio_stable|op_eps_revision|unsold_units_decline,large_builder_relief_rally_crowded,pf_delinquency|cashflow_deterioration|provision_increase|cost_ratio_spike,pf_delinquency|cashflow_deterioration|provision_increase|cost_ratio_spike,pf|cash|cost_ratio|unsold_units,false,false
K_REIT_DIVIDEND_COVERAGE,rate_cut_expectation|high_dividend_yield|nav_discount,occupancy_stable|noi_affo_visible|ltv_managed|refinancing_rate_stable,affo_per_share_improves|dividend_coverage_stable|ltv_stable|occupancy_resilient,yield_rally_before_affo|rate_cut_priced,dividend_cut|ltv_spike|refinancing_failure|vacancy_increase,dividend_cut|ltv_spike|refinancing_failure|vacancy_increase,dividend|ltv|refinancing|occupancy,false,false
LOGISTICS_REIT_OCCUPANCY_KOREA,logistics_asset_recovery|rate_cut_expectation|warehouse_demand,occupancy|lease_rate|tenant_quality|noi_affo_visible,occupancy_resilient|rental_growth|affo_per_share_improves|ltv_stable,logistics_reit_rally_before_affo,vacancy_increase|tenant_default|ltv_spike|dividend_cut,vacancy_increase|tenant_default|ltv_spike|dividend_cut,vacancy|tenant|ltv|dividend,false,false
BUILDING_MATERIALS_PRICE_COST_KOREA,cement_price_hike|housing_transaction_recovery|product_mix_shift|overseas_investment,price_pass_through|energy_cost_stable|volume_defended|product_mix_improves,opm_fcf_improves|volume_defended|raw_material_cost_stable|specialty_mix_margin,price_hike_or_housing_cycle_rally,volume_decline|raw_material_cost_spike|price_pass_through_failure|integration_failure,volume_decline|raw_material_cost_spike|price_pass_through_failure|integration_failure,volume|raw_material|housing_cycle|integration,false,false
CEMENT_REGULATORY_COLLUSION_OVERLAY,cement_price_hike|construction_starts_recovery,price_pass_through|energy_cost_down,not_green_if_regulatory_collusion_or_volume_missing,cement_price_hike_basket_rally,collusion_fine|regulatory_risk|construction_starts_decline|ready_mix_demand_decline,collusion_fine|regulatory_risk|construction_starts_decline|ready_mix_demand_decline,collusion|regulation|volume|starts,true,false
HOME_INTERIOR_HOUSING_CYCLE,housing_transaction_recovery|interior_demand|remodeling_cycle,volume_recovery|opm_improvement|product_mix|inventory_normalization,opm_fcf_improves|housing_volume_defended|working_capital_clean|valuation_old_frame,housing_cycle_rally_priced_before_margin,transaction_decline|inventory_buildup|margin_compression|raw_material_cost_spike,transaction_decline|inventory_buildup|margin_compression|raw_material_cost_spike,transaction|inventory|margin|raw_material,false,false
DISCLOSURE_CONFIDENCE_CAP,contract_pf_noi_affo_headline|ai_data_center_headline|cement_price_headline,contract_amount_required|pf_detail_required|noi_affo_required|cost_ratio_required|dividend_coverage_required,multi_source_confirmation|detail_fields_verified|cashflow_verified,headline_rerating,contract_amount_missing|pf_detail_missing|noi_affo_missing|cost_ratio_missing|dividend_coverage_missing,contract_amount_missing|pf_detail_missing|noi_affo_missing|cost_ratio_missing|dividend_coverage_missing,disclosure|detail|cashflow|parser_confidence,false,false
