target_id,stage1,stage2,stage3,stage4b,stage4c,loop2_penalty_axes,gate_only,production_scoring_changed
MEMORY_HBM_CAPACITY,hbm_demand|nvidia_supply_chain|ai_server_memory_shortage,hbm_sales_mix|op_eps_revision|customer_supply_allocation|price_band_or_prepayment,long_term_contract|prepayment_or_price_band|hbm_capa_constraint|multi_year_eps_revision|pbr_to_per_frame_shift,market_cap_rerating_saturated|crowded_hbm_consensus|customer_price_resistance,ai_capex_slowdown|hbm_price_decline|capacity_oversupply|customer_order_cut,crowding|capex_reversal|customer_price_resistance,false,false
COMMODITY_MEMORY_GENERAL_SEMI,dram_price_rebound|nand_price_rebound|hbm_conversion_supply_squeeze,op_eps_revision|inventory_normalization|supply_discipline,commodity_memory_price_support|multi_quarter_revision|cycle_to_structural_frame_shift,memory_rebound_crowded|spot_price_fully_priced,supply_rebound|hbm_lag|price_decline|customer_capex_cut,spot_rebound|supply_rebound|hbm_lag,false,false
SEMI_EQUIPMENT_CAPEX,customer_ai_hbm_fab_capex|equipment_order_keyword|euv_or_packaging_tool_keyword,equipment_order|guidance_raise|backlog_growth|customer_capex_budget,order_to_revenue_conversion|op_eps_revision|customer_diversification|margin_visible,equipment_group_overheating|customer_capex_peak,order_pushout|export_control|customer_capex_cut|inventory_build,customer_capex_peak|order_delay|export_control,false,false
SEMI_MATERIALS_PROCESS,process_material_keyword|customer_qualification|fab_ramp,qualification_passed|volume_ramp|margin_visibility,repeat_volume|customer_diversification|op_eps_revision,material_theme_crowded|qualification_fully_priced,qualification_delay|customer_capex_cut|price_pressure,customer_concentration|inventory|price_pressure,false,false
ADVANCED_PACKAGING_PCB,ai_server_pcb|optical_transceiver_pcb|high_layer_pcb|glass_substrate_keyword,order_visibility|lead_time_extended|capacity_constraint|op_eps_revision,ai_server_demand_converts_to_revenue|pricing_power|customer_diversification,pcb_substrate_theme_crowded|capa_expansion_news,capa_normalization|inventory_build|customer_order_delay|yield_issue,customer_concentration|capa_normalization|inventory,false,false
ADVANCED_PACKAGING_COWOS_EMIB,cowos_bottleneck|cowos_l|emib_keyword|2_5d_packaging,packaging_tool_or_substrate_order|lead_time_extended|capacity_shortage,packaging_revenue_growth|op_eps_revision|bottleneck_frame_confirmed,bottleneck_consensus_crowded|capa_expansion,bottleneck_easing|yield_issue|customer_capex_delay,capex_cycle|yield|bottleneck_normalization,false,false
DISPLAY_OLED_SUPPLYCHAIN,oled_capex|lcd_to_oled_shift|display_customer_capex,panel_capex_order|material_volume_ramp|margin_visible,multi_customer_oled_ramp|op_eps_revision|cycle_risk_controlled,display_capex_crowded|panel_capex_peak,panel_capex_delay|price_pressure|customer_cut,capex_cycle|price_competition|customer_concentration,false,false
ELECTRONIC_COMPONENTS_MLCC_SENSOR,mlcc_sensor_or_camera_keyword|smartphone_parts_recovery|content_growth,customer_diversification|content_per_device_growth|margin_improvement,recurring_component_growth|op_eps_revision|inventory_normalization,component_cycle_crowded|smartphone_recovery_fully_priced,inventory_build|customer_cut|asp_pressure|china_supply_chain_pressure,inventory|customer_concentration|china_supply_chain,false,false
AI_CHIP_FABRIC_INFRA,ai_chip_tapeout|foundry_or_system_semi_keyword|domestic_ai_chip,customer_design_win|mass_production_plan|yield_or_foundry_progress,revenue_conversion|gross_margin_visible|repeat_customer,ai_chip_theme_crowded|ipo_or_mou_premium,tapeout_delay|yield_failure|no_revenue|customer_loss,customer_validation|yield|no_revenue,false,false
AI_ACCELERATOR_CHIP_PUREPLAY,ai_accelerator_ipo|wafer_scale_engine|nvidia_competition_keyword,named_customer|commercial_revenue|gross_margin_visible,repeat_customer|software_ecosystem|eps_or_fcf_path,pureplay_valuation_overheat|nvidia_competition_ignored,customer_loss|no_revenue|valuation_compression|funding_need,nvidia_competition|valuation_overheat|rd_burn,false,false
AI_SERVER_ODM_EMS_SUPPLY_CHAIN,ai_server_rack_demand|odm_ems_keyword|server_shipment_growth,ai_server_revenue_mix|shipment_growth|op_eps_revision,ai_server_mix_changes_eps_fcf|margin_stability|customer_diversification,ai_server_valuation_overheat|inventory_growth,accounting_issue|auditor_resignation|low_margin|inventory_build|customer_concentration,low_margin|inventory|accounting|customer_concentration,false,false
NEOCLOUD_GPU_RENTAL,large_gpu_cloud_contract|gpu_rental_keyword|take_or_pay_contract,backlog_or_take_or_pay|revenue_growth|ebitda_improvement,fcf_conversion|debt_stabilization|customer_diversification,ai_cloud_valuation_overheat|gpu_debt_multiple,refinancing_pressure|gpu_obsolescence|customer_concentration|fcf_negative|ipo_downsize,high_debt|gpu_depreciation|fcf_negative|customer_concentration,false,false
OPTICAL_NETWORKING_AI_DATACENTER,optical_networking_bottleneck|fiber_or_transceiver_demand|laser_supply_constraint,hyperscaler_contract|lead_time_extended|order_visibility,long_term_contract|op_eps_revision|bottleneck_frame_confirmed,optical_group_crowded|valuation_band_expansion,lead_time_normalization|new_capacity|customer_capex_delay|order_cancellation,customer_concentration|lead_time_normalization|valuation_crowding,false,false
INDUSTRIAL_GASES_SEMICONDUCTOR_INFRA,fab_gas_plant|ultrahigh_purity_nitrogen|onsite_utility_contract,long_term_gas_supply|fab_ramp|capacity_commitment,utility_like_revenue_visibility|margin_visible|customer_contract_duration,utility_contract_fully_priced,fab_delay|customer_capex_cut|contract_margin_low|energy_cost_spike,fab_delay|customer_concentration|energy_cost,false,false
AI_DATA_CENTER_COOLING,liquid_cooling|immersion_cooling|thermal_management|hvac_datacenter,strategic_cooling_contract|data_center_customer|capacity_constraint|cooling_revenue,order_to_revenue_conversion|op_eps_revision|thermal_bottleneck_confirmed|service_revenue,cooling_theme_crowded|mna_multiple_expansion,customer_capex_delay|technology_substitution|margin_miss|mna_overpay|debt_financing,mna_overpay|debt|ai_capex_delay,false,false
DATA_CENTER_REIT_INFRASTRUCTURE,data_center_reit_ipo|hyperscaler_lease|power_capacity_site,lease_backlog|occupancy_growth|funding_cost_visible,cash_yield_growth|lease_duration|capital_cost_controlled,data_center_reit_crowded|cap_rate_compression,funding_cost_spike|power_constraint|lease_delay|tenant_concentration,capex|funding_cost|tenant_concentration,false,false
AI_GRID_FLEXIBILITY_SOFTWARE,grid_flexibility_software|virtual_power_plant|ai_power_management,utility_customer|recurring_contract|deployment_schedule,recurring_revenue|gross_margin_visible|grid_customer_expansion,grid_ai_software_crowded,pilot_only|regulatory_delay|no_recurring_revenue,poc|commercialization_delay,false,false
REDTEAM_ACCOUNTING_TRUST_OVERLAY,auditor_resignation|filing_delay|internal_control_issue|related_party_transaction,trust_event_detected,not_applicable_gate_only,not_applicable_gate_only,auditor_resignation|filing_delay|internal_control_weakness|doj_sec_investigation|related_party_transaction,auditor_resignation|filing_delay|internal_control_weakness,true,false
