case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
hyundai_rotem_morocco_rail_order_success_candidate,RAIL_INFRASTRUCTURE,064350,현대로템,KR,success_candidate,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,confirmed_contract|delivery_schedule|contract_to_sales,project_delay|margin_uncertainty,needs_price_backfill,false,Morocco rail order candidate; price and stage dates need backfill.
rail_policy_no_contract_counterexample,RAIL_INFRASTRUCTURE,RAIL_POLICY,철도정책_무계약,KR,failed_rerating,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,rail_policy_headline,mou_without_order|policy_theme_only,needs_price_backfill,false,Policy headline without binding order should stay Watch.
reconstruction_rail_theme_event_watch,RAIL_INFRASTRUCTURE,RAIL_RECON,재건철도테마,KR,event_premium,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,reconstruction_theme,no_confirmed_contract|project_financing_delay,needs_price_backfill,false,Reconstruction rail theme is event premium until order evidence appears.
ecolab_coolit_ai_liquid_cooling_candidate,AI_DATA_CENTER_COOLING,ECL,Ecolab/CoolIT,US,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,ai_data_center_capex|cooling_bottleneck|confirmed_deal,integration_risk|ai_capex_delay,needs_price_backfill,false,AI liquid cooling reference candidate; not a KR production input.
samsung_flaktgroup_hvac_candidate,AI_DATA_CENTER_COOLING,005930,삼성전자 FlaktGroup,KR,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,ai_data_center_cooling|hvac_capacity|strategic_acquisition,project_margin|integration_risk,needs_price_backfill,false,Cooling/HVAC strategic capacity candidate; operating evidence needs backfill.
liquid_cooling_theme_no_order_counterexample,AI_DATA_CENTER_COOLING,COOL_THEME,액침냉각테마_무수주,KR,failed_rerating,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,liquid_cooling_keyword,no_customer|no_order|theme_only,needs_price_backfill,false,Theme tag alone cannot create score.
ai_capex_delay_cooling_4c,AI_DATA_CENTER_COOLING,COOL_4C,AI냉각_CAPEX지연,US,4c_thesis_break,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,project_delay,ai_capex_cut|customer_cancellation,needs_price_backfill,false,Cooling demand breaks if hyperscaler CAPEX is delayed or cut.
eqt_kj_environment_waste_platform_candidate,WASTE_RECYCLING_ENVIRONMENT,KJ_ENV,KJ Environment,KR,success_candidate,UTILITIES_REGULATED_TARIFF,GREEN_POSSIBLE,waste_platform|permitted_facility|processing_coverage,capex_burden|utilization_down,needs_price_backfill,false,Waste platform candidate; private deal evidence needs conversion to case fixture.
recycling_capacity_low_utilization_counterexample,WASTE_RECYCLING_ENVIRONMENT,RECYCLE_LOW_UTIL,재활용설비_저가동률,KR,failed_rerating,UTILITIES_REGULATED_TARIFF,GREEN_POSSIBLE,recycling_capacity,low_utilization|capex_without_fcf,needs_price_backfill,false,Capacity without utilization should not become Green.
battery_recycling_no_volume_counterexample,WASTE_RECYCLING_ENVIRONMENT,BAT_REC_NO_VOL,폐배터리_물량부족,KR,failed_rerating,UTILITIES_REGULATED_TARIFF,GREEN_POSSIBLE,battery_recycling_theme,no_processing_volume|commodity_price_dependency,needs_price_backfill,false,Battery recycling theme needs actual volume.
waste_capex_burden_4c,WASTE_RECYCLING_ENVIRONMENT,WASTE_CAPEX_4C,폐기물_CAPEX부담,KR,4c_thesis_break,UTILITIES_REGULATED_TARIFF,GREEN_POSSIBLE,capex_expansion,fcf_negative_after_capex|low_utilization,needs_price_backfill,false,FCF deterioration after CAPEX is a thesis-break candidate.
douzone_bizon_cloud_erp_candidate,CLOUD_AI_SOFTWARE_INFRA,012510,더존비즈온,KR,success_candidate,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,cloud_erp|smb_lock_in|recurring_revenue,ai_cost_overrun|churn,needs_price_backfill,false,Cloud ERP recurring revenue candidate; margin/FCF evidence needs backfill.
ai_feature_no_fcf_counterexample,CLOUD_AI_SOFTWARE_INFRA,AI_SW_NO_FCF,AI기능_무현금흐름,KR,failed_rerating,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,ai_feature_launch,no_paid_usage|no_fcf,needs_price_backfill,false,AI feature without paid usage is not structural evidence.
cloud_cost_margin_pressure_4c,CLOUD_AI_SOFTWARE_INFRA,CLOUD_MARGIN_4C,클라우드비용_마진압박,KR,4c_thesis_break,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,cloud_growth,ai_cost_overrun|opm_decline,needs_price_backfill,false,Revenue growth with margin damage can break the thesis.
churn_saas_counterexample,CLOUD_AI_SOFTWARE_INFRA,SAAS_CHURN,SaaS_Churn,US,failed_rerating,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,subscription_revenue,churn|retention_down,needs_price_backfill,false,Subscription label needs retention evidence.
recurring_security_subscription_candidate,SECURITY_IDENTITY_DEEPFAKE,SEC_ARR,반복보안구독,KR,success_candidate,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,recurring_subscription|customer_diversification,trust_break|churn,needs_price_backfill,false,Security candidate only if ARR and retention are shown.
crowdstrike_outage_4c_counterexample,SECURITY_IDENTITY_DEEPFAKE,CRWD,CrowdStrike outage,US,4c_thesis_break,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,security_subscription,large_outage|lawsuit|trust_damage,needs_price_backfill,false,Operational trust break is hard 4C-style evidence.
deepfake_regulation_stage1_candidate,SECURITY_IDENTITY_DEEPFAKE,DEEPFAKE_REG,딥페이크규제,KR,event_premium,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,deepfake_regulation,no_contract|regulation_headline_only,needs_price_backfill,false,Regulation can route search but does not score without contracts.
security_theme_no_contract_counterexample,SECURITY_IDENTITY_DEEPFAKE,SEC_THEME,보안테마_무계약,KR,failed_rerating,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,security_keyword,no_contract|no_recurring_revenue,needs_price_backfill,false,Theme-only security should stay below Green.
iqvia_clinical_data_scale_candidate,CRO_CLINICAL_SERVICE,IQV,IQVIA,US,success_candidate,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,clinical_service_scale|healthcare_data|guidance_revision,funding_cycle|customer_budget_cut,needs_price_backfill,false,CRO scale reference; not a production scoring input.
icon_global_cro_scale_candidate,CRO_CLINICAL_SERVICE,ICLR,ICON,US,success_candidate,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,global_cro_scale|clinical_service_revenue,funding_cycle|customer_concentration,needs_price_backfill,false,Global CRO scale candidate; price validation needed.
charles_river_biotech_funding_crunch_4c,CRO_CLINICAL_SERVICE,CRL,Charles River funding crunch,US,4c_thesis_break,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,biotech_service_revenue,biotech_funding_crunch|forecast_cut,needs_price_backfill,false,Funding crunch can turn CRO-like service visibility into 4C.
cro_customer_budget_cut_counterexample,CRO_CLINICAL_SERVICE,CRO_BUDGET_CUT,CRO고객예산축소,US,failed_rerating,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,clinical_volume,customer_budget_cut|volume_without_margin,needs_price_backfill,false,Clinical volume is insufficient if budgets and margin decline.
inditex_inventory_speed_reference_success,APPAREL_BRAND_OEM,ITX,Inditex,ES,success_candidate,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,inventory_speed|channel_response|brand_scale,fashion_cycle|markdown,needs_price_backfill,false,Inventory speed is a positive apparel reference; local evidence still required.
shein_fast_fashion_efficiency_reference,APPAREL_BRAND_OEM,SHEIN,Shein,CN,success_candidate,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,fast_inventory_model|dtc_scale,regulatory_labor_risk|tariff,needs_price_backfill,false,Fast fashion efficiency reference with major red flags.
