case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
ecolab_coolit_ai_liquid_cooling_candidate,AI_DATA_CENTER_COOLING,ECL_COOLIT,Ecolab/CoolIT AI liquid cooling,US,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,customer_datacenter_capex_link|cooling_bottleneck|confirmed_order_or_delivery,customer_concentration|project_margin,needs_price_backfill,false,"AI cooling candidate needs delivery, service revenue, and OP revision backfill."
liquid_cooling_theme_no_order_counterexample,AI_DATA_CENTER_COOLING,COOLING_THEME,액체냉각테마_무수주,KR,failed_rerating,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,liquid_cooling_keyword,liquid_cooling_theme_only|no_customer_order,needs_price_backfill,false,Cooling keyword without order is not score evidence.
ai_capex_delay_cooling_4c,AI_DATA_CENTER_COOLING,COOL_CAPEX_4C,AI_CAPEX지연_냉각,US,4c_thesis_break,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,cooling_project_pipeline,ai_capex_delay|customer_order_delay,needs_price_backfill,false,AI CAPEX delay can break cooling backlog assumptions.
low_margin_hvac_project_counterexample,AI_DATA_CENTER_COOLING,HVAC_LOW_MARGIN,저마진HVAC프로젝트,KR,failed_rerating,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,hvac_project_revenue,low_margin_project|no_service_revenue,needs_price_backfill,false,Low-margin equipment project is not structural cooling evidence.
recurring_security_subscription_candidate,SECURITY_IDENTITY_DEEPFAKE,SEC_SUB,보안반복구독,KR,success_candidate,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,recurring_subscription|customer_retention,major_outage|legal_claim,needs_price_backfill,false,Security subscription can score with retention and no major outage.
crowdstrike_outage_4c,SECURITY_IDENTITY_DEEPFAKE,CRWD,CrowdStrike outage,US,4c_thesis_break,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,security_subscription,major_outage|legal_claim,needs_price_backfill,false,Major outage is hard 4C risk even for recurring security revenue.
deepfake_regulation_stage1_candidate,SECURITY_IDENTITY_DEEPFAKE,DEEPFAKE_REG,딥페이크규제Stage1,KR,success_candidate,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,deepfake_regulation|security_demand,contract_absence|theme_only,needs_price_backfill,false,Deepfake regulation is Stage 1 until contracts or subscription revenue appear.
security_theme_no_contract_counterexample,SECURITY_IDENTITY_DEEPFAKE,SEC_THEME,보안테마_무계약,KR,failed_rerating,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,security_theme,contract_absence|theme_only,needs_price_backfill,false,Security theme without contract is not score evidence.
cro_revenue_backlog_candidate,CRO_CLINICAL_SERVICE,CRO_BACKLOG,CRO 매출수주잔고,KR,success_candidate,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,service_backlog|clinical_service_revenue,customer_budget_cut|funding_cycle,needs_price_backfill,false,CRO can score when backlog converts to revenue.
charles_river_funding_crunch_4c,CRO_CLINICAL_SERVICE,CRL,Charles River funding crunch,US,4c_thesis_break,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,biotech_service_revenue,biotech_funding_cycle_down|forecast_cut,needs_price_backfill,false,Funding crunch can turn CRO visibility into 4C.
biotech_customer_budget_cut_counterexample,CRO_CLINICAL_SERVICE,CRO_BUDGET_CUT,바이오고객예산축소,US,failed_rerating,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,clinical_volume,customer_budget_cut|volume_without_margin,needs_price_backfill,false,Clinical volume is insufficient if customer budgets decline.
cro_customer_diversification_success_candidate,CRO_CLINICAL_SERVICE,CRO_DIVERSIFIED,CRO 고객다변화,KR,success_candidate,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,customer_diversification|repeat_service_revenue,funding_cycle|customer_concentration,needs_price_backfill,false,Diversified customers can improve CRO visibility.
qcells_us_supply_chain_candidate,SOLAR_TARIFF_SUPPLYCHAIN,009830,한화솔루션 Qcells 미국공급망,KR,success_candidate,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,us_factory_investment|solar_policy,customs_detention|component_delay,needs_price_backfill,false,US supply-chain candidate needs utilization and component-flow backfill.
qcells_customs_detention_4c,SOLAR_TARIFF_SUPPLYCHAIN,QCELLS_CUSTOMS,Qcells 통관억류,KR,4c_thesis_break,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,solar_factory_capacity,customs_detention|factory_furlough,needs_price_backfill,false,Customs detention can break solar policy-benefit thesis.
solar_subsidy_dependency_counterexample,SOLAR_TARIFF_SUPPLYCHAIN,SOLAR_SUBSIDY,태양광보조금의존,KR,failed_rerating,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,subsidy_expectation,subsidy_dependency|policy_reversal,needs_price_backfill,false,Subsidy expectation alone is not Green evidence.
solar_component_tariff_risk,SOLAR_TARIFF_SUPPLYCHAIN,SOLAR_TARIFF,태양광부품관세리스크,KR,failed_rerating,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,solar_component_supply,tariff|component_delay,needs_price_backfill,false,Tariff and component risk cap rerating.
convenience_store_pb_efficiency_candidate,RETAIL_ECOMMERCE_LOGISTICS,CONV_PB,편의점_PB효율,KR,success_candidate,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,same_store_sales_recovery|pb_mix|opm_improvement,rent_labor_pressure|competition,needs_price_backfill,false,Convenience stores need store economics and OPM.
ecommerce_logistics_scale_candidate,RETAIL_ECOMMERCE_LOGISTICS,ECOM_SCALE,이커머스물류규모,KR,success_candidate,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,logistics_scale|repeat_customer_base,logistics_cost|supplier_regulation,needs_price_backfill,false,Scale must convert into cost leverage and FCF.
ecommerce_fresh_loss_counterexample,RETAIL_ECOMMERCE_LOGISTICS,FRESH_LOSS,신선식품이커머스적자,KR,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,ecommerce_sales_growth,fresh_delivery_loss|logistics_cost_up,needs_price_backfill,false,Fresh e-commerce sales without FCF remains Watch.
supplier_regulation_margin_risk,RETAIL_ECOMMERCE_LOGISTICS,SUPPLIER_REG,공급업체규제마진리스크,KR,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,platform_scale,supplier_regulation|payment_delay,needs_price_backfill,false,Supplier pressure is not structural margin quality.
samsung_fire_underwriting_valueup_candidate,INSURANCE_UNDERWRITING_CYCLE,000810,삼성화재 underwriting value-up,KR,success_candidate,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,loss_ratio_stability|roe|shareholder_return,loss_ratio_worsens|capital_ratio_down,needs_price_backfill,false,Insurance candidate needs CSM/K-ICS and return execution backfill.
db_insurance_loss_ratio_candidate,INSURANCE_UNDERWRITING_CYCLE,005830,DB손해보험 손해율,KR,success_candidate,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,loss_ratio_stability|roe|capital_ratio,underwriting_deterioration|return_retreat,needs_price_backfill,false,Loss ratio and ROE candidate.
low_pbr_insurer_no_capital_return_counterexample,INSURANCE_UNDERWRITING_CYCLE,INS_LOW_PBR,저PBR보험_환원부재,KR,failed_rerating,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,low_pbr,capital_return_limited|low_roe,needs_price_backfill,false,Low PBR without return execution is value trap risk.
insurance_cyber_operational_risk_4c,INSURANCE_UNDERWRITING_CYCLE,INS_CYBER_4C,보험사이버운영리스크,KR,4c_thesis_break,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,insurance_infrastructure,cyber_operational_risk|service_outage,needs_price_backfill,false,Cyber operation failure can break insurance/financial infrastructure thesis.
medical_ai_external_validation_candidate,DIGITAL_HEALTHCARE_AI,MED_AI_VALID,의료AI외부검증,KR,success_candidate,MEDICAL_DEVICE_HEALTHCARE_EXPORT,WATCH_YELLOW_FIRST,external_clinical_validation|medical_imaging_ai,no_reimbursement|clinical_validation_gap,needs_price_backfill,false,Clinical AI needs paid workflow and revenue conversion.
