theme_tag,large_sector,primary_archetype,canonical_archetype,posture,green_policy,mapped,mapped_via,matched_theme_tag,must_have_evidence,red_flag_evidence,theme_is_score_input,production_scoring_changed,source_round,mapping_note
편의점,소비재·유통·브랜드,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,watch_to_green,true,round16_exact_theme,편의점,same_store_sales|opm_improvement|inventory_turnover,,false,false,round10,
홈쇼핑,소비재·유통·브랜드,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,홈쇼핑,same_store_sales|opm_improvement|inventory_turnover,,false,false,round10,
음식료,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,음식료,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,,false,false,round10,
라면,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,라면,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,,false,false,round10,
K-푸드,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,K푸드,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,,false,false,round10,
건강기능식품,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,건강기능식품,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,,false,false,round10,
마켓컬리·오아시스,소비재·유통·브랜드,ECOMMERCE_FRESH_LOGISTICS,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,event_watch,true,round16_sub_archetype,마켓컬리,unit_economics|repeat_orders|logistics_margin,,false,false,round10,
콜드체인,소비재·유통·브랜드,ECOMMERCE_FRESH_LOGISTICS,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,true,round16_exact_theme,콜드체인,unit_economics|repeat_orders|logistics_margin,,false,false,round10,
화장품 브랜드,소비재·유통·브랜드,K_BEAUTY_EXPORT_DISTRIBUTION,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,화장품 브랜드,export_growth|channel_diversification|repeat_orders|opm_roe_improvement,,false,false,round10,
화장품 OEM·ODM,소비재·유통·브랜드,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,green_allowed,true,round16_sub_archetype,화장품 OEM,customer_diversification|capacity_utilization|margin_visibility,,false,false,round10,
