target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop3_penalty_axes,hard_gate,production_scoring_changed,normalization_point
GRID_TRANSFORMER_SHORTAGE,INDUSTRIAL_ORDERS_INFRA,GRID_TRANSFORMER_SHORTAGE,GREEN_POSSIBLE,24,25,24,12,12,1,5,data_center_power_demand|ev_grid_demand|grid_modernization|lead_time_extended|transformer_price_increase,supply_contract|contract_value_to_sales|delivery_schedule|backlog_growth|op_eps_revision,fy1_fy2_fy3_revision|long_lead_time|price_increase|margin_improvement|old_industrial_frame_rerating,sector_wide_ai_grid_consensus|valuation_band_expansion|capacity_addition_news|new_order_growth_slowdown,data_center_project_delay|capa_normalization|low_margin_contract|margin_miss,contract_value|contract_duration|delivery_schedule|backlog_growth|margin_improvement|op_eps_revision,capa_normalization|data_center_project_delay|low_margin_contract|raw_material_tariff_cost,capa_normalization|data_center_delay|low_margin_long_term_contract|project_delay,false,false,"Loop 3 strengthens transformer shortage, but Green still requires contract amount, duration, delivery, margin, and EPS conversion."
AI_DATA_CENTER_POWER_EQUIPMENT,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_POWER_EQUIPMENT,GREEN_POSSIBLE,22,23,19,13,12,0,5,ups_pdu_switchgear_keyword|modular_power|electrification_equipment|hyperscaler_power_demand,data_center_orders|bookings_growth|backlog_growth|revenue_guidance_up,orders_to_revenue_conversion|op_margin_improvement|fcf_conversion|valuation_frame_change,data_center_power_consensus_crowded|ytd_return_extreme|valuation_crowding,project_delay|bookings_slowdown|data_center_capex_delay|low_margin_project,orders|backlog|revenue_guidance|op_eps_revision|margin_visible,project_delay|valuation_crowding|orders_slowdown|wind_or_mix_risk,project_delay|valuation_crowding|orders_slowdown,false,false,"GE Vernova-style orders/backlog can support Stage 2/3, but rapid rerating creates 4B-watch."
CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,20,24,18,13,12,1,5,supply_contract_news|trading_value_breakout|backlog_keyword,contract_amount_to_sales|contract_duration|counterparty|delivery_schedule|op_eps_revision,multi_year_backlog|margin_visible|capacity_constraint|fy1_fy2_revision,crowded_order_story|target_price_cluster|new_order_growth_slowdown,contract_cancelled|delivery_delay|margin_miss|customer_credit_issue,contract_value|contract_duration|counterparty|delivery_schedule|margin_visible|op_eps_revision,contract_quality_unclear|delivery_delay|margin_uncertainty|mou_or_loi_only,contract_quality_unclear|delivery_delay|margin_uncertainty,false,false,"Generic order/backlog names need contract quality and margin/EPS conversion, not just order size."
DEFENSE_GOVERNMENT_BACKLOG,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,21,24,17,14,14,3,5,nato_rearmament|defense_export_news|government_customer,official_contract|contract_value|multi_year_delivery|order_backlog_growth|op_eps_revision,government_backlog_to_sales|delivery_visibility|opm_improvement|export_mix_growth,defense_rerating_crowded|target_price_cluster|local_production_capex_ignored,delivery_delay|cost_overrun|export_permit_issue|dilution_shock|contract_cancelled,government_customer|multi_year_contract|delivery_schedule|backlog_growth|opm_improvement,delivery_delay|cost_overrun|export_license_risk|dilution|local_production_capex,capital_allocation_shock|dilution|delivery_delay|export_permit_issue,false,false,"Defense remains Green-capable, but delivery schedule, margin, and dilution/CAPEX overlay are mandatory."
DEFENSE_TECH_AUTONOMOUS_SYSTEMS,INDUSTRIAL_ORDERS_INFRA,DEFENSE_TECH_AUTONOMOUS_SYSTEMS,WATCH_YELLOW_FIRST,19,21,15,15,13,2,5,autonomous_weapon_keyword|loitering_munition|prototype_program,framework_agreement|evaluation_schedule|procurement_quantity_hint,program_of_record|mass_procurement|production_capacity|eps_conversion,prototype_theme_crowded|defense_ai_valuation_jump,procurement_delay|program_cancelled|valuation_overheat|export_control,funded_procurement|production_capacity|customer_budget|eps_conversion,prototype_only|procurement_delay|valuation_overheat,prototype|production_delay|valuation_overheat,false,false,Prototype and framework agreements stay Watch until funded procurement and production revenue appear.
DEFENSE_DRONE_COUNTER_UAS,INDUSTRIAL_ORDERS_INFRA,DEFENSE_DRONE_COUNTER_UAS,WATCH_YELLOW_FIRST,19,21,14,14,13,3,5,drone_or_counter_uas_keyword|loitering_munition|directed_energy_keyword,military_order|delivery_schedule|production_capacity,repeat_procurement|export_customer|margin_visible,drone_theme_crowding|mna_dilution,export_control|procurement_delay|production_failure|dilution,actual_order|delivery_schedule|production_capacity|repeat_procurement,prototype_only|export_control|mna_dilution,prototype|export_control|mna_dilution,false,false,Drone/counter-UAS stories need production capacity and repeat procurement.
DEFENSE_AI_SOFTWARE_INTELLIGENCE,INDUSTRIAL_ORDERS_INFRA,DEFENSE_AI_SOFTWARE_INTELLIGENCE,WATCH_YELLOW_FIRST,18,20,10,15,13,0,5,military_ai_software|command_control_software|prototype_contract,government_customer|deployment_schedule|paid_pilot,program_of_record|recurring_license|gross_margin_visible,defense_ai_software_crowded|multiple_expansion_without_arr,prototype_not_renewed|budget_cycle_cut|political_ethics_risk,government_customer|deployment_schedule|recurring_license|gross_margin_visible,prototype_stage|budget_cycle|recurring_sw_revenue_absent,prototype|no_repeat_software_revenue|budget_cycle,false,false,Defense AI software stays Watch until repeat software economics are visible.
SHIPBUILDING_OFFSHORE_BACKLOG,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,21,22,18,13,13,1,5,newbuilding_price_up|ship_order_recovery|lng_or_offshore_order|ship_engine_or_fitting_valve,large_order|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,backlog_quality_improves|fy2_fy3_margin_recognition|cost_pressure_controlled,shipbuilder_group_rally|newbuilding_price_narrative_crowded|mro_option_crowded,steel_plate_cost_spike|labor_cost_spike|order_slowdown|contract_cancelled|delivery_delay,newbuilding_price_up|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,low_margin_backlog|steel_plate_cost|labor_cost|delivery_delay,low_margin_backlog|steel_plate_cost|labor_cost|delivery_delay,false,false,"Shipbuilding needs order quality, newbuilding prices, margin recognition, and cost controls."
SHIPBUILDING_NAVAL_MRO,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_NAVAL_MRO,WATCH_YELLOW_FIRST,17,17,11,13,10,1,5,naval_mro_keyword|msra|us_shipyard_acquisition|us_navy_repair_contract,actual_mro_contract|work_period|revenue_recognition,repeat_high_margin_mro|newbuild_or_naval_order|margin_visible,naval_mro_option_crowded|mro_story_priced_as_newbuild,low_margin_mro|newbuild_license_uncertain|us_legal_restriction|shipyard_modernization_capex,repeat_mro|margin_visible|newbuild_order_or_license|revenue_conversion,low_margin_mro|legal_restriction|license_uncertain|capex_burden,mro_option_only|low_margin_mro|legal_restriction,false,false,MRO is Stage 2 reference; Stage 3 needs repeat high-margin MRO or newbuild conversion.
RAIL_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,RAIL_INFRASTRUCTURE,WATCH_YELLOW_FIRST,20,22,12,14,11,1,5,rail_order_news|foreign_rail_investment|urban_or_high_speed_rail_policy,official_contract|contract_amount_to_sales|delivery_schedule,delivery_visibility|margin_visible|op_eps_revision|financing_risk_low,rail_order_expectation_fully_priced,project_delay|financing_failure|margin_miss|warranty_cost|fx_cost,official_contract|contract_amount_to_sales|delivery_schedule|margin_visible|financing_secured,project_delay|margin_uncertainty|financing|warranty_cost,project_delay|financing|warranty_cost|margin_uncertainty,false,false,"Rail contracts can reach Stage 2, but Green needs margin, delivery, warranty, and financing evidence."
