target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,hard_gate,stage3_green_allowed,production_scoring_changed
STRUCTURAL_STAGE3_EARLY_CAPTURE,structure_change|price_attention|sector_old_frame,contract_or_customer|revision_or_profit|cross_evidence,eps_fcf_bodyweight_change|price_path_aligned|detail_confidence|no_hard_redteam,crowding|revision_lags_price,hard_redteam|revision_down|thesis_break,hard_redteam|crowded_4b|revision_down,false,true,false
STAGE2_STRONG_NOT_GREEN,large_event_or_contract|strategic_investment|approval_or_policy,large_contract|strategic_investment|approval|equity_transaction|price_response,eps_fcf_opm_conversion|repeatability|redteam_clean,stage2_story_crowded_before_earnings,conversion_missing|detail_missing|hard_redteam,stage3_evidence_missing|conversion_missing|detail_missing,false,false,false
EVENT_PRICE_RALLY_NOT_STAGE3,one_day_20pct|limit_up|policy_ipo_media_resource_event,verified_event_path|some_visibility,blocked_without_eps_fcf_contract_repeat_revenue,event_rally_4b_watch|basket_rally,event_fade|no_commerciality|no_revenue_conversion,price_only|no_eps_fcf|no_contract|event_only,true,false,false
STRUCTURAL_SUCCESS_BUT_4B_WATCH,strong_structure|large_runup,stage2_120d_mfe_80pct|stage3_252d_mfe_150pct|new_frame_accepted,fundamentals_intact_but_mispricing_reduced,4b_watch|crowded_new_frame|valuation_saturation,revision_down|demand_slowdown|margin_peak,crowding|valuation_saturation|revision_slowdown,false,false,false
CYCLE_SUCCESS_NOT_STRUCTURAL,freight_rate|commodity_spread|disease_price|lithium_or_rare_earth_event,op_eps_spike|cycle_cash_generation,durable_supply_discipline_required,cycle_peak_crowded|spot_price_peak,spread_reversal|freight_rate_crash|new_supply|price_normalization,cycle_normalization|new_supply|spot_reversal,false,false,false
DISCLOSURE_CONFIDENCE_CAP,media_report|mou|loi|non_binding|list_only_disclosure,detail_fetch_required|customer_amount_duration_margin_required,binding_contract|detail_verified|eps_fcf_path,headline_priced_before_detail,report_denied|fails_to_convert|detail_missing,media_only|mou_loi|non_binding|detail_missing,false,false,false
PRIVATE_OR_HOLDCO_LINK_CAP,private_asset_value|equity_stake|holdco_discount,equity_transaction|valuation_marker|market_share_visible,equity_method_income|dividend_or_cash_upstream|listed_company_eps_fcf_link,private_asset_premium_crowded,security_incident|regulatory_failure|valuation_link_break,holdco_link_missing|security_risk|regulatory_risk,false,false,false
OPERATIONAL_TRUST_HARD_4C,safety_accident|cyber_incident|quality_failure|ransomware,trust_repair_plan|inspection_or_remediation,blocked_until_trust_restored,trust_break_ignored_by_recovery_story,fatal_accident|safety_inspection|data_leak|ransomware|quality_collapse,fatal_accident|cyber_incident|safety|quality|ransomware,true,false,false
LEGAL_GOVERNANCE_4C_WATCH,founder_legal_risk|management_lawsuit|governance_conflict,legal_scope_known|settlement_or_resolution_path,blocked_until_legal_scope_resolved,legal_risk_ignored_by_rally,injunction|lawsuit_damage|governance_break|settlement_cost,founder_legal|management_legal|lawsuit|governance,true,false,false
POLICY_MARKET_SHOCK_OVERLAY,political_shock|geopolitical_energy_shock|short_selling_resumption,policy_resolution_or_market_stabilization,not_company_green_evidence,crowded_trade_unwind|risk_premium_spike,market_wide_riskoff|policy_reversal|valuation_compression,policy_market_shock|risk_premium|valuation_compression,true,false,false
