target_id,stage1,stage2,stage3,stage4b,stage4c,loop3_penalty_axes,hard_gate,production_scoring_changed
GRID_TRANSFORMER_SHORTAGE,data_center_power_demand|ev_grid_demand|grid_modernization|lead_time_extended|transformer_price_increase,supply_contract|contract_value_to_sales|delivery_schedule|backlog_growth|op_eps_revision,fy1_fy2_fy3_revision|long_lead_time|price_increase|margin_improvement|old_industrial_frame_rerating,sector_wide_ai_grid_consensus|valuation_band_expansion|capacity_addition_news|new_order_growth_slowdown,data_center_project_delay|capa_normalization|low_margin_contract|margin_miss,capa_normalization|data_center_delay|low_margin_long_term_contract|project_delay,false,false
AI_DATA_CENTER_POWER_EQUIPMENT,ups_pdu_switchgear_keyword|modular_power|electrification_equipment|hyperscaler_power_demand,data_center_orders|bookings_growth|backlog_growth|revenue_guidance_up,orders_to_revenue_conversion|op_margin_improvement|fcf_conversion|valuation_frame_change,data_center_power_consensus_crowded|ytd_return_extreme|valuation_crowding,project_delay|bookings_slowdown|data_center_capex_delay|low_margin_project,project_delay|valuation_crowding|orders_slowdown,false,false
CONTRACT_BACKLOG_INDUSTRIAL,supply_contract_news|trading_value_breakout|backlog_keyword,contract_amount_to_sales|contract_duration|counterparty|delivery_schedule|op_eps_revision,multi_year_backlog|margin_visible|capacity_constraint|fy1_fy2_revision,crowded_order_story|target_price_cluster|new_order_growth_slowdown,contract_cancelled|delivery_delay|margin_miss|customer_credit_issue,contract_quality_unclear|delivery_delay|margin_uncertainty,false,false
DEFENSE_GOVERNMENT_BACKLOG,nato_rearmament|defense_export_news|government_customer,official_contract|contract_value|multi_year_delivery|order_backlog_growth|op_eps_revision,government_backlog_to_sales|delivery_visibility|opm_improvement|export_mix_growth,defense_rerating_crowded|target_price_cluster|local_production_capex_ignored,delivery_delay|cost_overrun|export_permit_issue|dilution_shock|contract_cancelled,capital_allocation_shock|dilution|delivery_delay|export_permit_issue,false,false
DEFENSE_TECH_AUTONOMOUS_SYSTEMS,autonomous_weapon_keyword|loitering_munition|prototype_program,framework_agreement|evaluation_schedule|procurement_quantity_hint,program_of_record|mass_procurement|production_capacity|eps_conversion,prototype_theme_crowded|defense_ai_valuation_jump,procurement_delay|program_cancelled|valuation_overheat|export_control,prototype|production_delay|valuation_overheat,false,false
DEFENSE_DRONE_COUNTER_UAS,drone_or_counter_uas_keyword|loitering_munition|directed_energy_keyword,military_order|delivery_schedule|production_capacity,repeat_procurement|export_customer|margin_visible,drone_theme_crowding|mna_dilution,export_control|procurement_delay|production_failure|dilution,prototype|export_control|mna_dilution,false,false
DEFENSE_AI_SOFTWARE_INTELLIGENCE,military_ai_software|command_control_software|prototype_contract,government_customer|deployment_schedule|paid_pilot,program_of_record|recurring_license|gross_margin_visible,defense_ai_software_crowded|multiple_expansion_without_arr,prototype_not_renewed|budget_cycle_cut|political_ethics_risk,prototype|no_repeat_software_revenue|budget_cycle,false,false
SHIPBUILDING_OFFSHORE_BACKLOG,newbuilding_price_up|ship_order_recovery|lng_or_offshore_order|ship_engine_or_fitting_valve,large_order|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,backlog_quality_improves|fy2_fy3_margin_recognition|cost_pressure_controlled,shipbuilder_group_rally|newbuilding_price_narrative_crowded|mro_option_crowded,steel_plate_cost_spike|labor_cost_spike|order_slowdown|contract_cancelled|delivery_delay,low_margin_backlog|steel_plate_cost|labor_cost|delivery_delay,false,false
SHIPBUILDING_NAVAL_MRO,naval_mro_keyword|msra|us_shipyard_acquisition|us_navy_repair_contract,actual_mro_contract|work_period|revenue_recognition,repeat_high_margin_mro|newbuild_or_naval_order|margin_visible,naval_mro_option_crowded|mro_story_priced_as_newbuild,low_margin_mro|newbuild_license_uncertain|us_legal_restriction|shipyard_modernization_capex,mro_option_only|low_margin_mro|legal_restriction,false,false
RAIL_INFRASTRUCTURE,rail_order_news|foreign_rail_investment|urban_or_high_speed_rail_policy,official_contract|contract_amount_to_sales|delivery_schedule,delivery_visibility|margin_visible|op_eps_revision|financing_risk_low,rail_order_expectation_fully_priced,project_delay|financing_failure|margin_miss|warranty_cost|fx_cost,project_delay|financing|warranty_cost|margin_uncertainty,false,false
