case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
hyundai_hybrid_valueup_case,AUTO_MOBILITY_COMPLETED_VEHICLE,005380,Hyundai Motor hybrid value-up,KR,success_candidate,AUTO_MOBILITY_COMPLETED_VEHICLE,GREEN_POSSIBLE,2024-08-28,2024-08-28,,,,hybrid_demand|sales_target|shareholder_return|op_fcf_stability,tariff|peak_margin|recall,auto_valueup_aligned_candidate,needs_price_backfill,false,"Completed vehicle value-up needs hybrid/mix, FCF, and return execution."
toyota_hybrid_supply_bottleneck_case,AUTO_MOBILITY_COMPLETED_VEHICLE,7203.T,Toyota hybrid demand bottleneck reference,JP,success_candidate,AUTO_MOBILITY_COMPLETED_VEHICLE,GREEN_POSSIBLE,2025-01-03,2025-03-31,,,,hybrid_demand|supply_bottleneck|parts_constraint|sales_growth,component_shortage|cost_pressure,hybrid_structural_demand_reference,needs_price_backfill,false,"Hybrid demand can support auto and component visibility, but Stage 3 still needs FCF and margin proof."
hyundai_mobis_lighting_restructuring_case,AUTO_MOBILITY_COMPONENTS,012330,Hyundai Mobis lighting restructuring,KR,success_candidate,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,2026-01-27,2026-01-27,,,,lighting_business|portfolio_restructuring|high_value_component|customer_diversification,customer_concentration|quality_cost,auto_component_restructuring_candidate,needs_price_backfill,false,"Auto components should be scored through mix, customer breadth, and margin, not vehicle volume alone."
korean_air_asiana_integration_case,AIRLINE_TRAVEL_CYCLE,003490,Korean Air Asiana integration,KR,cyclical_success,AIRLINE_TRAVEL_CYCLE,WATCH_YELLOW_FIRST,2024-12-12,2025-02-07,,2025-02-07,,airline_merger|integration_synergy|record_revenue|passenger_cargo_mix,fuel|fx|integration_cost|cargo_cycle,airline_integration_success_candidate_but_cycle_watch,needs_price_backfill,false,"Airline integration can be a strong Watch case, but fuel, FX, and integration cost keep Green restricted."
china_group_visa_tourism_case,CASINO_DUTYFREE_TOURISM,KR_TOURISM_POLICY,Korea China group visa tourism policy basket,KR,event_premium,CASINO_DUTYFREE_TOURISM,WATCH_YELLOW_FIRST,2025-08-06,,,2025-08-06,,visa_policy|china_group_tourism|tourism_policy_event,policy_event_only|drop_amount_unverified|duty_free_asp_weak,tourism_policy_event_aligned_stage1,needs_price_backfill,false,"Tourism policy can move prices immediately, but Stage 3 needs spend, drop amount, ASP, and OPM."
ses_airline_connectivity_case,SATELLITE_CONNECTIVITY_INFRA,SESG.PA,SES airline connectivity backlog,EU,success_candidate,SATELLITE_CONNECTIVITY_INFRA,GREEN_POSSIBLE,2026-05-12,2026-05-12,,,,airline_connectivity_contract|connectivity_revenue_growth|satellite_backlog|airline_contract_count,capex_debt|launch_delay|competitor_constellation,satellite_connectivity_aligned_candidate,needs_price_backfill,false,"Satellite connectivity differs from SpaceX theme when real airline contracts, backlog, and revenue exist."
lime_ipo_micromobility_case,MOBILITY_RENTAL_MICROMOBILITY,LIME_PRIVATE,Lime micromobility IPO filing,US,success_candidate,MOBILITY_RENTAL_MICROMOBILITY,WATCH_YELLOW_FIRST,2026-05-01,2026-05-01,,2026-05-01,,micromobility_revenue|micromobility_fcf|city_count|utilization_rate,debt_maturity|seasonality|regulation|net_loss,micromobility_mixed_watch_candidate,needs_price_backfill,false,"Micromobility can improve with FCF, but debt maturity and losses keep it Watch."
maersk_overcapacity_rate_collapse_case,SHIPPING_FREIGHT_CYCLE,MAERSK-B.CO,Maersk overcapacity freight-rate collapse,DK,4c_thesis_break,SHIPPING_FREIGHT_CYCLE,REDTEAM_FIRST,2024-03-14,,,2025-10-03,2026-02-05,freight_rate_index|container_rate|red_sea_disruption_flag,overcapacity|freight_rate_collapse|route_normalization|earnings_collapse,shipping_cycle_hard_counterexample,needs_price_backfill,false,Shipping freight spikes are cyclical unless contract rate and supply discipline persist.
hertz_ev_rental_failure_case,RENTAL_USED_CAR_MOBILITY,HTZ,Hertz EV rental residual-value failure,US,4c_thesis_break,RENTAL_USED_CAR_MOBILITY,WATCH_YELLOW_FIRST,2024-01-11,,,,2024-01-11,ev_fleet_ratio|fleet_strategy,repair_cost|residual_value_drop|fleet_writedown|low_customer_demand,rental_ev_strategy_4c,needs_price_backfill,false,"Rental EV strategy needs residual value and repair cost validation, not EV label."
michelin_tire_demand_cut_case,TIRE_AUTO_COMPONENT_SPREAD,ML.PA,Michelin tire demand outlook cut,EU,4c_thesis_break,TIRE_AUTO_COMPONENT_SPREAD,WATCH_YELLOW_FIRST,2025-10-13,,,,2025-10-13,tire_demand_recovery|raw_material_spread,north_america_demand_slowdown|replacement_market_weakness|tariff|fx,tire_demand_slowdown_4c_watch,needs_price_backfill,false,Tire margin visibility breaks when replacement demand and volume weaken.
