case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
samsung_biologics_gsk_us_facility_case,CDMO_HEALTHCARE_CONTRACT,207940,Samsung Biologics GSK US facility acquisition,KR,success_candidate,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,,2025-12-22,,,,us_manufacturing_site|capacity_liters|capacity_expansion|tariff_mitigation,utilization_unverified|capex_burden|customer_contract_unverified|us_operating_cost,strategic_success_candidate_delayed_price_alignment,needs_price_backfill,false,"US manufacturing capacity is strategic, but utilization, customer contracts, CAPEX, and FCF must be verified."
samsung_biologics_cdmo_contract_reference,CDMO_HEALTHCARE_CONTRACT,207940,Samsung Biologics large pharma CDMO contract reference,KR,structural_success,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,,,,,,major_pharma_contracts|customer_diversification|capacity_utilization_to_verify|op_margin_to_verify,customer_concentration|contract_delay|quality_issue,cdmo_structural_reference,needs_source_date_and_price_backfill,false,"CDMO references are Green-eligible only after contract, utilization, margin, and FCF conversion are matched to stage dates."
straumann_dental_implant_growth_case,MEDICAL_DEVICE_DENTAL_IMPLANT,STMN.SW,Straumann dental implant growth case,CH,success_candidate,MEDICAL_DEVICE_DENTAL_IMPLANT,GREEN_POSSIBLE,,2026-02-18,,,,sales_growth|procedure_growth|regional_growth|guidance_growth,vbp_price_control|asp_pressure|china_procurement_uncertainty,medical_device_aligned_candidate,needs_price_backfill,false,"Dental implant growth is aligned when procedure and sales growth persist, but VBP price control is a hard gate."
botox_counterfeit_fda_warning_case,BOTULINUM_AESTHETIC_REGULATED,BOTOX_SAFETY_REF,FDA counterfeit Botox safety warning,US,4c_thesis_break,BOTULINUM_AESTHETIC_REGULATED,WATCH_YELLOW_FIRST,,,,,2025-11-05,aesthetic_procedure_demand,counterfeit_product|unapproved_product|injury_report|licensed_channel_failure,safety_regulatory_4c_watch,missing_direct_symbol_mapping,false,"Aesthetic demand cannot offset counterfeit, unapproved-product, and safety-channel risks."
lunit_mammography_ai_subgroup_case,DIGITAL_HEALTHCARE_AI,328130,Lunit mammography AI external validation and subgroup risk,KR,success_candidate,DIGITAL_HEALTHCARE_AI,WATCH_YELLOW_FIRST,,2025-03-17,,,,external_validation|ai_model_auc|clinical_ai_paper,subgroup_performance_risk|no_reimbursement_verified|hospital_adoption_unverified,clinical_validation_candidate_commercialization_unproven,needs_price_backfill,false,"AUC and external validation support Stage 1/2, but reimbursement, hospital workflow, and recurring revenue are separate gates."
lilly_oral_glp1_foundayo_case,OBESITY_GLP1_COMMERCIALIZATION,LLY,Lilly oral GLP-1 Foundayo uptake watch,US,success_candidate,OBESITY_GLP1_COMMERCIALIZATION,GREEN_POSSIBLE,,2026-05-08,,,,oral_glp1|weekly_scripts|maintenance_therapy|supply_capacity_to_verify,slow_uptake|coverage_unverified|consensus_gap|competition,high_growth_watch_to_green,needs_price_backfill,false,"GLP-1 market size is not enough; weekly scripts, coverage, supply, and sales versus consensus must be checked."
novo_wegovy_outlook_cut_case,OBESITY_GLP1_COMMERCIALIZATION,NVO,Novo Nordisk Wegovy outlook cut and price pressure,DK,4c_thesis_break,OBESITY_GLP1_COMMERCIALIZATION,GREEN_POSSIBLE,,,,,2025-05-07,glp1_market_growth,wegovy_sales_slowdown|zepbound_competition|compounded_alternative|price_pressure|outlook_cut,glp1_competition_price_4c_watch,needs_price_backfill,false,"Large GLP-1 markets still break when competition, compounded alternatives, price cuts, and slower scripts hit estimates."
hims_glp1_strategy_shift_case,PHARMA_CHANNEL_AND_PRIVACY_RISK,HIMS,Hims & Hers GLP-1 strategy shift and channel economics risk,US,4c_thesis_break,PHARMA_CHANNEL_AND_PRIVACY_RISK,REDTEAM_FIRST,,,,,2026-05-11,online_pharmacy|glp1_strategy_shift,revenue_miss|unexpected_loss|subscriber_revenue_down|compounded_drug_regulation|margin_pressure,channel_regulatory_unit_economics_4c,needs_price_backfill,false,"Online drug-channel stories need legal channel, margin, CAC, subscriber economics, and regulatory proof."
bluebird_gene_therapy_cash_crunch_case,GENE_THERAPY_RARE_DISEASE,BLUE,bluebird bio gene therapy cash crunch,US,4c_thesis_break,GENE_THERAPY_RARE_DISEASE,REDTEAM_FIRST,,,,,2025-02-21,approved_gene_therapies,cash_crunch|slow_uptake|discounted_take_private|going_concern|commercialization_failure,gene_therapy_commercialization_failure,needs_price_backfill,false,"Approved gene therapies still fail E2R if uptake, reimbursement, and cash runway do not support FCF."
bluebird_revised_offer_event_premium_case,GENE_THERAPY_RARE_DISEASE,BLUE,bluebird bio revised take-private offer event premium,US,event_premium,GENE_THERAPY_RARE_DISEASE,REDTEAM_FIRST,,2025-05-14,,,,revised_take_private_offer|event_price_bounce,event_premium|cash_crunch_not_solved_by_operations|commercialization_failure_remaining,event_premium_not_structural_success,needs_price_backfill,false,"A higher M&A offer can move price, but it is not evidence of structural commercialization success."
