target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
CDMO_HEALTHCARE_CONTRACT,cdmo_contract|capacity_expansion|new_manufacturing_site,long_term_contract|capacity_utilization|customer_diversification|op_eps_revision,multi_year_production_visibility|fcf_conversion|utilization_leverage,capacity_premium_overheated|capex_story_priced_before_utilization,utilization_down|contract_delay|capex_burden|tariff_or_quality_issue,false
CRO_CLINICAL_SERVICE,clinical_service_backlog|pharma_rd_budget|trial_volume_growth,service_revenue_growth|customer_diversification|repeat_service_revenue,multi_year_backlog|funding_cycle_stable|high_fcf_conversion,cro_recovery_expectation_overheated,biotech_funding_crunch|customer_rd_budget_cut|forecast_cut|order_cancellation,false
BIOSIMILAR_COMMERCIALIZATION,fda_ema_approval|patent_expiry|biosimilar_launch,pbm_listing|insurance_coverage|prescription_conversion|launch_revenue,prescription_growth|margin_defense|multi_country_launch,approval_news_overheated|biosimilar_launch_crowded,price_competition|prescription_conversion_delay|margin_collapse,false
BIOSIMILAR_ORIGINATOR_DEFENSE,patent_cliff|originator_defense|pipeline_replacement,pipeline_revenue_offset|price_defense|capital_allocation,defended_revenue_base|new_product_offset|margin_protection,defense_narrative_overpriced,patent_cliff|pipeline_failure|pricing_pressure|share_loss,false
OBESITY_GLP1_COMMERCIALIZATION,glp1_approval|oral_glp1_trial|prescription_growth,weekly_scripts|insurance_coverage|supply_capacity|sales_ramp,durable_prescription_growth|price_defense|op_eps_revision|coverage_expansion,obesity_market_narrative_crowded|scripts_lag_valuation,compounded_alternative|price_cut|coverage_denial|prescription_slowdown,false
GENE_THERAPY_RARE_DISEASE,gene_therapy_approval|rare_disease_unmet_need|patient_recruitment,treated_patients|reimbursement|commercial_sales|cash_runway,repeat_commercial_uptake|dilution_risk_controlled|pipeline_revenue,approval_news_overheated|rare_disease_story_crowded,slow_uptake|cash_crunch|going_concern|discounted_take_private|dilution,false
AI_DRUG_DISCOVERY_PLATFORM,ai_drug_discovery_platform|candidate_molecule|platform_partnership,big_pharma_milestone|clinical_entry|cash_runway,validated_pipeline|partner_funded_progress|commercial_or_royalty_path,ai_drug_platform_overheated|poc_story_crowded,clinical_failure|cash_burn|platform_hype_unwind|no_approved_drug,false
DIGITAL_HEALTHCARE_AI,clinical_ai_paper|external_validation|hospital_pilot|regulatory_clearance,hospital_adoption|reimbursement|paid_workflow|recurring_revenue,workflow_embedded|recurring_revenue|op_improvement|liability_risk_low,medical_ai_narrative_overheated|paper_only_valuation_premium,subgroup_performance_issue|reimbursement_denial|liability_event|hospital_adoption_failure,false
DIGITAL_HEALTHCARE_REMOTE_MEDICINE,remote_medicine_policy|wearable_or_emr_integration|digital_health_platform,hospital_or_insurer_contract|b2b_b2b2c_contract|recurring_subscription|unit_economics,embedded_workflow|reimbursement_visible|repeat_usage|opm_improvement,telehealth_theme_crowded,regulatory_reversal|reimbursement_failure|privacy_incident|unit_economics_failure,false
TELEHEALTH_BEHAVIORAL_HEALTH,online_behavioral_health_demand|subscriber_growth|dtc_health_platform,employer_or_insurer_contract|cac_stable|repeat_usage,low_churn_contract_revenue|fcf_margin|privacy_clean,dtc_telehealth_growth_crowded,cac_spike|privacy_incident|impairment|forecast_withdrawal|churn,false
PHARMA_CHANNEL_AND_PRIVACY_RISK,online_pharmacy|compounded_drug_channel|health_data_platform,legal_prescription_channel|gross_margin|subscriber_revenue,regulated_repeat_channel|privacy_clean|fcf_visible,online_drug_channel_crowded,fda_ftc_scrutiny|compounded_quality_issue|privacy_breach|margin_collapse,false
MEDICAL_DEVICE_HEALTHCARE_EXPORT,medical_device_export|new_approval|procedure_growth,export_country_expansion|recurring_procedure|consumable_revenue|opm_roe_improvement,repeat_procedure_demand|asp_stable|fcf_improvement|channel_quality,device_premium_crowded|target_multiple_saturated,approval_delay|safety_issue|price_control|channel_failure|single_device_no_consumable,false
MEDICAL_DEVICE_DENTAL_IMPLANT,dental_implant_growth|procedure_growth|approval_or_channel,export_country_expansion|recurring_procedure_consumable|opm_roe_improvement,approval_stable|repeat_consumable_revenue|pricing_pressure_low|channel_quality,implant_premium_crowded|vbp_risk_ignored,vbp_price_control|asp_drop|approval_delay|safety_issue|competition,false
BOTULINUM_AESTHETIC_REGULATED,botulinum_toxin_demand|aesthetic_procedure_growth|licensed_channel,repeat_procedure|regulatory_approval|safe_distribution_channel|op_eps_revision,licensed_repeat_procedure|safety_clean|export_channel|fcf_conversion,aesthetic_toxin_premium_crowded,counterfeit_product|unapproved_product|injury_report|channel_failure|safety_issue,false
DIAGNOSTICS_INFECTIOUS_DISEASE,infectious_disease_diagnostic_demand|pandemic_or_mpox_event|test_kit_sales_spike,recurring_non_event_demand|installed_base_consumables|post_event_revenue,recurring_platform_revenue|margin_normalization|non_event_demand,diagnostic_event_extrapolated,one_off_demand|guidance_down|inventory_build|demand_cliff,false
ANIMAL_HEALTH_BIOSECURITY,animal_vaccine|biosecurity_policy|disease_outbreak,government_or_farm_contract|recurring_prevention_revenue|margin_visibility,recurring_biosecurity_demand|policy_budget|fcf_visibility,outbreak_theme_crowded,disease_event_normalization|policy_budget_cut|inventory_build|approval_issue,false
