theme_tag,large_sector,primary_archetype,canonical_archetype,secondary_archetypes,green_policy,posture,theme_is_score_input,stage1_query_terms,must_have_evidence,red_flag_evidence,score_weight_profile
편의점,CONSUMER_RETAIL_BRAND,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,,"Green only if store efficiency, margin, and FCF improve beyond simple traffic recovery.",WATCH_YELLOW_FIRST,false,same-store sales|PB mix|점포효율|OPM 개선,same_store_sales|opm_improvement|pb_mix|fcf_improvement,rent_wage_pressure|traffic_only|inventory_build|online_competition,retail_operating_leverage
홈쇼핑,CONSUMER_RETAIL_BRAND,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,,"Green only if store efficiency, margin, and FCF improve beyond simple traffic recovery.",WATCH_YELLOW_FIRST,false,same-store sales|PB mix|점포효율|OPM 개선,same_store_sales|opm_improvement|pb_mix|fcf_improvement,rent_wage_pressure|traffic_only|inventory_build|online_competition,retail_operating_leverage
음식료-유통,CONSUMER_RETAIL_BRAND,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,,"Green only if store efficiency, margin, and FCF improve beyond simple traffic recovery.",WATCH_YELLOW_FIRST,false,same-store sales|PB mix|점포효율|OPM 개선,same_store_sales|opm_improvement|pb_mix|fcf_improvement,rent_wage_pressure|traffic_only|inventory_build|online_competition,retail_operating_leverage
PB상품,CONSUMER_RETAIL_BRAND,RETAIL_CONVENIENCE_OFFLINE,RETAIL_DOMESTIC_CONSUMER,,"Green only if store efficiency, margin, and FCF improve beyond simple traffic recovery.",WATCH_YELLOW_FIRST,false,same-store sales|PB mix|점포효율|OPM 개선,same_store_sales|opm_improvement|pb_mix|fcf_improvement,rent_wage_pressure|traffic_only|inventory_build|online_competition,retail_operating_leverage
마켓컬리,CONSUMER_RETAIL_BRAND,ECOMMERCE_FRESH_LOGISTICS,PLATFORM_SOFTWARE_INTERNET,,Listing or stake events are event-premium until logistics margin and repeat orders are visible.,WATCH_YELLOW_FIRST,false,unit economics|repeat orders|cold-chain margin|상장 이벤트,unit_economics|repeat_orders|logistics_margin|revenue_conversion,event_premium_only|traffic_without_profit|delivery_cost_pressure,fresh_ecommerce_unit_economics
오아시스,CONSUMER_RETAIL_BRAND,ECOMMERCE_FRESH_LOGISTICS,PLATFORM_SOFTWARE_INTERNET,,Listing or stake events are event-premium until logistics margin and repeat orders are visible.,WATCH_YELLOW_FIRST,false,unit economics|repeat orders|cold-chain margin|상장 이벤트,unit_economics|repeat_orders|logistics_margin|revenue_conversion,event_premium_only|traffic_without_profit|delivery_cost_pressure,fresh_ecommerce_unit_economics
콜드체인,CONSUMER_RETAIL_BRAND,ECOMMERCE_FRESH_LOGISTICS,PLATFORM_SOFTWARE_INTERNET,,Listing or stake events are event-premium until logistics margin and repeat orders are visible.,WATCH_YELLOW_FIRST,false,unit economics|repeat orders|cold-chain margin|상장 이벤트,unit_economics|repeat_orders|logistics_margin|revenue_conversion,event_premium_only|traffic_without_profit|delivery_cost_pressure,fresh_ecommerce_unit_economics
새벽배송,CONSUMER_RETAIL_BRAND,ECOMMERCE_FRESH_LOGISTICS,PLATFORM_SOFTWARE_INTERNET,,Listing or stake events are event-premium until logistics margin and repeat orders are visible.,WATCH_YELLOW_FIRST,false,unit economics|repeat orders|cold-chain margin|상장 이벤트,unit_economics|repeat_orders|logistics_margin|revenue_conversion,event_premium_only|traffic_without_profit|delivery_cost_pressure,fresh_ecommerce_unit_economics
손해보험,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,,"Insurance Green requires underwriting improvement, capital strength, and executed return.",GREEN_POSSIBLE,false,손해율 개선|CSM|K-ICS|자사주/배당,loss_ratio|csm_growth|capital_ratio|shareholder_return_execution,loss_ratio_worsening|capital_ratio_weak|credit_cost|return_policy_retreat,insurance_underwriting_valueup
생명보험,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,,"Insurance Green requires underwriting improvement, capital strength, and executed return.",GREEN_POSSIBLE,false,손해율 개선|CSM|K-ICS|자사주/배당,loss_ratio|csm_growth|capital_ratio|shareholder_return_execution,loss_ratio_worsening|capital_ratio_weak|credit_cost|return_policy_retreat,insurance_underwriting_valueup
화재,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,,"Insurance Green requires underwriting improvement, capital strength, and executed return.",GREEN_POSSIBLE,false,손해율 개선|CSM|K-ICS|자사주/배당,loss_ratio|csm_growth|capital_ratio|shareholder_return_execution,loss_ratio_worsening|capital_ratio_weak|credit_cost|return_policy_retreat,insurance_underwriting_valueup
고배당주,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,,"Insurance Green requires underwriting improvement, capital strength, and executed return.",GREEN_POSSIBLE,false,손해율 개선|CSM|K-ICS|자사주/배당,loss_ratio|csm_growth|capital_ratio|shareholder_return_execution,loss_ratio_worsening|capital_ratio_weak|credit_cost|return_policy_retreat,insurance_underwriting_valueup
결제서비스,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,,Payment themes need transaction economics and regulated adoption before higher conviction.,WATCH_YELLOW_FIRST,false,거래액|take rate|금융기관 채택|수수료 모델,transaction_volume|take_rate|institutional_adoption|fee_model,law_delay|security_issue|no_revenue|take_rate_pressure,payment_infra_monetization
토스 관련주,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,,Payment themes need transaction economics and regulated adoption before higher conviction.,WATCH_YELLOW_FIRST,false,거래액|take rate|금융기관 채택|수수료 모델,transaction_volume|take_rate|institutional_adoption|fee_model,law_delay|security_issue|no_revenue|take_rate_pressure,payment_infra_monetization
지역화폐,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,,Payment themes need transaction economics and regulated adoption before higher conviction.,WATCH_YELLOW_FIRST,false,거래액|take rate|금융기관 채택|수수료 모델,transaction_volume|take_rate|institutional_adoption|fee_model,law_delay|security_issue|no_revenue|take_rate_pressure,payment_infra_monetization
