case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
samsung_ea_fadhili_epc_stage2_strong_case,OVERSEAS_EPC_CONTRACT_BACKLOG_KOREA,028050,Samsung E&A Fadhili EPC Stage 2 strong candidate,KR,success_candidate,OVERSEAS_EPC_CONTRACT_BACKLOG_KOREA,GREEN_POSSIBLE,,2024-04-02,,,,fadhili_gas_expansion|saudi_aramco_customer|7_7bn_usd_project|samsung_ea_6bn_usd_contract|completion_2027_11|intraday_price_plus_8_5pct|kospi_minus_1_4pct,cost_ratio_unconfirmed|cash_conversion_unconfirmed|low_margin_order_risk,stage2_price_aligned_epc_not_green_until_margin_cash,needs_cost_ratio_cash_conversion_op_eps_price_backfill,false,"Samsung E&A is the clean R10 Stage 2 example; Stage 3 waits for EPC margin, OP/EPS revision, and cash conversion."
gs_construction_fadhili_epc_pf_quality_cap_case,OVERSEAS_EPC_CONTRACT_BACKLOG_KOREA,006360,GS Engineering & Construction Fadhili EPC with PF and quality cap,KR,success_candidate,OVERSEAS_EPC_CONTRACT_BACKLOG_KOREA,GREEN_POSSIBLE,,2024-04-02,,,,fadhili_project_awardee|saudi_aramco_customer|overseas_epc_recovery,individual_contract_amount_missing|epc_margin_unconfirmed|housing_pf_exposure|quality_cost_risk,stage2_epc_visibility_with_pf_quality_cap,needs_contract_amount_margin_pf_quality_price_backfill,false,"GS Construction gets Stage 2 visibility from Fadhili, but the builder-specific PF and quality gates remain active."
samsung_ct_ai_data_center_option_no_contract_cap_case,AI_DATA_CENTER_REAL_ASSET_KOREA,028260,Samsung C&T AI data-center real-asset option without contract cap,KR,event_premium,AI_DATA_CENTER_REAL_ASSET_KOREA,WATCH_YELLOW_FIRST,2025-10-02,2025-10-29,,2025-10-02,,openai_korea_data_center_plan|samsung_affiliate_price_reaction|aws_5bn_korea_data_center_investment|20mw_two_data_centers,actual_epc_contract_missing|tenant_lease_missing|power_water_permitting_unknown|noi_affo_missing,ai_data_center_option_price_reaction_not_green_without_contract,needs_epc_tenant_power_noi_affo_price_backfill,false,"Samsung C&T can be an AI real-asset option, but actual EPC contract, tenant, power/water, and NOI/AFFO are required before Stage 3."
large_builder_pf_relief_balance_sheet_defense_case,LARGE_BUILDER_BALANCE_SHEET_DEFENSE,000720/047040/375500,Hyundai E&C Daewoo E&C DL E&C large-builder PF relief basket,KR,success_candidate,LARGE_BUILDER_BALANCE_SHEET_DEFENSE,GREEN_POSSIBLE,2024-03-27,2024-03-27,,,,40_6tn_krw_support_package|guarantee_expansion|market_stabilization_fund|large_builder_diversification,pf_exposure_unconfirmed|cash_conversion_unconfirmed|unsold_units_risk|cost_ratio_risk,large_builder_stage2_relief_not_green_until_pf_cash_repair,needs_pf_exposure_cash_conversion_cost_ratio_price_backfill,false,"Large builders may defend better than small builders, but PF exposure, cash conversion, unsold units, and cost ratio decide Stage 3."
k_reit_dividend_coverage_ltv_refinancing_case,K_REIT_DIVIDEND_COVERAGE,395400/365550/330590,SK REIT ESR Kendall Square REIT Lotte REIT dividend coverage gate,KR,success_candidate,K_REIT_DIVIDEND_COVERAGE,WATCH_YELLOW_FIRST,,,,,,high_dividend_reit|rate_cut_expectation|occupancy_needed|noi_affo_needed,dividend_coverage_missing|ltv_risk|refinancing_rate_risk|occupancy_missing,reit_yield_stage2_watch_not_green_until_affo_ltv,needs_occupancy_noi_affo_dividend_ltv_price_backfill,false,"K-REITs need occupancy, NOI/AFFO/share, dividend coverage, LTV, and refinancing rate before Green."
logistics_reit_occupancy_green_possible_case,LOGISTICS_REIT_OCCUPANCY_KOREA,365550,ESR Kendall Square REIT logistics occupancy green-possible gate,KR,success_candidate,LOGISTICS_REIT_OCCUPANCY_KOREA,GREEN_POSSIBLE,,,,,,logistics_asset_recovery|occupancy_needed|lease_rate_needed|tenant_quality_needed|noi_affo_needed,vacancy_risk|tenant_default_risk|ltv_risk|dividend_coverage_missing,logistics_reit_can_improve_if_occupancy_affo_ltv_confirm,needs_occupancy_rent_affo_ltv_price_backfill,false,"Logistics REIT is Green-capable only after occupancy, rent, AFFO/share, LTV, and dividend coverage are verified."
kcc_kccglass_lxhausys_material_mix_cycle_case,BUILDING_MATERIALS_PRICE_COST_KOREA,002380/344820/108670,KCC KCC Glass LX Hausys building-material mix and housing-cycle cap,KR,success_candidate,BUILDING_MATERIALS_PRICE_COST_KOREA,WATCH_YELLOW_FIRST,,2025-04-28,,,,momentive_integration|silicone_specialty_mix|kcc_glass_indonesia_investment_option|building_material_product_mix,housing_cycle_risk|raw_material_cost_risk|integration_risk|volume_missing,building_material_mix_stage2_not_green_until_volume_opm_fcf,needs_volume_raw_material_opm_fcf_price_backfill,false,"KCC-type building-material names need product mix, volume, OPM/FCF, raw-material cost, and integration evidence."
taeyoung_construction_pf_workout_hard_4c_case,CONSTRUCTION_REAL_ESTATE_CREDIT_KOREA,009410,Taeyoung Construction PF workout hard 4C reference,KR,4c_thesis_break,CONSTRUCTION_REAL_ESTATE_CREDIT_KOREA,REDTEAM_FIRST,,2024-03-27,,,2024-03-27,pf_support_context|debt_rescheduling_reference,pf_workout_flag|debt_rescheduling|liquidity_crisis|shareholder_dilution_or_creditor_control,pf_workout_is_hard_4c_not_recovery,needs_pf_workout_event_price_backfill,false,"Taeyoung is the R10 PF hard break reference; support packages are relief context, not Stage 3 evidence."
hdc_hyundai_development_gwangju_collapse_hard_4c_case,APARTMENT_QUALITY_SAFETY_OVERLAY,294870,HDC Hyundai Development Gwangju collapse hard quality 4C,KR,4c_thesis_break,APARTMENT_QUALITY_SAFETY_OVERLAY,REDTEAM_FIRST,,,,,2022-01-11,housing_brand_recovery_prior,fatal_collapse_6_deaths|government_investigation|chairman_resignation|faulty_method_and_materials|brand_damage,safety_quality_hard_4c,needs_collapse_event_price_quality_cost_backfill,false,A fatal apartment collapse immediately blocks Green regardless of housing-cycle or brand recovery evidence.
hanil_cement_price_pass_collusion_regulatory_cap_case,BUILDING_MATERIALS_PRICE_COST_KOREA,300720/004980,Hanil Cement and Sungshin Cement price pass-through with collusion cap,KR,failed_rerating,BUILDING_MATERIALS_PRICE_COST_KOREA,WATCH_YELLOW_FIRST,,,,,,cement_price_hike|energy_cost_down_option|price_pass_through_signal,collusion_penalty_history|volume_missing|construction_start_cycle|regulatory_risk,cement_price_hike_not_green_without_volume_regulatory_clearance,needs_volume_energy_cost_regulatory_price_backfill,false,"Cement price hikes can be Stage 2 evidence, but volume and regulatory history cap Stage 3."
ai_data_center_no_contract_4b_watch_case,AI_DATA_CENTER_REAL_ASSET_KOREA,KR_R10_AI_DC_BASKET,Korea AI data-center real-asset basket without contract,KR,4b_watch,AI_DATA_CENTER_REAL_ASSET_KOREA,WATCH_YELLOW_FIRST,2025-10-02,2025-10-29,,2025-10-02,,openai_aws_korea_data_center_macro|construction_materials_basket_rally_option,actual_contract_missing|tenant_missing|power_water_permitting_unknown|noi_affo_missing,ai_data_center_name_only_is_4b_watch_not_green,needs_contract_tenant_power_water_noi_affo_backfill,false,"AI data-center macro demand can create a basket rally, but no contract/no tenant/no NOI-AFFO remains 4B-watch."
epc_low_margin_order_overlay_case,EPC_LOW_MARGIN_ORDER_OVERLAY,KR_R10_EPC_BASKET,Korea EPC low-margin order overlay,KR,failed_rerating,EPC_LOW_MARGIN_ORDER_OVERLAY,REDTEAM_FIRST,,,,,,large_epc_contract_amount|long_term_project,cost_ratio_unconfirmed|construction_delay_risk|low_margin_order_risk|cash_conversion_missing,large_order_not_green_if_margin_cash_missing,needs_epc_margin_cash_conversion_backfill,false,"Large EPC order size must be paired with margin, execution, and cash conversion before Stage 3."
r10_disclosure_confidence_cap_case,DISCLOSURE_CONFIDENCE_CAP,KR_R10_DISCLOSURE_BASKET,Korea R10 disclosure confidence cap basket,KR,failed_rerating,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,,,,,,contract_pf_noi_affo_headline,contract_amount_missing|pf_detail_missing|noi_affo_missing|cost_ratio_missing|dividend_coverage_missing,disclosure_detail_missing_cap,needs_contract_pf_noi_affo_cost_dividend_backfill,false,"R10 headline evidence is capped when contract amount, PF detail, NOI/AFFO, cost ratio, or dividend coverage is missing."
