case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
korea_pf_delinquency_restructuring_case,CONSTRUCTION_REAL_ESTATE_CREDIT,KR_PF_DELINQUENCY,Korea PF delinquency restructuring,KR,4c_thesis_break,CONSTRUCTION_REAL_ESTATE_CREDIT,REDTEAM_FIRST,2024-05-13,,,,2024-05-13,pf_delinquency_rate|fss_project_assessment|restructuring,pf_delinquency_increase|bridge_loan_rollover_failure|debt_workout,pf_credit_risk_hard_counterexample,needs_price_backfill,false,PF delinquency rose from 0.37% in 2021 to 2.70% in 2023; backlog alone cannot create Green.
korea_builder_support_relief_case,CONSTRUCTION_REAL_ESTATE_CREDIT,KR_BUILDER_SUPPORT,Korea builder liquidity support,KR,event_premium,CONSTRUCTION_REAL_ESTATE_CREDIT,REDTEAM_FIRST,2024-03-27,,,2024-03-27,,government_support|policy_support_amount|builder_liquidity_support,pf_exposure|unsold_inventory|refinancing,policy_relief_rally_not_structural_success,needs_price_backfill,false,Government support is Stage 1 relief; Stage 2 needs refinancing and cash-flow proof.
blackstone_mortgage_trust_dividend_cut_case,COMMERCIAL_REAL_ESTATE_CREDIT,BXMT,Blackstone Mortgage Trust dividend cut,US,4c_thesis_break,COMMERCIAL_REAL_ESTATE_CREDIT,REDTEAM_FIRST,2024-07-24,,,,2024-07-24,office_exposure|watchlisted_or_impaired_asset_ratio|credit_loss_reserve,dividend_cut|office_vacancy|impaired_loan|credit_loss_reserve,commercial_re_credit_4c,needs_price_backfill,false,Dividend cut after office credit stress is a hard CRE credit 4C example.
blackstone_data_center_reit_flat_debut_case,DATA_CENTER_REIT_INFRASTRUCTURE,BLACKSTONE_DC_REIT,Blackstone Digital Infrastructure Trust flat debut,US,failed_rerating,DATA_CENTER_REIT_INFRASTRUCTURE,GREEN_POSSIBLE,2026-05-14,,,,,ai_data_center_reit_ipo|hyperscale_tenant_target,no_acquired_assets|no_affo|funding_cost,theme_without_asset,needs_price_backfill,false,"A data-center REIT label needs acquired assets, tenants, and AFFO before Stage 3."
ntt_dc_reit_tepid_debut_case,DATA_CENTER_REIT_INFRASTRUCTURE,NTT_DC_REIT,NTT DC REIT tepid debut,SG,success_candidate,DATA_CENTER_REIT_INFRASTRUCTURE,GREEN_POSSIBLE,2025-07-14,2025-07-14,,,,data_center_assets|tenant_contract|reit_ipo,funding_cost|affo_unverified,mild_price_alignment_no_explosive_rerating,needs_price_backfill,false,"Even with assets, data-center REITs need AFFO, tenant quality, and rate checks."
fermi_ai_data_center_reit_case,AI_DATA_CENTER_REAL_ASSET_DEVELOPMENT,FRMI,Fermi AI data-center real-asset project,US,4b_watch,AI_DATA_CENTER_REAL_ASSET_DEVELOPMENT,WATCH_YELLOW_FIRST,2025-09-30,,,2025-09-30,,ai_data_center_campus|power_pipeline|asset_pipeline_value,pre_revenue|funding_gap|permitting|power_water_delay,ai_infra_real_asset_high_risk_watch,needs_price_backfill,false,"Pre-revenue AI real-asset mega-project valuation is 4B-watch, not Green."
lineage_cold_storage_reit_ipo_case,COLD_CHAIN_REIT_LOGISTICS,LINE,Lineage cold-storage REIT IPO,US,success_candidate,COLD_CHAIN_REIT_LOGISTICS,GREEN_POSSIBLE,2024-07-24,2024-07-24,,,,cold_storage_warehouse_count|customer_count|temperature_controlled_logistics,net_loss|energy_cost|debt|affo_uncertainty,cold_chain_scale_success_candidate_but_profitability_watch,needs_price_backfill,false,"Scale and customer count help, but net loss and AFFO uncertainty keep Green restricted."
heidelberg_materials_price_cost_case,BUILDING_MATERIALS_CYCLE,HEI.DE,Heidelberg Materials price-cost alignment,EU,success_candidate,BUILDING_MATERIALS_CYCLE,WATCH_YELLOW_FIRST,2025-11-06,2025-11-06,,2026-02-25,,price_hike|cost_saving_amount|opm_improvement|infrastructure_demand,volume_decline|energy_cost|construction_slowdown,building_materials_price_cost_aligned_candidate,needs_price_backfill,false,"Building materials can be Watch-to-Green when price, cost, OPM, and demand align."
cemex_demand_slowdown_price_offset_case,BUILDING_MATERIALS_CYCLE,CEMEX,Cemex demand slowdown and price-offset limit,MX,4c_thesis_break,BUILDING_MATERIALS_CYCLE,WATCH_YELLOW_FIRST,2025-02-06,,,,2025-02-06,price_hike|cost_saving_amount,volume_decline|demand_slowdown|price_increase_not_enough,building_materials_demand_slowdown_mixed_case,needs_price_backfill,false,Price increases cannot offset weak volumes forever; volume and FCF must be checked.
ukraine_reconstruction_event_watch_case,INFRA_RECONSTRUCTION_POLICY,UKRAINE_REBUILD_BASKET,Ukraine reconstruction event watch,GLOBAL,event_premium,INFRA_RECONSTRUCTION_POLICY,REDTEAM_FIRST,,,,,,reconstruction_policy|infrastructure_theme,no_actual_contract|financing|geopolitical_setback,actual_contract_before_green,needs_price_backfill,false,Reconstruction policy needs funded contracts and supplier margin evidence before Green.
neom_city_event_watch_case,INFRA_RECONSTRUCTION_POLICY,NEOM_POLICY_BASKET,Neom city event watch,GLOBAL,event_premium,INFRA_RECONSTRUCTION_POLICY,REDTEAM_FIRST,,,,,,neom_city|policy_theme|infrastructure_theme,no_actual_contract|financing|project_delay,actual_contract_before_green,needs_price_backfill,false,Neom-related theme labels remain Event/Watch until actual contract economics are visible.
disaster_rebuild_materials_event_case,DISASTER_REBUILD_EVENT,DISASTER_REBUILD_BASKET,Disaster rebuild materials event basket,GLOBAL,one_off,DISASTER_REBUILD_EVENT,REDTEAM_FIRST,,,,,,disaster_rebuild_event|short_term_material_demand,one_off_demand|inventory_build|margin_reversal,one_off_rebuild_event_not_structural,needs_price_backfill,false,"Disaster rebuild demand can create Stage 1, but recurrence and margins are required for more."
