case_id,symbol,company_name,archetype,round1_core_archetype,block,case_type
hd_hyundai_electric_2023,267260,HD현대일렉트릭,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,STRUCTURAL_E2R,structural_success
iljin_electric_2023_2024,103590,일진전기,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,STRUCTURAL_E2R,structural_success
hyosung_heavy_2023,298040,효성중공업,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,STRUCTURAL_E2R,structural_success
daehan_cable_like_2026,001440,대한전선-like,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,STRUCTURAL_E2R,failed_rerating
defense_theme_no_backlog,DEF_THEME,방산테마_백로그부족,DEFENSE_GOVERNMENT_BACKLOG,DEFENSE_GOVERNMENT_BACKLOG,STRUCTURAL_E2R,failed_rerating
hyundai_rotem_k2_export,064350,현대로템 K2 수출,DEFENSE_GOVERNMENT_BACKLOG,DEFENSE_GOVERNMENT_BACKLOG,STRUCTURAL_E2R,success_candidate
samsung_heavy_shipbuilding_cycle,010140,삼성중공업 조선사이클,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,STRUCTURAL_E2R,cyclical_success
shipbuilding_low_margin_backlog,SHIP_LOW_MARGIN,조선 저마진 수주잔고,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,STRUCTURAL_E2R,failed_rerating
nuclear_czech_policy_contract,NUCLEAR_CZECH,체코 원전 정책계약,NUCLEAR_SMR_GRID_POLICY,UTILITIES_REGULATED_TARIFF,EXTENSION_REFINEMENT,event_premium
nuclear_legal_delay,NUCLEAR_DELAY,원전 법적 지연,NUCLEAR_SMR_GRID_POLICY,UTILITIES_REGULATED_TARIFF,EXTENSION_REFINEMENT,4c_thesis_break
sk_hynix_hbm_rerating,000660,SK하이닉스 HBM 리레이팅,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,STRUCTURAL_E2R,structural_success
sk_hynix_hbm_4b_watch,000660,SK하이닉스 HBM 4B Watch,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,STRUCTURAL_E2R,4b_watch
samsung_memory_recovery,005930,삼성전자 메모리 회복,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,STRUCTURAL_E2R,cyclical_success
simple_dram_rebound,DRAM_REBOUND,단순 DRAM 반등,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,STRUCTURAL_E2R,failed_rerating
hanmi_semi_hbm_equipment,042700,한미반도체 HBM 장비,SEMI_EQUIPMENT_CAPEX,SEMI_EQUIPMENT_CAPEX,STRUCTURAL_E2R,success_candidate
semi_equipment_customer_capex_cut,SEMI_CAPEX_CUT,반도체장비 고객 Capex 축소,SEMI_EQUIPMENT_CAPEX,SEMI_EQUIPMENT_CAPEX,STRUCTURAL_E2R,4c_thesis_break
ai_dc_power_grid,AI_DC_GRID,AI 데이터센터 전력망,AI_DATA_CENTER_INFRASTRUCTURE,SEMI_EQUIPMENT_CAPEX,EXTENSION_REFINEMENT,success_candidate
ai_dc_theme_no_order,AI_DC_THEME,AI 데이터센터 테마 무수주,AI_DATA_CENTER_INFRASTRUCTURE,SEMI_EQUIPMENT_CAPEX,EXTENSION_REFINEMENT,overheat
esopcb_ai_server,ESO_PCB,AI 서버 PCB,AI_DATA_CENTER_INFRASTRUCTURE,SEMI_EQUIPMENT_CAPEX,EXTENSION_REFINEMENT,success_candidate
samyang_foods_2024,003230,삼양식품,EXPORT_RECURRING_CONSUMER,EXPORT_RECURRING_CONSUMER,STRUCTURAL_E2R,structural_success
one_product_fad_consumer,ONE_PRODUCT_FAD,단일제품 유행 소비재,EXPORT_RECURRING_CONSUMER,EXPORT_RECURRING_CONSUMER,STRUCTURAL_E2R,failed_rerating
consumer_recall_regulation,CONSUMER_RECALL,소비재 리콜 규제,EXPORT_RECURRING_CONSUMER,EXPORT_RECURRING_CONSUMER,STRUCTURAL_E2R,4c_thesis_break
silicontwo_2024,257720,실리콘투,K_BEAUTY_EXPORT_DISTRIBUTION,K_BEAUTY_EXPORT_DISTRIBUTION,STRUCTURAL_E2R,success_candidate
apr_kbeauty_device,278470,APR K뷰티 디바이스,K_BEAUTY_EXPORT_DISTRIBUTION,K_BEAUTY_EXPORT_DISTRIBUTION,STRUCTURAL_E2R,success_candidate
kbeauty_china_dependency,KBEAUTY_CHINA,K뷰티 중국 의존,K_BEAUTY_EXPORT_DISTRIBUTION,K_BEAUTY_EXPORT_DISTRIBUTION,STRUCTURAL_E2R,failed_rerating
kbeauty_channel_stuffing,KBEAUTY_STUFF,K뷰티 채널 스터핑,K_BEAUTY_EXPORT_DISTRIBUTION,K_BEAUTY_EXPORT_DISTRIBUTION,STRUCTURAL_E2R,4c_thesis_break
classys_medical_export,214150,클래시스 의료기기 수출,MEDICAL_DEVICE_HEALTHCARE_EXPORT,MEDICAL_DEVICE_HEALTHCARE_EXPORT,STRUCTURAL_E2R,success_candidate
