case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,validation_group,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
anduril_low_cost_containerized_munitions_framework_candidate,DEFENSE_TECH_AUTONOMOUS_SYSTEMS,ANDURIL_FW,Anduril low-cost containerized munitions framework candidate,US,success_candidate,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,backlog_contract,government_framework|procurement_quantity|production_capacity,procurement_uncertainty|valuation_overheat,needs_price_backfill,false,Framework plus volume procurement is stronger than drone-tech headlines.
anduril_high_private_valuation_4b_watch,DEFENSE_TECH_AUTONOMOUS_SYSTEMS,ANDURIL_4B,Anduril high private valuation 4B watch,US,4b_watch,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,backlog_contract,defense_autonomy,valuation_overheat|valuation_unwind,needs_price_backfill,false,"Private valuation can be 4B-watch, not public scoring evidence."
defense_autonomy_prototype_no_revenue_counterexample,DEFENSE_TECH_AUTONOMOUS_SYSTEMS,DEF_PROTO,Defense autonomy prototype no revenue counterexample,GLOBAL,failed_rerating,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,backlog_contract,defense_autonomy,prototype_only|procurement_uncertainty,needs_price_backfill,false,Prototype without procurement or revenue remains weak.
procurement_delay_autonomous_systems_4c,DEFENSE_TECH_AUTONOMOUS_SYSTEMS,AUTON_DELAY_4C,Procurement delay autonomous systems 4C,GLOBAL,4c_thesis_break,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,backlog_contract,containerized_missile,procurement_delay|program_cancel,needs_price_backfill,false,Procurement delay can break autonomous defense thesis.
air_liquide_micron_ultrapure_gas_plant_candidate,INDUSTRIAL_GASES_SEMICONDUCTOR_INFRA,AI_MICRON_GAS,Air Liquide Micron ultrapure gas plant candidate,US,success_candidate,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,utility_like_infra,onsite_gas_plant|advanced_memory_fab|fab_ramp_schedule,fab_delay|customer_concentration,needs_price_backfill,false,Onsite gas plant tied to advanced-memory fab is utility-like infrastructure evidence.
semiconductor_gas_fab_delay_4c,INDUSTRIAL_GASES_SEMICONDUCTOR_INFRA,GAS_FAB_4C,Semiconductor gas fab delay 4C,GLOBAL,4c_thesis_break,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,utility_like_infra,fab_capex,fab_delay|plant_underutilization,needs_price_backfill,false,Fab delay can break gas plant utilization.
gas_supplier_customer_concentration_counterexample,INDUSTRIAL_GASES_SEMICONDUCTOR_INFRA,GAS_CONC,Gas supplier customer concentration counterexample,GLOBAL,failed_rerating,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,utility_like_infra,ultrapure_gas,customer_concentration|contract_terms,needs_price_backfill,false,Single fab/customer exposure caps visibility.
advanced_memory_gas_contract_success_candidate,INDUSTRIAL_GASES_SEMICONDUCTOR_INFRA,MEM_GAS,Advanced memory gas contract success candidate,GLOBAL,success_candidate,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,utility_like_infra,long_term_supply_contract|take_or_pay|advanced_memory_fab,energy_cost|fab_delay,needs_price_backfill,false,Take-or-pay gas contract can support recurring utility-like revenue.
lineage_cold_storage_reit_ipo_candidate,COLD_CHAIN_REIT_LOGISTICS,LINEAGE,Lineage cold storage REIT IPO candidate,US,success_candidate,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,reit_utility_like,cold_storage|reit_ipo|temperature_controlled_logistics,ipo_event_only|funding_cost,needs_price_backfill,false,IPO and scale are Stage 1; AFFO and occupancy must be validated.
lineage_scale_but_net_loss_counterexample,COLD_CHAIN_REIT_LOGISTICS,LINEAGE_LOSS,Lineage scale but net loss counterexample,US,failed_rerating,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,reit_utility_like,cold_storage,capex|funding_cost,needs_price_backfill,false,Scale without AFFO quality is not rerating proof.
