target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,green_conditions,red_flags,production_scoring_changed,normalization_point
RAIL_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,20,23,12,14,12,1,5,contract_to_sales|delivery_schedule|project_margin|fy1_fy2_op_revision|backlog_reflection,project_delay|margin_uncertainty|policy_theme_only|mou_without_order,false,"Rail resembles backlog industrial, but project margin and delivery risk must be heavier than power equipment."
AI_DATA_CENTER_COOLING,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,21,22,22,13,12,0,5,data_center_capex_link|confirmed_order|cooling_bottleneck|service_repeat_revenue|fy1_fy2_op_revision,liquid_cooling_theme_only|ai_capex_delay|no_customer|low_margin_installation,false,"AI cooling can be structural, but only when orders, customers, delivery, and service economics are visible."
WASTE_RECYCLING_ENVIRONMENT,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,GREEN_POSSIBLE,18,22,15,13,12,3,5,permits_or_entry_barrier|processing_volume|utilization|long_term_contract|repeat_fcf,low_utilization|commodity_price_margin|capex_without_fcf|policy_theme_only,false,Waste treatment can be infrastructure-like E2R; recycling themes need actual volume and FCF.
CLOUD_AI_SOFTWARE_INFRA,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,20,23,8,16,14,0,5,recurring_revenue|arpu|opm_improvement|customer_lock_in|fcf_conversion,ai_feature_only|ai_cost_overrun|churn|si_revenue_only,false,"Cloud/SaaS needs recurring revenue, margin, and FCF; AI keywords are routing only."
SECURITY_IDENTITY_DEEPFAKE,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,20,20,10,14,13,0,5,recurring_subscription|low_churn|customer_diversification|opm_improvement|operational_trust,large_outage|lawsuit|trust_break|no_recurring_revenue|security_theme_only,false,"Security demand can be structural, but an outage or trust break is a hard 4C-style guardrail."
CRO_CLINICAL_SERVICE,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,18,20,8,12,12,0,5,service_backlog|customer_diversification|repeat_clinical_service_revenue|opm_improvement|funding_cycle_stable,biotech_funding_crunch|customer_budget_cut|customer_concentration|clinical_trial_cut,false,CRO is weaker than CDMO; funding cycle and customer budgets decide whether it can move beyond Watch.
APPAREL_BRAND_OEM,CONSUMER_RETAIL_BRAND,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,18,16,8,14,12,0,5,overseas_channel_expansion|inventory_turnover|low_discount_rate|opm_improvement|repeat_orders,inventory_build|markdown|fashion_cycle|channel_concentration,false,Apparel is more conservative than K-food/K-beauty; inventory and markdown are core red flags.
BUILDING_MATERIALS_REIT,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,17,12,12,12,12,5,5,cost_stability|price_pass_through|volume_recovery|pf_risk_low|dividend_or_fcf_stability,pf_stress|rates_up|vacancy_up|liquidity_support_only|dividend_cut,false,Building materials and REITs stay rate/PF sensitive; relief rallies are not structural evidence.
CDMO_HEALTHCARE_CONTRACT,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,20,24,12,12,12,0,5,multi_year_production_visibility|capacity_utilization|customer_diversification|long_term_contract|fcf_conversion,capacity_overbuild|underutilization|contract_delay|litigation|customer_concentration,false,CDMO is contract and utilization driven; capacity without utilization is not Green evidence.
RARE_METALS_STRATEGIC_MATERIALS,MATERIALS_SPREAD_STRATEGIC,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,18,16,15,16,15,10,5,smelting_margin_or_fcf|supply_chain_bottleneck|capital_allocation_improvement|governance_rerating,event_premium_only|commodity_price_only|governance_dispute|takeover_uncertainty,false,"Strategic metals can rerate, but tender offers and control fights are event premium until FCF or governance change is proven."
