target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
SMART_FARM_AGRI_TECH,smart_farm_policy|autonomous_agri_equipment|vertical_farming|agri_ai,actual_order|operation_contract|maintenance_saas_revenue|capacity_utilization,unit_economics_positive|fcf_conversion|repeat_contracts|energy_cost_control,smart_farm_theme_crowded|vertical_farming_story_priced_before_unit_economics,chapter11|energy_cost_spike|premium_pricing_failure|capex_burden,false
AGRI_MACHINERY_PRECISION_CYCLE,autonomous_tractor|precision_agriculture|agri_drone|ces_technology_demo,equipment_sales_growth|farmer_roi|software_attach_rate|service_revenue,recurring_software_or_service|farm_income_support|low_financing_stress,autonomous_agri_theme_crowded|technology_priced_before_adoption,farm_income_weakness|high_borrowing_cost|equipment_sales_decline|tariff_uncertainty,false
AGRI_LIVESTOCK_FOOD_COMMODITY,avian_flu|asf|egg_price_spike|feed_cost_change|soybean_or_tuna_price,price_pass_through|op_profit_increase|cost_stabilization,structural_green_restricted|multi_period_margin_stability,food_price_cycle_crowded|disease_price_spike_extrapolated,price_normalization|feed_cost_spike|government_inquiry|disease_normalization,false
ANIMAL_HEALTH_BIOSECURITY,outbreak|vaccine_conditional_approval|government_stockpile,government_purchase_contract|government_stockpile|repeat_vaccination|guidance_up|distribution_channel,recurring_animal_health_revenue|customer_diversification|fcf_conversion,animal_vaccine_event_crowded|stockpile_story_priced,government_purchase_end|disease_normalization|vaccine_unused,false
EDUCATION_SPECIALTY_SERVICES,ai_training|adult_education|job_training|b2b_education_contract,repeat_enrollment|enterprise_contract|completion_rate|opm_improvement,b2b_b2g_recurring_revenue|student_roi|low_cac|fcf_conversion,ai_education_narrative_crowded|valuation_before_profitability,ai_substitutes_core_service|subscriber_decline|cac_spike|bankruptcy,false
HOME_CHILD_EDUCATION,kids_product|learning_material|premium_childcare|overseas_expansion,repeat_subscription|export_channel|premium_mix|inventory_control,low_birthrate_offset|recurring_revenue|fcf_conversion,premium_kids_theme_crowded,low_birthrate|tam_decline|inventory_build|regulatory_risk,false
HOME_LIVING_APPLIANCE_RENTAL,rental_accounts_growth|new_product|overseas_expansion,rental_churn_stable|filter_service_revenue|care_service_revenue|opm_fcf_improvement,recurring_service_revenue_dominates|hardware_cycle_less_important|fcf_conversion,rental_account_growth_crowded|consumer_service_multiple_rerated,replacement_demand_collapse|dividend_suspension|rental_churn_spike|housing_weakness,false
SERVICE_KIOSK_SELF_CHECKOUT,labor_cost_increase|unmanned_store|self_checkout_rollout|kiosk_installation,installed_base|maintenance_revenue|payment_fee_revenue|loss_prevention_effect,recurring_service_revenue|hardware_mix_declines|customer_friction_low,automation_theme_crowded|installed_base_priced_before_service_revenue,retailer_retreat|theft_shrink|customer_friction|one_off_hardware_sales,false
CONSUMER_REGULATED_PRODUCT,fda_approval|dea_rescheduling|regulated_product_license,sales_authorization|channel_access|tax_effect|repeat_consumption,regulatory_stability|repeat_revenue|fcf_conversion,regulatory_approval_rally_crowded|policy_reversal_ignored,approval_revoked|sales_ban|legal_conflict|youth_usage_controversy,false
FOOD_INPUT_REGULATED_CYCLE,grain_input_price|alcohol_or_food_input_regulation|feed_or_soybean_cost,price_pass_through|regulated_margin|cost_stabilization,multi_period_spread|stable_regulation|fcf_conversion,food_input_spread_crowded|regulated_price_theme,cost_spike|price_control|regulatory_margin_cap|demand_fade,false
POLICY_LOCAL_SERVICE_THEME,jobs_policy|local_service_policy|regional_service_theme,budget_approved|contract_awarded|revenue_visibility,repeat_service_revenue|fcf_conversion|policy_execution,local_service_policy_theme_crowded|election_policy_rally,budget_cut|policy_reversal|no_company_exposure|project_delay,false
