target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,green_conditions,red_flags,stage4b_conditions,stage4c_conditions,production_scoring_changed,normalization_point
AI_DATA_CENTER_COOLING,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,21,22,22,13,12,0,5,liquid_cooling_keyword|high_density_server_heat|ai_datacenter_capex|hvac_or_ess_link,customer_datacenter_capex_link|confirmed_order_or_delivery|cooling_bottleneck|op_eps_revision,direct_capex_link|delivery_or_service_revenue|cooling_bottleneck_position|repeat_service_revenue,customer_datacenter_capex_link|confirmed_order_or_delivery|cooling_bottleneck|repeat_service_revenue|op_eps_revision,liquid_cooling_theme_only|no_customer_order|ai_capex_delay|low_margin_project|customer_concentration,ai_cooling_narrative_crowded|orders_fully_priced|capex_pull_forward,ai_capex_delay|project_margin_damage|customer_order_delay|service_attach_failure,false,"AI cooling is Green-possible only when cooling bottleneck evidence turns into orders, delivery, service revenue, and OP revision."
SECURITY_IDENTITY_DEEPFAKE,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,20,20,10,14,13,0,5,security_threat_growth|deepfake_regulation|identity_or_cctv_demand|government_security_budget,recurring_subscription|customer_retention|opm_improvement|enterprise_or_government_contract,mission_critical_lock_in|low_churn|customer_diversification|fcf_conversion|operational_trust_intact,recurring_subscription|low_churn|customer_diversification|opm_improvement|no_major_outage,operational_trust|outage|legal|customer_retention|contract_absence,security_theme_crowded|deepfake_regulation_priced,major_outage|legal_claim|customer_churn|contract_loss|trust_break,false,"Security can be structural, but operational trust is a hard gate because one outage can become 4C."
CRO_CLINICAL_SERVICE,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,18,20,8,12,12,0,5,clinical_trial_count_growth|pharma_rd_growth|order_backlog_growth,sales_op_growth|customer_diversification|repeat_service_revenue,multi_year_backlog|customer_portfolio_diversified|funding_cycle_stable|high_margin_service_mix,service_backlog|customer_diversification|repeat_clinical_service_revenue|opm_improvement|funding_cycle_stable,biotech_funding_cycle_down|customer_concentration|trial_delay|low_margin_backlog|customer_budget_cut,biotech_rd_expectation_overheated|service_multiple_saturation,clinical_trial_cut|customer_budget_cut|order_cancellation|forecast_cut,false,"CRO is Watch-to-Green: stronger than pre-revenue biotech, weaker than CDMO due funding-cycle exposure."
SOLAR_TARIFF_SUPPLYCHAIN,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,18,17,12,12,10,0,5,solar_policy|tariff_change|us_factory_investment|subsidy_expectation,utilization_up|component_supply_stable|op_fcf_improvement|customer_demand_visible,tariff_risk_low|supply_chain_stable|margin_visible|durable_customer_demand,utilization_up|component_supply_stable|tariff_risk_low|op_fcf_improvement|long_term_demand,tariff|customs|subsidy|supply_chain|forced_labor_import_detention,policy_benefit_priced|solar_tariff_theme_crowded,customs_detention|component_delay|subsidy_cut|factory_furlough|margin_damage,false,"Solar remains Watch-first: policy benefit can be overwhelmed by tariff, customs, subsidy, and supply-chain failures."
RETAIL_ECOMMERCE_LOGISTICS,CONSUMER_RETAIL_BRAND,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,18,16,5,13,14,3,5,revenue_growth|store_or_logistics_expansion|same_store_sales_recovery|pb_mix,opm_improvement|inventory_normalization|logistics_cost_stable|fy1_fy2_op_revision,repeat_customer_base|cost_leverage|fcf_improvement|supplier_regulation_low,opm_improvement|inventory_normalization|cost_leverage|fcf_improvement|regulatory_risk_low,logistics_cost|inventory|supplier_regulation|data_security|fresh_ecommerce_loss,consumer_recovery_priced|logistics_scale_priced,supplier_regulation|data_breach|logistics_cost_spike|inventory_build|opm_decline,false,Retail/e-commerce is Watch-first because revenue growth is weak evidence without OPM and FCF.
INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,15,21,4,15,25,10,5,low_pbr|value_up_disclosure|loss_ratio_improvement|dividend_or_buyback_expectation,roe_improvement|csm_growth|capital_ratio_stable|shareholder_return_execution,pbr_roe_frame_change|repeat_shareholder_return|underwriting_profit_stable|credit_risk_low,roe_improvement|csm_or_loss_ratio_stability|capital_ratio_stable|shareholder_return_execution|credit_risk_low,underwriting|capital_ratio|cyber_operational|credit_cost|low_pbr_only,pbr_normalized|insurance_value_up_crowded|return_expectation_priced,loss_ratio_worsens|capital_ratio_down|cyber_operational_risk|credit_cost_up|shareholder_return_retreat,false,"Insurance is PBR-ROE-return rerating, not EPS explosion; underwriting, capital, and cyber resilience are gates."
DIGITAL_HEALTHCARE_AI,BIOTECH_HEALTHCARE_DEVICE,MEDICAL_DEVICE_HEALTHCARE_EXPORT,WATCH_YELLOW_FIRST,18,17,8,13,12,0,7,clinical_ai_paper|ai_diagnosis_model|workflow_ai|remote_healthcare_policy,external_validation|regulatory_clearance|hospital_adoption|paid_usage,reimbursement_or_paid_usage|hospital_workflow_embedded|revenue_or_op_conversion|liability_risk_low,external_clinical_validation|regulatory_clearance|hospital_adoption|reimbursement_or_paid_usage|revenue_or_op_conversion,paper_only|poc_only|no_reimbursement|liability|clinical_validation_gap,medical_ai_theme_overheated|valuation_priced_before_revenue,regulatory_rejection|liability_event|hospital_adoption_failure|reimbursement_denial,false,Medical AI remains Watch-to-Green: papers and PoCs are Stage 1 until paid workflow and revenue evidence appear.
BATTERY_RECYCLING_ESS_SHIFT,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,20,16,14,10,10,0,5,ess_shift|battery_recycling_policy|solid_state_theme|ev_supply_chain_news,customer_contract|utilization_up|fcf_disciplined_capex|ess_revenue_visible,long_term_contract|price_pass_through|demand_durable|valuation_room,customer_contract|utilization_up|fcf_disciplined_capex|demand_durable,ev_demand|mineral_price|capex_overbuild|policy|no_commercialization,battery_theme_overheated|ess_transition_priced,ev_demand_slowdown|mineral_price_down|capa_overbuild|margin_compression|commercialization_delay,false,"Battery recycling/ESS is Watch-first; ESS transition can help, but EV demand and CAPA overbuild risk cap Green."
SECURITIES_BROKERAGE_CYCLE,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,18,14,5,15,18,8,5,trading_value_growth|equity_market_rally|ipo_ib_recovery_expectation|vc_exit_expectation,brokerage_revenue_growth|ib_fee_growth|capital_ratio_stable|op_eps_revision,repeat_turnover_or_ib_recovery|pf_risk_low|roe_structure_improves|shareholder_return_capacity,brokerage_revenue_growth|ib_pipeline|capital_ratio_stable|pf_risk_low|roe_improvement,market_turnover|pf|proprietary_loss|ipo_cycle|vc_exit_market_weakness,market_turnover_peak|brokerage_group_overheated|ipo_expectation_priced,trading_value_collapse|pf_loss|proprietary_loss|capital_ratio_down|ipo_pipeline_delay,false,Brokerage remains Watch-first because turnover and IPO recovery can reverse faster than banks or insurers.
MEMORY_HBM_CAPACITY,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,24,21,19,15,12,0,5,hbm_demand|memory_price_increase|earnings_turnaround,fy1_fy2_fy3_revision|dram_nand_hbm_pricing|supply_discipline|customer_supply_preorder,long_term_contract_or_prepayment|price_band|capacity_constraint|multi_year_revision|cyclical_discount_removed,hbm_demand|supply_discipline|medium_term_revision|capacity_constraint|long_term_contract_or_prepayment,capex_reversal|cycle_peak|crowding|price_only_memory_rally|customer_ai_capex_slowdown,one_to_two_year_price_surge|market_cap_multiple_saturation|customer_price_resistance|capex_expansion|global_crowding,memory_price_down|supply_glut|customer_ai_capex_slowdown|consensus_revision_down,false,"HBM remains Green-possible, but successful rerating must automatically turn on 4B-watch diagnostics."
