sub_archetype,large_sector,canonical_archetype,posture,theme_tags,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,risk_penalty,green_conditions,stage4b_conditions,stage4c_conditions,must_have_evidence,red_flags,success_candidates,counterexamples,theme_is_score_input,production_scoring_changed,normalization_point
WASTE_RECYCLING_ENVIRONMENT,EDUCATION_LIFE_AGRI_MISC,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,폐기물처리|폐배터리|탈 플라스틱|전자폐기물|플라스틱 재활용|폐기물 에너지화,18,22,15,13,12,3,5,utilization / material price / CAPEX,permitted_facility_bottleneck|repeat_fcf|customer_diversification|infrastructure_frame_rerating,esg_recycling_theme_overheated|battery_recycling_expectation_fully_priced,utilization_down|metal_price_down|regulation_delay|capex_burden,processing_volume|long_term_contract|utilization|op_fcf_improvement,theme_only_recycling|low_utilization|metal_price_dependency|capex_without_fcf,waste_treatment_platform_candidate|plastic_recycling_infra_candidate|waste_to_energy_candidate,battery_recycling_volume_absent_counterexample|recycling_capex_low_utilization_4c,false,false,"Waste treatment can become infrastructure-like E2R, but recycling themes need actual volume and FCF."
REFINING_OIL_SPREAD,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,정유|화학-정유|윤활유|LPG|유가 상승 수혜,20,10,18,10,10,0,5,oil / refining margin / inventory gain-loss,refining_margin_recovery|demand_sustained|inventory_risk_low|fcf_improvement,spread_recovery_fully_priced|inventory_gain_mistaken_for_structure,refining_margin_down|inventory_loss|demand_slowdown,refining_margin|product_mix|inventory_status|fcf_improvement,margin_bounce_only|inventory_gain_only|demand_visibility_weak,refining_spread_recovery_candidate|lube_mix_candidate,inventory_gain_false_signal|refining_recovery_takes_time_counterexample,false,false,"Refining can rebound hard, but structural visibility starts low unless FCF and demand persistence are visible."
CHEMICAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,REDTEAM_FIRST,화학|석유화학|페인트|주정|탈 플라스틱 소재,20,8,16,8,8,0,5,China oversupply very high,product_spread_improves|oversupply_eases|restructuring_or_capacity_closure|op_fcf_improvement,cheap_valuation_cycle_bounce_crowded|spread_recovery_over_extrapolated,china_oversupply_persists|spread_reversal|capacity_addition|loss_expands,product_spread|capacity_discipline|inventory_status|restructuring,cheap_only|china_oversupply|no_capacity_closure|spread_only,chemical_restructuring_candidate|specialty_chemical_spread_candidate,petrochemical_oversupply_4c|cheap_chemical_value_trap,false,false,Chemical Green is highly restricted because China/Middle-East oversupply can turn EPS rebound into 4C.
STEEL_METAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,REDTEAM_FIRST,철강|철강 주요업체|철강 중소형업체|비철금속|철근|강관,18,10,16,10,10,0,5,China supply / construction demand / cost,high_value_mix|shipbuilding_auto_demand|china_supply_discipline|cost_stable,steel_cycle_recovery_fully_priced|construction_demand_over_extrapolated,cheap_imports|construction_slowdown|rebar_oversupply|cost_up,steel_spread|value_added_mix|china_supply|cost_status,china_low_price_import|construction_demand_weak|cost_inflation,high_value_steel_mix_candidate|shipbuilding_steel_demand_candidate,rebar_oversupply_counterexample|china_import_margin_4c,false,false,Steel is mostly cycle/watch; structural Green needs supply discipline and value-added mix.
RETAIL_ECOMMERCE_LOGISTICS,CONSUMER_RETAIL_BRAND,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,편의점|홈쇼핑|음식료 유통|마켓컬리|오아시스|콜드체인|택배|종합물류,18,16,5,14,14,0,5,logistics cost / competition / inventory,opm_fcf_improvement|store_or_logistics_efficiency|pb_or_high_margin_mix|old_retail_frame,consumption_recovery_fully_priced|listing_premium_crowded,china_direct_purchase_pressure|logistics_loss|inventory_increase|home_shopping_decline,same_store_sales|unit_economics|opm_improvement|fcf_improvement,listing_event_only|gmv_without_profit|delivery_cost_pressure|traffic_only,convenience_store_efficiency_success_candidate|cold_chain_repeat_logistics_candidate,fresh_ecommerce_loss_counterexample|china_direct_purchase_margin_pressure_counterexample,false,false,"Retail/e-commerce needs OPM and FCF proof; GMV, traffic, or listing events are not enough."
INSURANCE_FINANCIAL_VALUEUP,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,손해보험|생명보험|화재|금융지주회사|은행|증권사|VC|고배당주|신용정보,15,20,5,15,25,10,5,loss ratio / capital ratio / credit cost,roe_pbr_frame_change|csm_or_cet1_stable|return_policy_executed|credit_cost_contained,pbr_roe_gap_normalized|valueup_success_crowded,loss_ratio_worsens|capital_ratio_down|pf_credit_cost|return_policy_retreat,roe|csm_or_cet1|capital_ratio|shareholder_return_execution,low_pbr_only|weak_capital_ratio|credit_cost|brokerage_cycle_only,nonlife_insurance_loss_ratio_success_candidate|bank_valueup_roe_return_candidate|securities_ib_cycle_candidate,low_pbr_no_roe_value_trap|pf_credit_cost_financial|capital_ratio_weak_insurer,false,false,"Financial value-up scoring must connect ROE/PBR, capital strength, and executed return."
DIGITAL_ASSET_TOKENIZATION,FINANCIAL_CAPITAL_DIGITAL,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,스테이블코인|STO|디지털자산|블록체인|결제서비스|토스 관련주|지역화폐|NFT,16,18,8,16,12,0,5,regulation / security / adoption,regulation_approved|real_issuance_or_volume|fee_model|recurring_financial_infra_revenue,law_expectation_overheated|related_stocks_rally_without_revenue,regulation_denied_or_delayed|security_issue|volume_absent|no_revenue_model,regulation_approval|transaction_volume|fee_model|regulated_revenue,coin_theme_only|nft_theme|law_expectation_only|security_issue,stablecoin_payment_infra_candidate|sto_platform_candidate|credit_data_recurring_revenue_candidate,crypto_theme_no_revenue_counterexample|sto_law_expectation_only_counterexample|nft_theme_overheat_counterexample,false,false,"Digital finance stays non-Green until regulation, volume, and monetization are real."
HYDROGEN_RENEWABLE_POLICY,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,수소차 연료전지|수소차 인프라|태양광|풍력|탄소배출권|LNG 발전유통|스마트그리드,18,18,12,12,10,0,5,policy / subsidy / supply chain,actual_orders_or_utilization|op_eps_conversion|low_policy_risk|cost_competitiveness,policy_subsidy_premium_fully_priced|capex_burden_visible,subsidy_cut|tariff_customs_issue|project_delay|utilization_down,actual_contract|utilization|policy_support|margin_visibility,policy_only|no_customer|subsidy_dependency|project_delay,hydrogen_fuel_cell_plant_candidate|wind_equipment_project_candidate|smart_grid_order_candidate,hydrogen_theme_no_revenue_counterexample|solar_tariff_supplychain_4c|wind_project_delay_counterexample,false,false,"Policy news is Stage 1; Stage 2-plus needs orders, utilization, and OP/EPS conversion."
BATTERY_RECYCLING_ESS_SHIFT,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,폐배터리|ESS|전고체 배터리|전기차 화재|2차전지 소재|2차전지 부품|리튬,20,16,14,10,10,0,5,very high,recycling_volume|ess_revenue_conversion|price_pass_through|fcf_after_capex,ev_and_ess_story_crowded|battery_valuation_overheated,ev_demand_slows|mineral_price_down|capex_overbuild|recycling_volume_shortfall,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|solid_state_theme_only|mineral_price_dependency|collection_volume_absent,ess_shift_battery_candidate|battery_recycling_material_recovery_candidate,ecopro_bm_overheat_counterexample|battery_capa_overbuild|solid_state_theme_no_revenue,false,false,"Battery recycling/ESS is a watch path, but Green defense remains more important than optimism."
TIRE_AUTO_COMPONENT_SPREAD,MOBILITY_TRANSPORT_LEISURE,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,타이어|현대·기아차 부품주|자동차 경량화|전기차 부품|자율주행|카메라,20,18,10,14,14,0,5,raw materials / customer concentration,customer_diversification|raw_material_spread|opm_improvement|repeat_supply_visibility,peak_margin|auto_cycle_peak|valuation_normalized,raw_material_spike|factory_disruption|ev_demand_slowdown|recall_quality_cost,oe_re_mix|asp|raw_material_spread|customer_diversification,single_customer_dependency|raw_material_inflation|factory_disruption|auto_demand_slowdown,tire_spread_success_candidate|adas_component_customer_diversification_candidate,factory_fire_4c_counterexample|ev_demand_slowdown_component,false,false,Auto components need customer and cost evidence; supplier theme exposure alone is weak.
