target_id,large_sector,canonical_archetype,posture,eps_fcf_opm,contract_customer_visibility,bottleneck_pricing,early_price_validation,capital_governance,disclosure_redteam,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop12_penalty_axes,hard_gate,production_scoring_changed,normalization_point
GRID_TRANSFORMER_MIDCAP_KOREA,INDUSTRIAL_ORDERS_INFRA,GRID_TRANSFORMER_MIDCAP_KOREA,GREEN_POSSIBLE,24,20,16,12,10,10,8,ai_data_center_grid_demand|us_transformer_shortage|long_lead_time|transformer_price_increase,customer_name|contract_amount|delivery_period|backlog_growth|op_eps_revision,op_eps_fcf_revision|opm_improvement|lead_time_power|60d_mfe_20pct|relative_strength,midcap_power_basket_rotation|price_2x_3x_before_revision|peer_top_quartile_valuation,customer_project_delay|capa_normalization|raw_material_cost_spike|margin_miss,customer_name|contract_amount|delivery_period|backlog_quality|op_eps_revision|opm_improvement,customer_missing|counterparty_missing|price_only_rally|margin_unknown|capa_normalization,customer_missing|price_only_rally|margin_unknown,false,false,Iljin/JeRyoung-style midcap transformer candidates can be early Stage 3 only with contract detail and OP/EPS conversion.
POWER_CABLE_GRID_BACKLOG_KOREA,INDUSTRIAL_ORDERS_INFRA,POWER_CABLE_GRID_BACKLOG_KOREA,GREEN_POSSIBLE,23,21,15,12,10,10,8,power_cable_shortage|ehv_cable|subsea_cable|us_grid_expansion|data_center_power_grid,cable_contract|customer_name|contract_amount|delivery_period|copper_passthrough|margin_path,op_eps_revision|margin_visible|copper_passthrough_working|delivery_visibility|60d_mfe_20pct,cable_basket_rotation|contract_detail_missing_rally|price_faster_than_revision,copper_cost_mismatch|low_margin_order|customer_missing|delivery_delay,contract_amount|counterparty|contract_period|margin_visible|op_eps_revision,customer_missing|margin_unknown|copper_passthrough_missing|price_only_rotation,customer_missing|low_margin_order|copper_cost_risk,false,false,"Power cable names need contract quality, copper pass-through, margin, and delivery schedule before Green."
DEFENSE_ELECTRONICS_KF21_RADAR,INDUSTRIAL_ORDERS_INFRA,DEFENSE_ELECTRONICS_KF21_RADAR,WATCH_YELLOW_FIRST,20,20,15,10,10,10,8,kf21_localization|aesa_radar|apy016k|defense_electronics,kf21_batch_production|radar_delivery_visibility|avionics_supply|government_program,radar_revenue_recognition|defense_electronics_opm|block2_or_export_demand|repeat_delivery,kf21_keyword_rally_before_revenue|defense_electronics_story_crowded,revenue_missing|opm_missing|export_contract_missing|program_delay,radar_delivery|revenue_recognition|opm_visible|repeat_delivery,actual_revenue_missing|opm_missing|export_contract_missing,revenue_missing|opm_missing|program_delay,false,false,"KF-21 AESA radar is Stage 2-quality evidence, but radar revenue and OPM gate Stage 3."
SPACE_LAUNCH_PROGRAM_OF_RECORD,INDUSTRIAL_ORDERS_INFRA,SPACE_LAUNCH_PROGRAM_OF_RECORD,WATCH_YELLOW_FIRST,18,21,12,12,10,10,8,kslv_iii|next_generation_launcher|government_program_of_record|sole_bidder,program_budget|government_allocation|long_cycle_rd|price_path_12pct,contract_signed|milestone_delivery|space_revenue_recognition|opm_fcf_improvement|dilution_absorbed,space_launch_name_rally|program_priced_before_contract,capital_raise|fss_revision_request|rd_cost_overrun|dilution,contract_signed|program_budget|milestone_delivery|opm_fcf_visible|capital_clean,capital_raise|dilution|fss_revision_request|contract_missing,capital_raise|dilution|rd_cost_overrun,false,false,"Space launch program visibility is strong Stage 2, not Green until contract economics and capital discipline are clean."
DEFENSE_CAPITAL_RAISE_DILUTION,INDUSTRIAL_ORDERS_INFRA,DEFENSE_CAPITAL_RAISE_DILUTION,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,large_rights_offering|capital_raise_plan|regulator_review,dilution_terms_identified|use_of_proceeds_needed,not_green_until_dilution_and_use_of_proceeds_absorbed,defense_backlog_rally_meets_capital_shock,large_capital_raise|fss_revision_request|share_price_drop|dilution_uncertainty,,large_capital_raise|fss_revision_request|dilution|use_of_proceeds_unclear,large_capital_raise|fss_revision_request|dilution,true,false,Defense order quality is capped when dilution or regulator correction breaks capital discipline.
CONSTRUCTION_EQUIPMENT_CYCLE_KOREA,INDUSTRIAL_ORDERS_INFRA,CONSTRUCTION_EQUIPMENT_CYCLE_KOREA,REDTEAM_FIRST,18,12,10,8,10,10,8,infrastructure_demand|compact_equipment|north_america_construction|emerging_market_demand,exports_up|dealer_inventory_normalization|asp_or_opm_improvement,op_eps_revision|dealer_inventory_stable|parts_service_growth|fcf_improvement,machinery_cycle_rally|construction_equipment_valuation_crowded,high_borrowing_cost|dealer_inventory_rise|china_real_estate_weakness|tariff_cost|global_equipment_warning,dealer_inventory_stable|op_eps_revision|fcf_improvement,dealer_inventory_risk|high_borrowing_cost|global_machinery_warning|china_real_estate,dealer_inventory|high_borrowing_cost|demand_drop,false,false,Construction equipment is an R1 cycle watch; Green is restricted until dealer inventory and FCF are stable.
CONSTRUCTION_EQUIPMENT_GOVERNANCE_OVERLAY,INDUSTRIAL_ORDERS_INFRA,CONSTRUCTION_EQUIPMENT_GOVERNANCE_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,value_up_story|holding_restructuring|minority_shareholder_concern,controversial_restructuring|share_exchange_ratio|governance_discount_identified,not_green_until_governance_resolved_and_minorities_protected,value_up_rally_ignores_governance,minority_shareholder_damage|controversial_merger|governance_discount_expands,governance_resolved|minority_shareholder_protected|cashflow_not_transferred_away,minority_shareholder_risk|controversial_restructuring|governance_discount,minority_shareholder_risk|controversial_restructuring|governance_discount,true,false,Doosan Bobcat-style cash flow can be capped by governance and minority shareholder value risk.
NUCLEAR_DECOMMISSIONING_KOREA,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_DECOMMISSIONING_KOREA,WATCH_YELLOW_FIRST,16,18,8,10,10,10,8,kori_1_decommissioning_approval|nuclear_decommissioning|waste_handling|maintenance_service,khnp_service_contract|contract_amount|contract_period|company_scope_confirmed,repeat_decommissioning_revenue|opm_fcf_improvement|additional_pipeline|price_path_aligned,policy_news_rally_without_contract|nuclear_decommissioning_theme_crowded,company_contract_missing|opm_fcf_missing|project_delay|policy_only,actual_khnp_contract|company_scope|opm_fcf_visible|repeat_pipeline,company_contract_missing|policy_only|opm_missing,contract_missing|policy_only|opm_missing,false,false,Kori-1 approval is Stage 1/2 policy visibility; individual suppliers need KHNP contract economics before Green.
NUCLEAR_POLICY_STAGE1_2_NOT_GREEN,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_POLICY_STAGE1_2_NOT_GREEN,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,+,national_energy_plan|large_reactor_policy|smr_policy|nuclear_generation_mix,policy_to_project_visibility|macro_project_budget,not_green_until_company_contract_revenue_margin,nuclear_policy_rally_before_scope,policy_reversal|company_scope_missing|contract_missing|margin_unknown,company_contract|revenue_recognition|opm_visible|fcf_visible,policy_only|contract_missing|scope_unknown,policy_only|contract_missing|scope_unknown,false,false,Nuclear policy is not individual-company Stage 3 evidence.
SHIPBUILDING_EQUIPMENT_BACKLOG_KOREA,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_EQUIPMENT_BACKLOG_KOREA,GREEN_POSSIBLE,22,20,16,12,10,10,8,shipyard_backlog|lng_ship_equipment|ship_engine|fitting_valve|offshore_module,yard_customer_backlog|delivery_schedule|engine_or_module_visibility|order_to_revenue_path,equipment_delivery_to_revenue|opm_improvement|low_margin_orders_cleared|60d_mfe_20pct,shipbuilding_body_rally_then_equipment_rotation|price_only_rotation,delivery_schedule_missing|opm_missing|yard_order_delay|low_margin_equipment,customer_yard_backlog|delivery_schedule|opm_visible|op_eps_revision|fcf_visible,delivery_missing|opm_missing|price_only_rotation|low_margin_order,delivery_missing|opm_missing|yard_delay,false,false,"Shipbuilding equipment can be Stage 3 when yard backlog converts to delivery, margin, and FCF."
