archetype,tariff_rate_and_import_share,china_dependency_reduction,non_china_capacity_quality_certification,spread_margin_visibility,raw_material_price_durability,tcrc_smelt_margin,strategic_resource_offtake_contract,funding_irr_capex_clarity,control_premium_separation,export_control_exposure,commodity_price_event_only_penalty,control_premium_as_operating_green_penalty,localization_capex_without_funding_penalty,stage2_actionable_promote,stage3_yellow_gate,stage3_green_gate,notes
GRAPHITE_TARIFF_STAGE2_ACTIONABLE,+5,+5,+5,+3,+3,+0,+3,+2,+1,+5,-4,-2,-2,tariff+China dependency+relative strength,capacity/quality/customer gate pending,customer award+margin+capacity,POSCO Future M graphite tariff is Stage2-Actionable.
LITHIUM_PRICE_EVENT_PREMIUM,+1,+2,+1,+3,+5,+0,+1,+1,+1,+2,-5,-1,-1,lithium supply shock price move,durable price/margin pending,ASP pass-through+inventory draw,CATL mine suspension remains event premium.
UPSTREAM_LITHIUM_SUPPLY_SECURITY_STAGE2,+1,+4,+2,+3,+5,+0,+4,+3,+1,+3,-3,-1,-2,upstream stake/offtake rights,cost advantage pending,downstream margin confirmed,POSCO/MinRes is supply security Stage2.
STEEL_ANTIDUMPING_SPREAD_STAGE2_ACTIONABLE,+5,+2,+1,+5,+3,+0,+0,+1,+0,+2,-3,-1,-1,tariff+import share+relative strength,ASP/utilization pending,spread margin confirmed,Hyundai/POSCO anti-dumping is Stage2-Actionable.
STEEL_WEAK_DEMAND_FAILED_RERATING,+1,+1,+0,+5,+3,+0,+0,+1,+0,+1,-1,-1,-1,price/profit estimate cut,demand recovery pending,ASP/volume/margin recovery,Hyundai Steel weak demand is 4C-watch.
LOCALIZATION_CAPEX_FALSE_POSITIVE,+1,+2,+1,+3,+2,+0,+2,+5,+1,+2,-2,-1,-5,capex headline,IRR/funding/customer demand pending,firm funding+IRR+offtake,Hyundai Steel U.S. plant is false positive.
KOREA_ZINC_CONTROL_PREMIUM_4B,+1,+2,+1,+3,+3,+3,+2,+3,+5,+4,-2,-5,-2,tender/control premium,operating cashflow missing,margin/FCF confirmed,Korea Zinc tender is 4B not Green.
CRITICAL_MINERALS_SMELTER_STAGE2_WITH_DILUTION_4B,+2,+5,+3,+4,+4,+3,+5,+5,+5,+5,-2,-4,-4,strategic resource capex+U.S. backing,funding/governance/offtake pending,commercial operation+offtake+FCF,Korea Zinc refinery needs 4B overlay.
COPPER_TCRC_SPREAD_4C_WATCH,+0,+1,+0,+5,+5,+5,+1,+1,+1,+3,-4,-1,-1,copper price vs TC/RC spread,smelter margin pending,TC/RC normalization+margin,Copper price rally can be bad for smelters if TC/RC collapses.
CHINA_STRATEGIC_MINERAL_EXPORT_CONTROL_4C,+1,+5,+4,+3,+4,+1,+4,+2,+1,+5,-2,-1,-1,export controls on strategic materials,license/sourcing uncertainty,alternative supply/customer certification,Always overlay export-control exposure in R4.
