target_id,stage1,stage2,stage3,stage4b,stage4c,loop3_penalty_axes,hard_gate,production_scoring_changed
MEMORY_HBM_CAPACITY,hbm3e_hbm4_demand|nvidia_supply_chain|ai_memory_shortage,hbm_revenue_share|hbm_capacity_growth|customer_allocation|price_band_or_prepayment,multi_year_eps_revision|hbm_capacity_constraint|lta_or_prepayment|old_memory_frame_shift,hbm_consensus_crowded|market_cap_rerating_saturated|customer_price_resistance,ai_capex_slowdown|capacity_oversupply|hbm_price_decline|customer_order_cut,4b_crowding|capacity_normalization|customer_price_resistance,false,false
COMMODITY_MEMORY_GENERAL_SEMI,dram_nand_price_rebound|ssd_storage_ai_demand|hbm_conversion_supply_squeeze,nand_profit_growth|contract_price_up|inventory_normalization|op_eps_revision,ai_storage_profit_explosion|multi_quarter_revision|supply_discipline,memory_cycle_crowded|stock_multiple_expansion|spot_price_fully_priced,supply_rebound|contract_price_decline|customer_capex_cut|inventory_build,nand_dram_cycle_reversal|supply_rebound,false,false
SEMI_EQUIPMENT_CAPEX,wfe_capex|hbm_fab_capex|advanced_node_capex|packaging_tool_keyword,equipment_order_growth|guidance_raise|backlog_growth|customer_capex_budget,order_to_revenue_conversion|op_eps_revision|customer_diversification|margin_visible,equipment_capex_crowded|customer_capex_peak|order_growth_slowdown,order_pushout|export_control|customer_capex_cut|inventory_build,customer_capex_peak|order_delay|export_control,false,false
SEMI_MATERIALS_PROCESS,process_material_keyword|customer_qualification|fab_ramp,qualification_passed|volume_ramp|margin_visibility,repeat_volume|customer_diversification|op_eps_revision,qualification_crowded|material_theme_fully_priced,qualification_delay|customer_capex_cut|price_pressure,qualification_delay|customer_concentration|price_pressure,false,false
ADVANCED_PACKAGING_COWOS_EMIB,cowos_s_l|emib|interposer|hbm_gpu_package_bottleneck,packaging_order|lead_time_extended|capacity_shortage|yield_progress,packaging_revenue_growth|op_eps_revision|bottleneck_frame_confirmed,cowos_capacity_fourfold|packaging_consensus_crowded|capacity_expansion,bottleneck_easing|yield_issue|customer_capex_delay,capacity_normalization|yield|capex_cycle,false,false
ADVANCED_PACKAGING_PCB,ai_server_pcb|high_layer_pcb|optical_transceiver_pcb|glass_substrate_keyword,pcb_lead_time_extended|order_visibility|capacity_constraint|op_eps_revision,pcb_revenue_conversion|pricing_power|customer_diversification,pcb_theme_crowded|new_capacity|lead_time_normalization,inventory_build|customer_order_delay|yield_issue|theme_without_order,lead_time_normalization|customer_concentration|inventory,false,false
OPTICAL_NETWORKING_AI_DATACENTER,800g_1_6t_transceiver|laser_supply_constraint|silicon_photonics|ai_datacenter_network,hyperscaler_contract|lead_time_6_weeks_to_6_months|order_visibility,long_term_contract|op_eps_revision|optical_bottleneck_confirmed,optical_pcb_crowded|new_capacity|lead_time_normalization,lead_time_normalization|customer_capex_delay|order_cancellation,lead_time_normalization|customer_concentration|valuation_crowding,false,false
AI_SERVER_ODM_EMS_SUPPLY_CHAIN,ai_server_rack_demand|odm_ems_keyword|server_shipment_growth,ai_server_revenue_mix|rack_shipments|capex_growth|op_eps_revision,ai_server_mix_changes_eps_fcf|margin_stability|customer_diversification|working_capital_control,ai_server_revenue_crowded|inventory_growth|low_margin_ignored,accounting_issue|auditor_resignation|low_margin|inventory_build|customer_concentration,low_margin|consignment|inventory|accounting|customer_concentration,false,false
NEOCLOUD_GPU_RENTAL,large_gpu_cloud_contract|take_or_pay_contract|gpu_rental_revenue,contract_backlog|revenue_growth|ebitda_improvement|customer_contract,fcf_conversion|debt_to_ebitda_stable|customer_diversification|gpu_depreciation_control,ai_cloud_valuation_overheat|gpu_debt_multiple|ipo_premium,refinancing_pressure|gpu_obsolescence|customer_concentration|fcf_negative|delivery_issue,high_debt|gpu_depreciation|fcf_negative|refinancing|customer_concentration,false,false
AI_DATA_CENTER_COOLING,liquid_cooling|direct_to_chip|immersion_cooling|thermal_management,strategic_cooling_customer|cooling_revenue|capacity_constraint|mna_visibility,order_to_revenue_conversion|op_eps_revision|service_revenue|thermal_bottleneck_confirmed,cooling_mna_valuation_crowded|mna_multiple_expansion,ai_capex_delay|mna_overpay|debt_financing|eps_accretion_delay|integration_risk,mna_overpay|debt|ai_capex_delay,false,false
INDUSTRIAL_GASES_SEMICONDUCTOR_INFRA,fab_gas_plant|ultrahigh_purity_gas|onsite_utility_contract,long_term_gas_supply|fab_ramp|capacity_commitment,utility_like_revenue_visibility|margin_visible|customer_contract_duration,utility_contract_fully_priced,fab_delay|customer_capex_cut|contract_margin_low|energy_cost_spike,fab_delay|customer_concentration|energy_cost,false,false
AI_CHIP_FABRIC_INFRA,custom_asic|tapeout|foundry_yield|domestic_ai_chip,customer_validation|mass_production_plan|foundry_progress,revenue_conversion|gross_margin_visible|repeat_customer,ai_chip_theme_crowded|mou_or_ipo_premium,tapeout_delay|yield_failure|no_revenue|customer_loss,customer_validation_missing|yield|no_revenue,false,false
AI_ACCELERATOR_CHIP_PUREPLAY,ai_accelerator_ipo|nvidia_competition_keyword|wafer_scale_engine,named_customer|commercial_revenue|gross_margin_visible,repeat_customer|software_ecosystem|eps_or_fcf_path,pureplay_valuation_overheat|nvidia_competition_ignored,customer_loss|no_revenue|valuation_compression|funding_need,nvidia_competition|valuation_overheat|rd_burn,false,false
DISPLAY_OLED_SUPPLYCHAIN,oled_capex|display_customer_capex|lcd_to_oled_shift,panel_capex_order|material_volume_ramp|margin_visible,multi_customer_oled_ramp|op_eps_revision|cycle_risk_controlled,display_capex_crowded|panel_capex_peak,panel_capex_delay|price_pressure|customer_cut,capex_cycle|price_competition|customer_concentration,false,false
ELECTRONIC_COMPONENTS_MLCC_SENSOR,mlcc_sensor_camera_keyword|smartphone_parts_recovery|content_growth,customer_diversification|content_per_device_growth|margin_improvement,recurring_component_growth|op_eps_revision|inventory_normalization,component_cycle_crowded|smartphone_recovery_fully_priced,inventory_build|customer_cut|asp_pressure|china_supply_chain_pressure,inventory|customer_concentration|china_supply_chain,false,false
REDTEAM_ACCOUNTING_TRUST_OVERLAY,auditor_resignation|filing_delay|internal_control_issue|related_party_transaction,trust_event_detected,not_applicable_gate_only,not_applicable_gate_only,auditor_resignation|filing_delay|internal_control_weakness|doj_sec_investigation|related_party_transaction,auditor_resignation|filing_delay|internal_control_weakness,true,false
AI_CAPEX_CROWDING_OVERLAY,ai_capex_consensus_crowded|price_only_ai_rally|universal_bullish_reports,4b_watch_triggered,not_applicable_overlay,price_multiple_expansion|revision_slowdown|capacity_normalization|hyperscaler_capex_peak,customer_capex_cut|order_pushout|lead_time_normalization|guidance_down,crowding|capex_peak|capacity_normalization|revision_slowdown,false,false
