case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
us_transformer_shortage_import_slots_case,GRID_TRANSFORMER_SHORTAGE,POWER_TRANSFORMER_IMPORT,US transformer shortage import/factory-slot reference,GLOBAL,success_candidate,GRID_TRANSFORMER_SHORTAGE,GREEN_POSSIBLE,2026-05-11,2026-05-11,,,,gsu_transformer_demand_274pct|substation_transformer_demand_116pct|lead_time_four_years|price_up_80pct|factory_slot_prebuy|korea_turkey_imports,capa_normalization|data_center_project_delay|raw_material_tariff_cost|low_margin_contract,grid_bottleneck_structural_reference,needs_price_backfill,false,"Transformer shortage is strong structural reference, but company-specific contracts, margin, and price path still need backfill."
ge_vernova_data_center_orders_case,AI_DATA_CENTER_POWER_EQUIPMENT,GEV,GE Vernova data-center power orders,US,4b_watch,AI_DATA_CENTER_POWER_EQUIPMENT,GREEN_POSSIBLE,2026-04-22,2026-04-22,,2026-04-22,,orders_up_71pct|orders_18_3b_usd|backlog_163b_usd|data_center_orders_2_4b_usd|revenue_guidance_up|event_day_price_up_15pct,ytd_return_70pct|valuation_crowding|project_delay|wind_mix_risk,data_center_power_equipment_aligned_plus_4b_watch,needs_price_backfill,false,"Orders, backlog, guidance, and price reaction align, but rapid YTD rerating requires 4B-watch."
data_center_local_opposition_grid_case,PROJECT_DELAY_CAPEX_OVERLAY,DATA_CENTER_DELAY,AI data-center local opposition / grid delay reference,GLOBAL,4c_thesis_break,PROJECT_DELAY_CAPEX_OVERLAY,REDTEAM_FIRST,2026-05-13,,,,2026-05-13,ai_data_center_demand|local_opposition|water_usage|grid_power_demand,local_opposition|water_permitting_delay|grid_interconnection_delay|power_price_backlash|project_cancellation,data_center_project_delay_soft_4c_overlay,needs_price_backfill,false,"Power-equipment demand can be structural, but data-center permitting and local opposition can break new-order visibility."
hanwha_aerospace_romania_k9_case,DEFENSE_GOVERNMENT_BACKLOG,012450,한화에어로스페이스 루마니아 K9 계약,KR,structural_success,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,,2024-07-09,,,,romania_k9_contract|k10_ammunition_vehicle|contract_1bn_usd|delivery_to_2029|backlog_growth|event_day_record_high,delivery_delay|cost_overrun|export_license_risk|dilution,defense_backlog_aligned_candidate,needs_price_backfill,false,"Government customer, contract size, delivery term, and backlog growth make this a defense backlog reference case."
hanwha_aerospace_europe_sales_visibility_case,DEFENSE_GOVERNMENT_BACKLOG,012450,한화에어로스페이스 유럽 지상무기 매출 visibility,KR,success_candidate,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,,2024-10-07,,,,europe_land_arms_sales_double_by_2027|poland_contracts|romania_contract|local_production_preference|land_arms_backlog_10x,local_factory_capex|delivery_delay|political_risk|dilution,multi_year_defense_visibility_candidate,needs_price_backfill,false,"Regional platform demand is stronger than a one-off order, but CAPEX/dilution and delivery risk remain guardrails."
hanwha_aerospace_dilution_case,CAPITAL_ALLOCATION_DILUTION_OVERLAY,012450,한화에어로스페이스 대규모 자본조달 리스크,KR,failed_rerating,CAPITAL_ALLOCATION_DILUTION_OVERLAY,REDTEAM_FIRST,2025-03-27,2025-03-27,,2025-03-27,,share_issuance_plan|overseas_expansion_capex|capital_raise_3_6t_krw,large_equity_issuance|dilution|use_of_proceeds_unclear|regulator_revision_request|event_day_price_down_13pct,capital_allocation_shock,needs_price_backfill,false,Good defense backlog can be damaged by dilution and unclear overseas CAPEX funding.
korean_shipbuilder_contract_rally_case,SHIPBUILDING_OFFSHORE_BACKLOG,KR_SHIPBUILDERS,한국 조선주 수주·선가 랠리,KR,cyclical_success,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,,,,,,contract_wins|newbuilding_price_index_up|korea_order_share_recovery|shipbuilder_group_price_reaction,low_margin_backlog|steel_plate_cost|labor_cost|delivery_delay|order_slowdown,shipbuilding_price_aligned_candidate_needs_margin_backfill,needs_source_date_backfill,false,"Shipbuilding price reaction is useful, but Green requires backlog quality, low-margin rolloff, and delivery margin evidence."
hanwha_ocean_us_navy_mro_case,SHIPBUILDING_NAVAL_MRO,042660,한화오션 미 해군 MRO 옵션,KR,success_candidate,SHIPBUILDING_NAVAL_MRO,WATCH_YELLOW_FIRST,2025-05-05,2025-05-05,,,,philadelphia_shipyard_acquisition|us_navy_mro_contracts|overseas_naval_sales_target_4t_krw|mro_reference,low_margin_mro|newbuild_license_uncertain|us_legal_restriction|shipyard_modernization_capex,naval_mro_option_candidate_low_margin_watch,needs_price_backfill,false,"MRO contracts are useful Stage 2 references, but not high-margin newbuild backlog until repeat economics are shown."
hyundai_rotem_morocco_rail_case,RAIL_INFRASTRUCTURE,064350,현대로템 모로코 철도 수주,KR,success_candidate,RAIL_INFRASTRUCTURE,WATCH_YELLOW_FIRST,,2025-02-26,,,,morocco_oncf_contract|rail_contract_2_2t_krw|largest_rail_order|double_deck_train_order,margin_uncertainty|delivery_schedule_needed|warranty_cost|financing_risk|fx_cost,rail_infrastructure_stage2_candidate,needs_price_backfill,false,"A large signed rail order is Stage-2 style evidence; Green needs margin, delivery, financing, and OP/EPS evidence."
meta_constellation_existing_nuclear_ppa_case,NUCLEAR_EXISTING_PPA,CEG,Meta-Constellation existing nuclear PPA,US,success_candidate,NUCLEAR_EXISTING_PPA,WATCH_YELLOW_FIRST,,2025-06-03,,,,twenty_year_nuclear_ppa|clinton_plant_1121mw|ai_data_center_power_demand|relicensing_support,ppa_price_unverified|plant_specific_risk|korea_equipment_mapping_needed,existing_nuclear_ppa_aligned_reference,needs_price_backfill,false,"Existing nuclear PPA has stronger cashflow visibility than SMR policy, but Korean equipment mapping needs direct contracts."
