target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop4_penalty_axes,gate_only,production_scoring_changed,normalization_point
FINANCIAL_SPREAD_BALANCE_SHEET,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,15,20,5,15,25,10,5,korea_discount_policy|commercial_act_revision|bank_low_pbr|financial_valueup_news,roe_improvement|cet1_stable|credit_cost_down|dividend_or_buyback_execution,pbr_roe_frame_change|recurring_return_policy|roe_stable|credit_risk_stable,financial_valueup_crowded|pbr_band_above_history|roe_before_price_gap_closed,credit_cost_spike|pf_loss|cet1_deterioration|return_policy_retreat|tax_policy_shock,roe|cet1_ratio|credit_cost|pf_exposure_controlled|shareholder_return_execution,credit_cost|pf_exposure|cet1_deterioration|return_policy_retreat|tax_policy_shock,credit_cost|pf_exposure|cet1|tax_policy,false,false,"Low PBR is Stage 1; Green needs ROE/PBR, CET1, credit cost, and executed return together."
INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_UNDERWRITING_CYCLE,GREEN_POSSIBLE,15,21,4,15,25,10,5,loss_ratio_improvement|csm_growth|insurance_valueup_news,roe_improvement|k_ics_stable|dividend_or_buyback_execution|csm_quality,pbr_roe_rerating|repeat_underwriting_quality|capital_ratio_stable|return_policy_repeatable,insurance_valueup_crowded|pbr_normalized|dividend_yield_chasing,loss_ratio_worse|k_ics_deterioration|alternative_investment_loss|csm_quality_damage,roe|k_ics_ratio|csm_growth|loss_ratio|shareholder_return_execution,loss_ratio|k_ics_deterioration|investment_loss|csm_quality_damage,loss_ratio|k_ics|investment_loss|csm_quality,false,false,"Insurance Green needs CSM quality, K-ICS, loss ratio, and repeatable return policy, not yield alone."
SECURITIES_BROKERAGE_CYCLE,FINANCIAL_CAPITAL_DIGITAL,SECURITIES_BROKERAGE_CYCLE,WATCH_YELLOW_FIRST,17,12,5,13,15,6,5,trading_value_growth|market_rally|ipo_ib_recovery_expectation,brokerage_revenue_growth|ib_fee_growth|op_eps_revision,pf_risk_low|roe_structure_improved|ib_pipeline_durable,brokerage_cycle_peak|securities_group_overheated|trading_value_peak,transaction_tax_change|capital_gains_tax_change|trading_value_drop|pf_loss|proprietary_trading_loss,trading_value|ib_fee_revenue|pf_risk_low|roe_improvement,tax_policy_shock|trading_value_drop|pf_loss|proprietary_loss,trading_value|tax_policy|pf_loss|proprietary_loss,false,false,"Brokerage remains cycle/watch unless trading value, IB, PF risk, and ROE structure all support durability."
VALUE_UP_SHAREHOLDER_RETURN,FINANCIAL_CAPITAL_DIGITAL,VALUE_UP_SHAREHOLDER_RETURN,WATCH_YELLOW_FIRST,12,20,4,20,25,12,5,commercial_act_revision|dividend_tax_reform|valueup_index|buyback_policy_news,treasury_share_cancellation|dividend_growth|roe_improvement|shareholder_return_execution,pbr_nav_discount_narrows|repeat_return_policy|capital_allocation_execution|pbr_roe_band_shift,valueup_crowded_trade|pbr_band_rerated_before_execution|policy_premium_fully_priced,no_cancellation|activist_rejection|capital_allocation_retreat|controlling_shareholder_risk,buyback_cancelled|dividend_growth|roe_improvement|minority_shareholder_protection,no_cancellation|execution_failure|low_roe|controlling_shareholder_risk|buyback_only,execution_failure|buyback_only|low_roe|policy_only,false,false,"Value-up is Green only when policy becomes executed cancellation, dividends, ROE, and governance improvement."
TREASURY_SHARE_CANCEL_EXECUTION,FINANCIAL_CAPITAL_DIGITAL,TREASURY_SHARE_CANCEL_EXECUTION,WATCH_YELLOW_FIRST,12,21,4,18,23,13,5,treasury_share_buyback_plan|treasury_share_cancellation_plan|commercial_act_alignment,treasury_share_cancellation_completed|treasury_share_cancel_amount|cancel_ratio_verified,roe_pbr_band_change|business_eps_fcf_path|repeat_return_policy|shareholder_return_execution,cancellation_announcement_overpriced|one_off_cancellation_crowded|policy_premium_fully_priced,cancellation_not_completed|business_execution_failure|one_off_return_then_stop|roe_not_improving,treasury_share_cancellation_completed|roe_improvement|business_eps_fcf_path|repeat_return_policy,buyback_only|cancellation_not_completed|business_execution_failure|roe_not_improving,buyback_only|business_eps_missing|one_off_cancellation|roe_not_improving,false,false,"Treasury-share cancellation is stronger than buyback news, but Green still needs business EPS/FCF and ROE/PBR confirmation."
HOLDING_RESTRUCTURING_GOVERNANCE,FINANCIAL_CAPITAL_DIGITAL,HOLDING_RESTRUCTURING_GOVERNANCE,WATCH_YELLOW_FIRST,12,19,4,22,24,12,5,nav_discount|subsidiary_value_gap|activist_or_buyback_news,buyback_cancel|independent_director|dividend_policy|governance_improvement,nav_discount_narrows|repeat_capital_return|minority_protection|subsidiary_value_supported,holding_valueup_crowded|nav_discount_compression_priced,activist_rejection|governance_battle|share_issuance_defense|minority_shareholder_value_damage,nav_discount|actual_cancellation|independent_director|governance_improvement|capital_structure_stable,governance_battle|event_premium|share_issuance_defense|minority_conflict,event_premium|governance_battle|share_issuance|debt_ratio_jump,false,false,Holding rerating needs NAV discount plus actual governance and capital-allocation execution.
EVENT_PREMIUM_GOVERNANCE_BATTLE,FINANCIAL_CAPITAL_DIGITAL,EVENT_PREMIUM_GOVERNANCE_BATTLE,REDTEAM_FIRST,8,6,3,12,8,0,5,tender_offer|hostile_takeover|management_control_battle|governance_event,event_premium_detected|deal_terms_known,not_structural_green_by_default,control_premium_fully_priced|event_spread_crowded,share_issuance_after_tender|unfair_trading_probe|capital_structure_risk|minority_shareholder_damage,,tender_offer|governance_event|event_premium|share_issuance_after_tender|capital_structure_risk,event_premium|governance_battle|capital_structure|hostile_takeover,false,false,"Tender offers and governance battles are event premium first, not value-up execution."
PAYMENT_FINTECH_INFRA,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_FINTECH_INFRA,WATCH_YELLOW_FIRST,18,20,8,14,14,2,5,active_users_growth|global_expansion|payment_remittance_finance_service,payment_volume|take_rate|financial_service_attach|profit_or_fcf,repeat_financial_infra_revenue|regulatory_stability|security_clean|credit_loss_control,ipo_valuation_overheated|user_count_story_crowded,security_incident|credit_loss_rate_up|take_rate_pressure|regulatory_sanction,payment_volume|take_rate|attach_rate|profit_fcf|regulation_security_clean,take_rate_pressure|security_incident|credit_loss|regulatory_sanction|user_count_only,take_rate|fcf|security|credit_loss|ipo_valuation,false,false,"Payment fintech needs transaction economics and FCF; user count is routing context, not Green evidence."
FINTECH_SUPERAPP_IPO_OPTION,FINANCIAL_CAPITAL_DIGITAL,FINTECH_SUPERAPP_IPO_OPTION,WATCH_YELLOW_FIRST,17,17,7,15,10,1,5,super_app_users|ipo_plan|global_expansion|financial_service_attach_story,payment_volume|take_rate|attach_rate|profit_or_fcf|credit_loss_control,repeat_financial_service_revenue|security_clean|regulatory_stability|fcf_margin_visible,ipo_valuation_overheated|user_count_story_crowded|private_market_mark_up,credit_loss_rate_up|take_rate_pressure|security_incident|regulatory_sanction,take_rate|attach_rate|profit_fcf|credit_loss_control|security_clean,user_count_only|ipo_valuation_risk|credit_loss|security_incident|regulatory_sanction,user_count_only|ipo_valuation|credit_loss|security|regulation,false,false,"Superapp and IPO optionality are Stage 1/2 until take rate, FCF, credit loss, security, and regulation are visible."
DIGITAL_ASSET_TOKENIZATION,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_TOKENIZATION,WATCH_YELLOW_FIRST,16,18,8,16,12,3,5,stablecoin_sto_bill|tokenization_business_entry|partnership_news,regulatory_approval|issued_amount|transaction_volume|fee_model|reserve_disclosure,payment_custody_settlement_infra|repeat_revenue|reserve_transparency|convertibility_clear,stablecoin_law_expectation_crowded|sto_theme_rally,depeg|convertibility_failure|reserve_problem|regulatory_rejection|fraud,regulatory_approval|reserve_transparency|redemption_capacity|transaction_volume|fee_model,depeg|reserve_opacity|convertibility_risk|fraud|regulatory_rejection,reserve|convertibility|regulated_revenue|fee_model,false,false,"Digital-asset Green is blocked until regulated volume, fee model, reserve, and convertibility are proven."
