target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
CONSTRUCTION_REAL_ESTATE_CREDIT,pf_support|rate_cut_expectation|property_recovery_news,refinancing_success|unsold_inventory_decline|cash_flow_improvement|cost_ratio_stable,pf_risk_reduced|eps_fcf_recovery|valuation_frame_change,pf_relief_rally_crowded|support_news_priced_before_restructuring,pf_delinquency_increase|bridge_loan_rollover_failure|debt_workout|impairment,false
REIT_DEVELOPMENT_TRUST,rate_cut_expectation|dividend_yield|nav_discount,occupancy|noi_affo|dividend_coverage|ltv_stable,affo_growth|dividend_sustainability|nav_discount_narrowing,high_yield_reit_rally_crowded|rate_cut_priced,vacancy_increase|ltv_deterioration|refinancing_failure|dividend_cut,false
BUILDING_MATERIALS_CYCLE,price_hike|cost_stabilization|housing_starts_recovery,volume_recovery|opm_improvement|cost_pass_through|energy_cost_control,fcf_stability|volume_and_price_aligned|infrastructure_demand_visible,building_material_price_hike_crowded|infrastructure_spend_priced,volume_decline|energy_cost_spike|raw_material_cost_spike|construction_slowdown,false
DATA_CENTER_REIT_INFRASTRUCTURE,ai_data_center_reit_ipo|hyperscale_demand|asset_pipeline,asset_acquisition|tenant_lease|power_cooling_secured|noi_affo,affo_growth|dividend_coverage|tenant_contract_quality|funding_cost_controlled,ai_infrastructure_reit_valuation_crowded|capex_pipeline_priced_before_cashflow,no_acquired_assets|no_tenant|no_affo|power_or_water_permitting_failure|funding_cost_up,false
COLD_CHAIN_REIT_LOGISTICS,cold_storage_ipo|food_pharma_cold_chain_demand,occupancy|customer_contract|noi_affo|energy_cost_control,repeat_logistics_demand|dividend_coverage|affo_visibility,cold_chain_reit_premium_crowded,net_loss|energy_cost_pressure|occupancy_decline|debt_burden,false
INFRA_RECONSTRUCTION_POLICY,ukraine_reconstruction|neom_city|overseas_infra_policy|disaster_recovery_policy,actual_contract|financing_secured|construction_started|revenue_recognition,multi_year_backlog|contract_margin_visible|delivery_schedule,policy_theme_crowded|reconstruction_basket_rally_before_contract,project_cancellation|financing_failure|geopolitical_setback|project_delay,false
DISASTER_REBUILD_EVENT,earthquake_rebuild|flood_rebuild|short_term_material_demand,actual_order|sell_through|margin_visibility,repeat_order_visibility|fcf_after_event,disaster_rebuild_theme_crowded,one_off_demand_normalization|inventory_build|margin_reversal,false
COMMERCIAL_REAL_ESTATE_CREDIT,office_recovery_news|cre_credit_relief|rate_cut_expectation,vacancy_stabilization|credit_loss_reserve_stable|dividend_coverage,loan_quality_recovery|occupancy_recovery|dividend_sustainability,cre_relief_rally_before_credit_repair,office_vacancy|watchlisted_or_impaired_loan|credit_loss_reserve|dividend_cut,false
RESIDENTIAL_HOUSING_CYCLE,housing_recovery|rate_cut_expectation|presale_recovery,unsold_inventory_decline|starts_recovery|cost_ratio_stable,cash_flow_recovery|eps_fcf_recovery|credit_risk_low,housing_cycle_rally_crowded,unsold_inventory_increase|household_debt_stress|starts_decline|rate_shock,false
AI_DATA_CENTER_REAL_ASSET_DEVELOPMENT,ai_data_center_campus|power_pipeline|energy_infra_development,tenant_lease|power_secured|permitting|funding_secured,revenue_start|affo_or_cashflow|tenant_contract_quality,pre_revenue_ai_real_asset_valuation_crowded,no_revenue|no_tenant|permitting_failure|funding_gap|power_or_water_delay,false
