target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
MEMORY_HBM_CAPACITY,hbm_demand|memory_price_increase|ai_server_memory_shortage,hbm_sales_mix|op_eps_revision|supply_discipline|customer_supply_allocation,long_term_contract|prepayment_or_price_band|hbm_capa_constraint|multi_year_eps_revision|pbr_to_per_frame_shift,market_cap_rerating_saturated|crowded_hbm_consensus|capex_overbuild_news,ai_capex_slowdown|hbm_price_decline|capacity_oversupply|customer_order_cut,false
COMMODITY_MEMORY_GENERAL_SEMI,dram_or_nand_price_increase|earnings_turnaround|hbm_conversion_supply_squeeze,op_eps_revision|inventory_normalization|supply_discipline,commodity_memory_price_support|multi_quarter_revision|cycle_to_structural_frame_shift,memory_rally_crowded|price_rebound_fully_priced,supply_rebound|hbm_competitive_lag|price_decline|customer_capex_cut,false
SEMI_EQUIPMENT_CAPEX,customer_ai_hbm_fab_capex|equipment_order_keyword|euv_or_back_end_tool_keyword,equipment_order|guidance_raise|backlog_growth|customer_capex_budget,order_to_revenue_conversion|op_eps_revision|customer_diversification|margin_visible,equipment_group_overheating|customer_capex_peak,order_pushout|export_control|customer_capex_cut|inventory_build,false
SEMI_MATERIALS_PROCESS,process_material_keyword|customer_qualification|fab_ramp,qualification_passed|volume_ramp|margin_visibility,repeat_volume|customer_diversification|op_eps_revision,material_theme_crowded|qualification_fully_priced,qualification_delay|customer_capex_cut|price_pressure,false
ADVANCED_PACKAGING_PCB,ai_server_pcb|optical_transceiver_pcb|glass_substrate_keyword|cxl_substrate_keyword,order_visibility|lead_time_extended|capacity_constraint|op_eps_revision,ai_server_demand_converts_to_revenue|pricing_power|customer_diversification,substrate_theme_crowded|capa_expansion_news,capa_normalization|customer_order_delay|yield_issue,false
ADVANCED_PACKAGING_COWOS_EMIB,cowos_bottleneck|emib_keyword|2_5d_packaging|interposer_substrate,packaging_tool_or_substrate_order|lead_time_extended|capacity_shortage,packaging_revenue_growth|op_eps_revision|bottleneck_frame_confirmed,bottleneck_consensus_crowded|capa_expansion,bottleneck_easing|yield_issue|customer_capex_delay,false
DISPLAY_OLED_SUPPLYCHAIN,oled_capex|lcd_to_oled_shift|apple_oled_keyword,panel_capex_order|material_volume_ramp|margin_visible,multi_customer_oled_ramp|op_eps_revision|cycle_risk_controlled,display_capex_crowded|panel_capex_peak,panel_capex_delay|price_pressure|customer_cut,false
ELECTRONIC_COMPONENTS_MLCC_SENSOR,mlcc_sensor_or_camera_keyword|smartphone_parts_recovery|content_growth,customer_diversification|content_per_device_growth|margin_improvement,recurring_component_growth|op_eps_revision|inventory_normalization,component_cycle_crowded|smartphone_recovery_fully_priced,inventory_build|customer_cut|asp_pressure,false
AI_CHIP_FABRIC_INFRA,ai_chip_tapeout|foundry_or_system_semi_keyword|domestic_ai_chip,customer_design_win|mass_production_plan|yield_or_foundry_progress,revenue_conversion|gross_margin_visible|repeat_customer,ai_chip_theme_crowded|ipo_or_mou_premium,tapeout_delay|yield_failure|no_revenue|customer_loss,false
AI_ACCELERATOR_CHIP_PUREPLAY,ai_accelerator_ipo|wafer_scale_engine|nvidia_competition_keyword,named_customer|commercial_revenue|gross_margin_visible,repeat_customer|software_ecosystem|eps_or_fcf_path,pureplay_valuation_overheat|nvidia_competition_ignored,customer_loss|no_revenue|valuation_compression|funding_need,false
AI_SERVER_ODM_EMS_SUPPLY_CHAIN,ai_server_rack_demand|odm_ems_keyword|server_shipment_growth,ai_server_revenue_mix|shipment_growth|op_eps_revision,ai_server_mix_changes_eps_fcf|margin_stability|customer_diversification,ai_server_valuation_overheat|inventory_growth,accounting_issue|auditor_resignation|low_margin|inventory_build|customer_concentration,false
