trigger_id,case_id,trigger_type,trigger_date,evidence_available,event_return_pct,trigger_outcome_label,promote_to,extra_metrics
r1l17_hd_hhi_mipo_T1,r1_loop17_hd_hyundai_heavy_mipo_masga,Stage2-Actionable_shipbuilding_merger,2025-08-27,HD Hyundai Heavy/Mipo MASGA merger; +11.3%/+14.6% and record-high context.,HD_HHI_+11.3_Mipo_+14.6,excellent_stage2_actionable_shipbuilding_consolidation,Stage2-Actionable,"{""hd_hyundai_heavy_event_return_pct"": 11.3, ""hd_hyundai_mipo_event_return_pct"": 14.6, ""record_high"": true}"
r1l17_hanwha_ocean_frigate_T0,r1_loop17_hanwha_ocean_us_navy_china_sanction,Stage2_naval_optionality,2025-12-23,Trump says Hanwha will participate in U.S. Navy frigate class; Hanwha Ocean +6%.,6,Stage2_naval_optional,Stage2,"{""philly_expansion_pledge_usd_bn"": 5, ""philly_shipyard_acquisition_usd_mn"": 100}"
r1l17_hanwha_ocean_china_T2,r1_loop17_hanwha_ocean_us_navy_china_sanction,4B_geopolitical_sanction,2025-10-14,"China sanctions five U.S.-linked Hanwha Ocean subsidiaries; Hanwha Ocean -5.8%, HD HHI -4.1%.",-5.8,geopolitical_sanction_4B,4B-watch,"{""ft_intraday_context_pct"": -8, ""hd_hyundai_heavy_same_context_return_pct"": -4.1}"
r1l17_hyundai_rotem_earnings_T0,r1_loop17_hyundai_rotem_k2_poland,Stage2-Actionable_export_earnings,2024-04-09,"K2 Poland shipment expected to drive Q1 earnings beat; shares +9.3% to 41,300 won vs KOSPI -0.3%.",9.3,excellent_export_earnings_entry,Stage2-Actionable,"{""entry_price_krw"": 41300, ""market_relative_pp"": 9.6}"
r1l17_hyundai_rotem_poland_T2,r1_loop17_hyundai_rotem_k2_poland,Stage3-Yellow_candidate_repeat_export,2025-08-01,"Poland signs second K2 contract for 180 tanks, estimated $6.5B, with 61 produced locally.",price_data_unavailable_after_deep_search,repeat_export_yellow_candidate,Stage3-Yellow_candidate,"{""contract_value_estimate_usd_bn"": 6.5, ""poland_local_production_count"": 61, ""tank_count"": 180}"
r1l17_hd_hyundai_electric_ai_T1,r1_loop17_hd_hyundai_electric_ai_power,Stage2_promote_candidate,2024-07-11,Reuters reports HD Hyundai Electric up 333% since January 2024 as AI demand broadens to power equipment.,reported_+333_since_Jan_2024,missed_structural_if_stage2_ignored,Stage2_promote_candidate,"{""reported_share_return_since_jan_2024_pct"": 333}"
r1l17_ls_electric_report_T0,r1_loop17_ls_electric_us_data_center_price_failed,evidence_good_but_price_failed,2024-07-01,"Daiwa raises target to 280,000 won, but shares fall 5.4% to 208,500 won.",-5.4,price_failed_report_upgrade,no_actionable,"{""entry_price_krw"": 208500, ""target_price_new_krw"": 280000, ""target_price_old_krw"": 150000}"
r1l17_hyosung_transformer_T0,r1_loop17_hyosung_heavy_us_transformer_capacity,Stage2_capacity_expansion_no_price,2025-12-02,"U.S. GSU transformer demand +274% since 2019, average lead time 143 weeks, Hyosung HICO $157M Memphis expansion.",price_data_unavailable_after_deep_search,capacity_expansion_not_green,Stage2,"{""average_lead_time_weeks"": 143, ""gsu_demand_increase_since_2019_pct"": 274, ""hyosung_hico_memphis_expansion_usd_mn"": 157}"
r1l17_doosan_smr_T0,r1_loop17_doosan_enerbility_smr_ai_power,Stage2_MOU_supply_chain,2025-08-26,KHNP/Doosan cooperate with X-energy/AWS; Doosan agreement with Fermi America for Texas AI project SMR equipment.,price_data_unavailable_after_deep_search,MOU_not_final_contract,Stage2,"{""counterparties"": [""KHNP"", ""X-energy"", ""Amazon_Web_Services"", ""Fermi_America""]}"
r1l17_samsung_heavy_zvezda_T1,r1_loop17_samsung_heavy_zvezda_cancellation,4C_order_cancellation,2025-06-18,Samsung Heavy cancels 4.85T won / $3.54B Zvezda icebreaker orders and pursues arbitration/damages.,price_data_unavailable_after_deep_search,order_cancellation_4C,4C-watch,"{""cancelled_order_value_krw_trn"": 4.85, ""cancelled_order_value_usd_bn"": 3.54}"
