target_id,large_sector,canonical_archetype,posture,eps_fcf_roe_affo_opm_bodyweight,cross_evidence_visibility,price_path_early_validation,repeatability_durability,redteam_hard_4c_risk,disclosure_confidence,valuation_room_4b_margin,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,validation_role,hard_gate,stage3_green_allowed,production_scoring_changed,normalization_point
STRUCTURAL_STAGE3_EARLY_CAPTURE,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,STRUCTURAL_STAGE3_EARLY_CAPTURE,GREEN_POSSIBLE,+,+,+,+,pass,+,check,structure_change|price_attention|sector_old_frame,contract_or_customer|revision_or_profit|cross_evidence,eps_fcf_bodyweight_change|price_path_aligned|detail_confidence|no_hard_redteam,crowding|revision_lags_price,hard_redteam|revision_down|thesis_break,eps_fcf_bodyweight_change|cross_evidence|price_path_aligned|no_hard_redteam,hard_redteam|crowded_4b|revision_down,positive_validation,false,true,false,"Early Stage 3 capture requires evidence, price path, and RedTeam alignment."
STAGE2_STRONG_NOT_GREEN,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,STAGE2_STRONG_NOT_GREEN,WATCH_YELLOW_FIRST,+,+,+,partial,check,+,check,large_event_or_contract|strategic_investment|approval_or_policy,large_contract|strategic_investment|approval|equity_transaction|price_response,eps_fcf_opm_conversion|repeatability|redteam_clean,stage2_story_crowded_before_earnings,conversion_missing|detail_missing|hard_redteam,eps_fcf_opm_conversion|repeatability|redteam_clean,stage3_evidence_missing|conversion_missing|detail_missing,stage2_cap,false,false,false,Strong Stage 2 evidence is not Green until cash-flow conversion appears.
EVENT_PRICE_RALLY_NOT_STAGE3,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,EVENT_PRICE_RALLY_NOT_STAGE3,REDTEAM_FIRST,0,0,+,0,+,cap,-,one_day_20pct|limit_up|policy_ipo_media_resource_event,verified_event_path|some_visibility,blocked_without_eps_fcf_contract_repeat_revenue,event_rally_4b_watch|basket_rally,event_fade|no_commerciality|no_revenue_conversion,,price_only|no_eps_fcf|no_contract|event_only,green_block,true,false,false,"Real price rally can be evidence of attention, not Stage 3 proof."
STRUCTURAL_SUCCESS_BUT_4B_WATCH,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,STRUCTURAL_SUCCESS_BUT_4B_WATCH,WATCH_YELLOW_FIRST,maintain,maintain,high,maintain,+,+,deduct,strong_structure|large_runup,stage2_120d_mfe_80pct|stage3_252d_mfe_150pct|new_frame_accepted,fundamentals_intact_but_mispricing_reduced,4b_watch|crowded_new_frame|valuation_saturation,revision_down|demand_slowdown|margin_peak,evidence_intact|valuation_room_remaining,crowding|valuation_saturation|revision_slowdown,graduation_monitoring,false,false,false,Good structure can become 4B when price and narrative run ahead.
CYCLE_SUCCESS_NOT_STRUCTURAL,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,CYCLE_SUCCESS_NOT_STRUCTURAL,WATCH_YELLOW_FIRST,+,low,+,low,+,medium,low,freight_rate|commodity_spread|disease_price|lithium_or_rare_earth_event,op_eps_spike|cycle_cash_generation,durable_supply_discipline_required,cycle_peak_crowded|spot_price_peak,spread_reversal|freight_rate_crash|new_supply|price_normalization,multi_period_margin_stability|supply_discipline,cycle_normalization|new_supply|spot_reversal,cycle_cap,false,false,false,Cycle wins can be real but are not automatically structural rerating.
DISCLOSURE_CONFIDENCE_CAP,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,cap,cap,cap,cap,+,+,cap,media_report|mou|loi|non_binding|list_only_disclosure,detail_fetch_required|customer_amount_duration_margin_required,binding_contract|detail_verified|eps_fcf_path,headline_priced_before_detail,report_denied|fails_to_convert|detail_missing,binding_contract|customer_amount_duration_margin|eps_fcf_path,media_only|mou_loi|non_binding|detail_missing,confidence_cap,false,false,false,"Media report, MOU, LOI, or non-binding evidence cannot create Stage 3."
PRIVATE_OR_HOLDCO_LINK_CAP,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,PRIVATE_OR_HOLDCO_LINK_CAP,WATCH_YELLOW_FIRST,0~+,+,+,partial,+,+,check,private_asset_value|equity_stake|holdco_discount,equity_transaction|valuation_marker|market_share_visible,equity_method_income|dividend_or_cash_upstream|listed_company_eps_fcf_link,private_asset_premium_crowded,security_incident|regulatory_failure|valuation_link_break,listed_company_eps_fcf_link|cash_upstream|regulatory_security_clean,holdco_link_missing|security_risk|regulatory_risk,private_asset_cap,false,false,false,Private assets and holdco value are Stage 2 until listed EPS/FCF linkage is visible.
OPERATIONAL_TRUST_HARD_4C,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,OPERATIONAL_TRUST_HARD_4C,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,safety_accident|cyber_incident|quality_failure|ransomware,trust_repair_plan|inspection_or_remediation,blocked_until_trust_restored,trust_break_ignored_by_recovery_story,fatal_accident|safety_inspection|data_leak|ransomware|quality_collapse,,fatal_accident|cyber_incident|safety|quality|ransomware,hard_4c,true,false,false,Operational trust breaks outrank demand recovery or sector score.
LEGAL_GOVERNANCE_4C_WATCH,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,LEGAL_GOVERNANCE_4C_WATCH,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,founder_legal_risk|management_lawsuit|governance_conflict,legal_scope_known|settlement_or_resolution_path,blocked_until_legal_scope_resolved,legal_risk_ignored_by_rally,injunction|lawsuit_damage|governance_break|settlement_cost,,founder_legal|management_legal|lawsuit|governance,legal_governance_gate,true,false,false,Legal and governance overhangs cap Green even in strong sectors.
POLICY_MARKET_SHOCK_OVERLAY,CROSS_ARCHETYPE_REDTEAM_4B_PRICE_VALIDATION,POLICY_MARKET_SHOCK_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,political_shock|geopolitical_energy_shock|short_selling_resumption,policy_resolution_or_market_stabilization,not_company_green_evidence,crowded_trade_unwind|risk_premium_spike,market_wide_riskoff|policy_reversal|valuation_compression,,policy_market_shock|risk_premium|valuation_compression,market_overlay,true,false,false,Policy and market shocks adjust valuation room across candidates; they are not company evidence.
