archetype,primary_overlay,secondary_overlays,korean_name,posture,green_policy,price_validation_focus
CONTRACT_BACKLOG_INDUSTRIAL,AI_POWER_INFRA,,AI/전력/인프라,STRUCTURAL_GREEN_POSSIBLE,"Green possible only after orders, delivery/revenue conversion, and EPS revision are visible.",stair_step_rerating|theme_overheat|mfe_180d|time_to_100pct
DEFENSE_GOVERNMENT_BACKLOG,NATIONAL_STRATEGY_POLICY,,정책/국가전략,WATCH_YELLOW_FIRST,"Watch/Yellow first; Green needs contract economics, revenue conversion, and low legal/policy risk.",event_premium|stair_step_rerating|stage4c_price|drawdown_after_peak
SHIPBUILDING_OFFSHORE_BACKLOG,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
EXPORT_RECURRING_CONSUMER,RECURRING_EXPORT_BRAND,,반복수출/브랜드,STRUCTURAL_GREEN_POSSIBLE,"Green possible when repeat demand/channel expansion, OPM, and revisions move together.",stair_step_rerating|straight_rerating|mfe_1y|time_to_100pct
K_BEAUTY_EXPORT_DISTRIBUTION,RECURRING_EXPORT_BRAND,,반복수출/브랜드,STRUCTURAL_GREEN_POSSIBLE,"Green possible when repeat demand/channel expansion, OPM, and revisions move together.",stair_step_rerating|straight_rerating|mfe_1y|time_to_100pct
MEMORY_HBM_CAPACITY,AI_POWER_INFRA,,AI/전력/인프라,STRUCTURAL_GREEN_POSSIBLE,"Green possible only after orders, delivery/revenue conversion, and EPS revision are visible.",stair_step_rerating|theme_overheat|mfe_180d|time_to_100pct
SEMI_EQUIPMENT_CAPEX,AI_POWER_INFRA,,AI/전력/인프라,STRUCTURAL_GREEN_POSSIBLE,"Green possible only after orders, delivery/revenue conversion, and EPS revision are visible.",stair_step_rerating|theme_overheat|mfe_180d|time_to_100pct
BATTERY_MATERIALS_CAPEX_OVERHEAT,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
COMMODITY_SPREAD,CYCLE_MACRO_CREDIT,,경기/사이클,CYCLE_OR_EVENT_CAPPED,Green is capped unless cycle/credit risk is controlled and FCF durability is visible.,cycle_boom_bust|credit_relief_rally|reopening_cycle|mfe_90d|mae_180d
SHIPPING_FREIGHT_CYCLE,CYCLE_MACRO_CREDIT,,경기/사이클,CYCLE_OR_EVENT_CAPPED,Green is capped unless cycle/credit risk is controlled and FCF durability is visible.,cycle_boom_bust|credit_relief_rally|reopening_cycle|mfe_90d|mae_180d
