target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
AUTO_MOBILITY_COMPLETED_VEHICLE,hybrid_demand|ev_slowdown_response|shareholder_return|export_mix,op_fcf_stability|sales_target|buyback_or_dividend|roe_pbr_rerating,fcf_supports_return|high_margin_mix|old_auto_discount_removed,valueup_narrative_crowded|peak_margin_ignored,tariff_hit|recall_cost|demand_slowdown|peak_margin_reversal,false
AUTO_MOBILITY_COMPONENTS,auto_parts_order|electronics_component|lighting_or_adas_demand,customer_diversification|cost_pass_through|op_eps_revision|raw_material_stable,repeat_program_visibility|high_value_mix|quality_cost_low,component_group_crowded,customer_program_cut|quality_recall|raw_material_squeeze|oem_pressure,false
TIRE_AUTO_COMPONENT_SPREAD,tire_demand_recovery|raw_material_spread|replacement_market,oe_re_mix|op_eps_revision|north_america_demand_stable,spread_fcf_persistent|china_competition_controlled,spread_peak_ignored,north_america_demand_slowdown|raw_material_spike|tariff_hit|vehicle_sales_slowdown,false
AIRLINE_TRAVEL_CYCLE,passenger_recovery|cargo_rate|airline_merger|reopening_news,revenue_op_improvement|integration_synergy|passenger_cargo_mix,fcf_cost_stability|fuel_fx_risk_low,integration_or_reopening_crowded,fuel_shock|fx_loss|integration_cost|cargo_passenger_slowdown,false
TRAVEL_LEISURE_REOPENING,tourist_recovery|hotel_occupancy|leisure_reopening,revpar_improvement|op_leverage|visitor_spend,repeat_travel_spend|occupancy_and_margin_visible,reopening_policy_crowded,visitor_mix_weak|occupancy_slowdown|cost_inflation,false
CASINO_DUTYFREE_TOURISM,visa_policy|china_group_tourism|casino_dutyfree_recovery,tourist_spend|drop_amount|duty_free_sales|hotel_occupancy|op_leverage,visitor_mix_diversified|china_dependence_lower|cashflow_margin_visible,tourism_policy_rally_crowded,drop_slowdown|duty_free_asp_weak|china_mix_weak|capex_burden,false
SHIPPING_FREIGHT_CYCLE,freight_rate_spike|red_sea_disruption|capacity_adjustment,freight_rate_index|ebitda_improvement|cash_or_dividend,multi_year_supply_discipline|contract_rate_visibility,freight_peak|shipping_stock_crowded,freight_rate_collapse|overcapacity|new_ship_delivery|route_normalization|earnings_collapse,false
LOGISTICS_PARCEL_FREIGHT,parcel_volume|freight_volume|network_efficiency,unit_price_stable|labor_cost_control|opm_improvement,network_density_advantage|recurring_shipper_contract,logistics_efficiency_crowded,unit_price_pressure|labor_cost_spike|volume_slowdown,false
RENTAL_USED_CAR_MOBILITY,rental_demand|used_car_price|fleet_strategy,fleet_margin|residual_value_stable|repair_cost_control|utilization_rate,asset_turnover_and_fcf|residual_value_resilient,fleet_strategy_crowded,residual_value_drop|repair_cost_spike|interest_cost|fleet_writedown,false
MOBILITY_RENTAL_MICROMOBILITY,ipo_filing|city_expansion|ridership_growth,revenue_growth|fcf_positive|unit_economics|utilization_rate,recurring_usage|debt_stability|regulatory_risk_controlled,ipo_valuation_crowded,debt_maturity|regulatory_restriction|seasonality_loss|repair_cost_spike,false
AUTO_COMPONENTS_EV_ADAS,adas_adoption|sensor_or_camera_order|ev_component_demand,actual_adoption|customer_diversification|development_cost_control,content_per_vehicle_growth|multi_customer_program,adas_theme_crowded,customer_concentration|development_cost|ev_slowdown|program_delay,false
URBAN_AIR_DRONE,part135|strategic_investment|evtol_policy|drone_theme,type_certification|production_certification|commercial_operation|customer_contract,commercial_revenue|unit_economics|cash_runway_secure,pre_revenue_valuation_crowded,certification_delay|cash_burn|discounted_offering|production_delay,false
SPACE_SUPPLYCHAIN,space_theme|satellite_supply_contract|launch_program,actual_contract|delivery_revenue|backlog_visibility,repeat_space_supply_revenue|customer_contract_quality,spacex_supplychain_theme_crowded,no_actual_contract|launch_delay|capex_debt_stress,false
SATELLITE_CONNECTIVITY_INFRA,airline_connectivity_contract|secure_communications|satellite_backlog,connectivity_revenue_growth|airline_contract_count|ebitda_improvement|backlog,recurring_connectivity_revenue|gross_backlog|debt_capex_manageable,connectivity_narrative_crowded,launch_delay|contract_cancellation|capex_debt_stress|competitor_constellation,false
