case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
sk_hynix_hbm_rerating_success_case,MEMORY_HBM_CAPACITY,000660,SK하이닉스 HBM 리레이팅,KR,structural_success,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,2026-05-14,,2026-05-14,,hbm_demand|market_cap_rerating|multi_year_eps_revision_candidate|capacity_constraint,crowding|capex_reversal|customer_price_resistance,aligned_success_plus_4b_watch,needs_price_backfill,false,HBM changed the market frame from commodity memory to AI infrastructure bottleneck; 4B-watch is required after large rerating.
sk_hynix_asml_euv_capex_case,SEMI_EQUIPMENT_CAPEX,000660,SK하이닉스 ASML EUV CAPEX,KR,success_candidate,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,2026-03-24,,,,customer_ai_hbm_fab_capex|euv_order|next_generation_process|hbm_competitiveness,customer_capex_peak|order_pushout|export_control,equipment_capex_success_signal,needs_price_backfill,false,"Large EUV order is CAPEX evidence for the equipment chain, but supplier revenue conversion must be backfilled."
applied_materials_ai_packaging_growth_case,SEMI_EQUIPMENT_CAPEX,AMAT,Applied Materials AI packaging growth,US,success_candidate,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,2026-05-14,,,,guidance_raise|semiconductor_equipment_growth|packaging_revenue_growth|after_hours_price_reaction,customer_capex_peak|order_pushout,early_aligned_candidate,needs_price_backfill,false,"Guidance and packaging growth are aligned, but 180D/1Y MFE and margin durability remain open."
nvidia_cowos_l_packaging_bottleneck_case,ADVANCED_PACKAGING_COWOS_EMIB,NVDA,NVIDIA CoWoS-L packaging bottleneck,US,success_candidate,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,2025-01-16,,,,cowos_l|advanced_packaging_bottleneck|ai_accelerator_demand|supplier_capacity_constraint,capacity_normalization|customer_capex_delay,structural_bottleneck_reference,needs_price_backfill,false,Reference case for CoWoS/EMIB economics; Korean supplier mapping must be source-backed.
broadcom_optical_pcb_leadtime_case,OPTICAL_NETWORKING_AI_DATACENTER,AVGO,Broadcom optical/PCB lead-time reference,US,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,2026-03-24,,,,optical_networking_bottleneck|lead_time_extended|ai_datacenter_network|pcb_substrate_demand,capa_normalization|customer_capex_delay,supply_chain_bottleneck_reference,needs_price_backfill,false,"Optical and PCB lead-time evidence should route supplier research, not become automatic Green."
meta_corning_fiber_contract_case,OPTICAL_NETWORKING_AI_DATACENTER,GLW,Meta-Corning fiber contract,US,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,2026-01-27,,2026-01-27,,hyperscaler_contract|fiber_demand|order_visibility|event_day_price_reaction,optical_group_crowded|capa_normalization,aligned_candidate_plus_4b_watch,needs_price_backfill,false,Hyperscaler contract and price reaction are aligned; rerating size and backlog conversion need validation.
tower_semiconductor_ai_light_chip_deal_case,AI_CHIP_FABRIC_INFRA,TSEM,Tower Semiconductor AI light-chip deal,US,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,WATCH_YELLOW_FIRST,2026-05-13,,,,ai_chip_customer_deal|event_day_price_reaction|foundry_revenue_path,no_revenue|yield_issue|single_customer,event_aligned_candidate,needs_price_backfill,false,"Event reaction is useful, but Stage 3 needs production, yield, and revenue conversion."
air_liquide_micron_gas_plant_case,INDUSTRIAL_GASES_SEMICONDUCTOR_INFRA,AI.PA,Air Liquide-Micron gas plant,EU,success_candidate,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,2024-06-05,,,,long_term_gas_supply|fab_gas_plant|onsite_utility|customer_fab_ramp,fab_delay|low_margin_contract,utility_like_success_candidate,needs_price_backfill,false,"Semiconductor gas supply is a duration/utility-style case, not a high-beta theme case."
ecolab_coolit_liquid_cooling_case,AI_DATA_CENTER_COOLING,ECL,Ecolab-CoolIT liquid cooling,US,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,2026-03-20,,,,liquid_cooling|strategic_cooling_contract|thermal_bottleneck|data_center_customer,technology_substitution|customer_capex_delay,strategic_cooling_candidate,needs_price_backfill,false,AI cooling can be Green-capable if thermal bottleneck turns into repeat revenue and margin.
coreweave_neocloud_high_debt_case,NEOCLOUD_GPU_RENTAL,CRWV,CoreWeave neocloud high-debt watch,US,4b_watch,AI_DATA_CENTER_INFRASTRUCTURE,WATCH_YELLOW_FIRST,,,,,large_gpu_cloud_contract|take_or_pay_backlog|revenue_growth,high_debt|fcf_negative|gpu_obsolescence|customer_concentration,high_risk_watch,needs_source_date_and_price_backfill,false,"Neocloud can show backlog, but debt, GPU depreciation, FCF, and customer concentration keep it high-risk Watch."
blackstone_data_center_reit_case,DATA_CENTER_REIT_INFRASTRUCTURE,BX_DC_REF,Blackstone data-center REIT infrastructure,US,failed_rerating,VALUE_UP_SHAREHOLDER_RETURN,WATCH_YELLOW_FIRST,2026-05-14,,,,data_center_reit_ipo|ai_real_estate_demand|lease_backlog_candidate,flat_ipo|funding_cost|power_constraint,no_rerating_yet,needs_price_backfill,false,"Data-center property demand is not enough if cash yield, lease duration, and funding-cost evidence are weak."
supermicro_ey_resignation_4c_case,REDTEAM_ACCOUNTING_TRUST_OVERLAY,SMCI,Supermicro EY resignation,US,4c_thesis_break,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,,,,2024-10-30,ai_server_revenue_mix,auditor_resignation|filing_delay|internal_control_issue|trust_issue,hard_4c_accounting_break,needs_price_backfill,false,AI server growth cannot overcome auditor resignation or filing/trust breakdown; this is a hard RedTeam case.
