target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop3_penalty_axes,gate_only,production_scoring_changed
PLATFORM_SOFTWARE_INTERNET,portal_growth|messenger_ecosystem|commerce_platform_growth|ad_platform_recovery|user_growth,arpu_growth|recurring_revenue|opm_improvement|governance_clean|ad_quality_clean,platform_monetization|fcf_conversion|regulatory_risk_low|privacy_risk_low,platform_multiple_crowded|user_count_story_overpriced|legal_risk_ignored,privacy_lawsuit|founder_legal_case|regulatory_investigation|trust_damage|scam_ad_lawsuit,governance|privacy|legal_overhang|youth_safety|ad_quality,governance|privacy|ad_quality|youth_safety,false,false
B2B_SAAS_ERP_WORKFLOW,cloud_erp_transition|b2b_saas_growth|sme_cloud_conversion|pe_operational_improvement,arr_growth|recurring_revenue_ratio|low_churn|customer_lock_in|opm_improvement,fcf_conversion|net_retention_rate|workflow_lock_in|valuation_frame_shift,b2b_saas_premium_crowded|pe_event_premium_overread,churn_spike|si_revenue_reversion|opm_decline|regulatory_approval_failure,churn|si_revenue_mix|regulatory_approval|event_premium,churn|si_revenue|regulatory|pe_event_premium,false,false
CLOUD_AI_SOFTWARE_INFRA,enterprise_ai_platform|ai_workflow_automation|agentic_ai_platform|private_data_integration,paid_ai_contract|total_contract_value|government_revenue_growth|commercial_revenue_growth|revenue_per_employee,auditable_workflow|repeat_contract|fcf_conversion|opm_improvement|rule_of_40,ai_software_narrative_crowded|valuation_saturation|strong_results_stock_stalls,ai_compute_cost_surge|government_contract_risk|auditability_failure|model_dependency,valuation_crowding|government_customer|ai_cost|model_dependency,valuation|government_customer|ai_cost|auditability,false,false
AI_SOFTWARE_APPLICATION,ai_application_launch|enterprise_ai_adoption|api_usage_growth,paid_customer_growth|api_revenue|workflow_integration|total_contract_value,repeat_paid_usage|fcf_conversion|compute_cost_controlled|auditable_workflow,ai_app_narrative_crowded|valuation_before_margin_proof|rule_of_40_fully_priced,compute_cost_spike|model_dependency|copyright_lawsuit|data_privacy_lawsuit,compute_cost|model_dependency|copyright|data_privacy|free_user_growth_only,compute_cost|model_dependency|4b_crowding,false,false
OBSERVABILITY_AI_OPERATIONS,ai_workload_monitoring|aiops|sre_agent|security_analyst_agent,arr_growth|ai_monitoring_customer_growth|guidance_raise|observability_revenue_growth,net_retention_rate|fcf_conversion|ai_workload_attach|usage_resilience,observability_ai_premium_crowded|ai_operations_multiple_saturated,cloud_optimization|net_retention_slowdown|usage_slowdown|guidance_cut,cloud_optimization|net_retention|usage_slowdown|4b,cloud_optimization|net_retention|usage,false,false
CONTACT_CENTER_AI_AUTOMATION,ccaas_ai_agent_assist|contact_center_automation|seat_expansion,enterprise_contract|seat_expansion|retention_rate|opm_improvement|aht_reduction,workflow_embedded|low_churn|enterprise_retention|fcf_conversion|roi_verified,contact_center_ai_crowded,churn_spike|it_budget_cut|privacy_event|automation_roi_failure,churn|it_budget_cut|privacy|roi_failure,churn|it_budget|privacy|roi,false,false
GAME_CONTENT_IP,new_title_announcement|ip_expansion|preorder_rumor|user_growth,bookings_growth|sell_through|preorder_actual|launch_date_confirmed|live_service_monetization,repeat_ip_portfolio|global_monetization|single_ip_risk_low|op_eps_revision,single_ip_valuation_crowded|launch_expectations_saturated,game_delay|booking_deferral|development_cost_inflation|single_ip_revenue_risk,single_ip|game_delay|booking_deferral|development_cost|bookings_cut,single_ip|delay|bookings|development_cost,false,false
UGC_GAME_PLATFORM_SAFETY,ugc_platform_dau_growth|safety_feature_rollout|communication_engagement,bookings_growth|dau_growth|age_verification_impact_measured|content_monitoring_scaled,safety_compliance|bookings_resilience|user_growth_resilience,ugc_platform_scale_narrative_crowded,child_safety_litigation|age_verification_friction|bookings_guide_cut|user_growth_slowdown,child_safety|age_verification|bookings_cut|regulatory_ban,child_safety|age_verification|bookings|regulation,false,false
MEDIA_AD_CONTENT_CYCLE,ad_market_recovery|global_ad_budget_growth|content_cycle_rebound,ad_revenue_growth|budget_resilience|opm_improvement|client_budget_stable,repeat_platform_ad_revenue|budget_resilience|ai_disruption_low,ad_cycle_recovery_overpriced,client_budget_cut|ai_disintermediation|profit_drop|dividend_cut|workforce_reduction,ad_cycle|client_budget_cut|ai_disruption|traditional_agency_margin,ad_cycle|client_budget|ai_disruption|guidance_miss,false,false
ADTECH_PLATFORM_PREMIUM,ctv_growth|retail_media_growth|ai_ad_platform_growth|kokai_platform_adoption,revenue_growth|customer_retention|platform_adoption|guidance_confirmed,premium_valuation_justified_by_growth|fcf_conversion|budget_resilience,adtech_premium_crowded|premium_multiple_guidance_miss,revenue_miss|guidance_miss|platform_transition_failure|premium_valuation_drawdown,revenue_miss|guidance_miss|premium_valuation|transition_failure,revenue_miss|guidance|premium_valuation,false,false
