target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,production_scoring_changed,normalization_point
SMART_FARM_AGRI_TECH,EDUCATION_LIFE_AGRI_MISC,SMART_FARM_AGRI_TECH,WATCH_YELLOW_FIRST,18,14,12,9,9,0,5,smart_farm_policy|autonomous_agri_equipment|vertical_farming|agri_ai,actual_order|operation_contract|maintenance_saas_revenue|capacity_utilization,unit_economics_positive|fcf_conversion|repeat_contracts|energy_cost_control,smart_farm_theme_crowded|vertical_farming_story_priced_before_unit_economics,chapter11|energy_cost_spike|premium_pricing_failure|capex_burden,actual_order|operation_contract|unit_economics_positive|fcf_conversion,energy_cost|capex_burden|unit_economics_failure|subsidy_dependency,false,"Smart-farm labels need orders, operations contracts, unit economics, and FCF."
AGRI_MACHINERY_PRECISION_CYCLE,EDUCATION_LIFE_AGRI_MISC,AGRI_MACHINERY_PRECISION_CYCLE,WATCH_YELLOW_FIRST,18,13,10,10,9,1,5,autonomous_tractor|precision_agriculture|agri_drone|ces_technology_demo,equipment_sales_growth|farmer_roi|software_attach_rate|service_revenue,recurring_software_or_service|farm_income_support|low_financing_stress,autonomous_agri_theme_crowded|technology_priced_before_adoption,farm_income_weakness|high_borrowing_cost|equipment_sales_decline|tariff_uncertainty,equipment_sales_growth|farmer_roi|software_attach_rate|service_revenue,farm_income|financing_cost|replacement_cycle|dealer_inventory,false,"Precision-agri technology is promising, but machinery remains tied to farm capex cycles."
AGRI_LIVESTOCK_FOOD_COMMODITY,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,REDTEAM_FIRST,18,10,14,8,8,0,5,avian_flu|asf|egg_price_spike|feed_cost_change|soybean_or_tuna_price,price_pass_through|op_profit_increase|cost_stabilization,structural_green_restricted|multi_period_margin_stability,food_price_cycle_crowded|disease_price_spike_extrapolated,price_normalization|feed_cost_spike|government_inquiry|disease_normalization,price_pass_through|cost_stabilization|multi_period_margin_stability,disease_event|feed_cost|weather|price_normalization|government_inquiry,false,"Livestock and food commodities are usually cyclical success or RedTeam cases, not structural Green."
ANIMAL_HEALTH_BIOSECURITY,EDUCATION_LIFE_AGRI_MISC,ANIMAL_HEALTH_BIOSECURITY,WATCH_YELLOW_FIRST,16,14,8,10,8,0,5,outbreak|vaccine_conditional_approval|government_stockpile,government_purchase_contract|government_stockpile|repeat_vaccination|guidance_up|distribution_channel,recurring_animal_health_revenue|customer_diversification|fcf_conversion,animal_vaccine_event_crowded|stockpile_story_priced,government_purchase_end|disease_normalization|vaccine_unused,government_purchase_contract|repeat_vaccination|recurring_revenue|fcf_conversion,emergency_license|one_off_stockpile|government_policy_uncertain,false,"Animal-health can improve after approval and stockpile demand, but one-off outbreak risk remains."
EDUCATION_SPECIALTY_SERVICES,EDUCATION_LIFE_AGRI_MISC,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,18,17,5,12,12,2,5,ai_training|adult_education|job_training|b2b_education_contract,repeat_enrollment|enterprise_contract|completion_rate|opm_improvement,b2b_b2g_recurring_revenue|student_roi|low_cac|fcf_conversion,ai_education_narrative_crowded|valuation_before_profitability,ai_substitutes_core_service|subscriber_decline|cac_spike|bankruptcy,enterprise_contract|completion_rate|student_roi|opm_improvement|fcf_conversion,ai_disruption|cac|completion_rate|student_roi|debt,false,"Education needs monetization, outcomes, retention, and margin; user growth alone is weak."
HOME_CHILD_EDUCATION,EDUCATION_LIFE_AGRI_MISC,HOME_CHILD_EDUCATION,REDTEAM_FIRST,16,12,5,10,8,0,5,kids_product|learning_material|premium_childcare|overseas_expansion,repeat_subscription|export_channel|premium_mix|inventory_control,low_birthrate_offset|recurring_revenue|fcf_conversion,premium_kids_theme_crowded,low_birthrate|tam_decline|inventory_build|regulatory_risk,repeat_subscription|export_channel|low_birthrate_offset|fcf_conversion,birthrate_decline|tam_shrink|inventory|policy_risk,false,Kids/home education faces low-birthrate TAM risk unless export or subscription economics offset it.
HOME_LIVING_APPLIANCE_RENTAL,EDUCATION_LIFE_AGRI_MISC,HOME_LIVING_APPLIANCE_RENTAL,WATCH_YELLOW_FIRST,17,15,6,12,10,2,5,rental_accounts_growth|new_product|overseas_expansion,rental_churn_stable|filter_service_revenue|care_service_revenue|opm_fcf_improvement,recurring_service_revenue_dominates|hardware_cycle_less_important|fcf_conversion,rental_account_growth_crowded|consumer_service_multiple_rerated,replacement_demand_collapse|dividend_suspension|rental_churn_spike|housing_weakness,rental_churn_stable|recurring_service_revenue|opm_fcf_improvement|overseas_margin,replacement_cycle|housing_turnover|churn|hardware_only|dividend_suspension,false,"Rental/care revenue can improve quality, but hardware replacement cycles and churn must be checked."
SERVICE_KIOSK_SELF_CHECKOUT,EDUCATION_LIFE_AGRI_MISC,SERVICE_KIOSK_SELF_CHECKOUT,WATCH_YELLOW_FIRST,17,15,7,12,10,0,5,labor_cost_increase|unmanned_store|self_checkout_rollout|kiosk_installation,installed_base|maintenance_revenue|payment_fee_revenue|loss_prevention_effect,recurring_service_revenue|hardware_mix_declines|customer_friction_low,automation_theme_crowded|installed_base_priced_before_service_revenue,retailer_retreat|theft_shrink|customer_friction|one_off_hardware_sales,maintenance_revenue|payment_fee_revenue|loss_prevention_effect|recurring_service_revenue,theft|customer_friction|retailer_retreat|one_off_hardware,false,Kiosk adoption needs service/fee economics; installation count alone is not productivity proof.
CONSUMER_REGULATED_PRODUCT,EDUCATION_LIFE_AGRI_MISC,CONSUMER_REGULATED_PRODUCT,WATCH_YELLOW_FIRST,18,14,8,12,10,0,5,fda_approval|dea_rescheduling|regulated_product_license,sales_authorization|channel_access|tax_effect|repeat_consumption,regulatory_stability|repeat_revenue|fcf_conversion,regulatory_approval_rally_crowded|policy_reversal_ignored,approval_revoked|sales_ban|legal_conflict|youth_usage_controversy,sales_authorization|channel_access|repeat_consumption|regulatory_stability,public_health|social_backlash|legal_conflict|license_scope,false,"Regulated consumer products can rerate on approval, but reversal and public-health risks stay high."
FOOD_INPUT_REGULATED_CYCLE,EDUCATION_LIFE_AGRI_MISC,FOOD_INPUT_REGULATED_CYCLE,WATCH_YELLOW_FIRST,17,11,12,8,8,0,5,grain_input_price|alcohol_or_food_input_regulation|feed_or_soybean_cost,price_pass_through|regulated_margin|cost_stabilization,multi_period_spread|stable_regulation|fcf_conversion,food_input_spread_crowded|regulated_price_theme,cost_spike|price_control|regulatory_margin_cap|demand_fade,price_pass_through|regulated_margin|cost_stabilization|fcf_conversion,cost|price_control|regulation|commodity_cycle,false,Food inputs need price pass-through and regulation checks before any structural claim.
