target_id,large_sector,canonical_archetype,posture,eps_fcf_noi_affo_conversion,contract_asset_tenant_pf_visibility,cash_conversion_cost_ratio_dividend_coverage,pf_safety_quality_regulatory_risk,early_price_path_validation,market_mispricing_rerating_gap,valuation_room_4b_runway,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed,normalization_point
OVERSEAS_EPC_CONTRACT_BACKLOG_KOREA,CONSTRUCTION_REAL_ESTATE_MATERIALS,OVERSEAS_EPC_CONTRACT_BACKLOG_KOREA,GREEN_POSSIBLE,24,22,18,12,8,8,8,middle_east_epc_recovery|gas_infra_order|overseas_order_headline,contract_amount|counterparty|completion_date|price_reaction,cost_ratio_stable|op_eps_revision|cash_conversion_improves|fcf_improves|project_execution_clean,large_contract_priced_before_margin|epc_basket_crowded,cost_ratio_deterioration|construction_delay|contract_cancellation|low_margin_order,contract_amount|counterparty|completion_date|cost_ratio_stable|op_eps_revision|cash_conversion_improves,cost_ratio_deterioration|construction_delay|contract_cancellation|low_margin_order,cost_ratio|cash_conversion|low_margin_order|delay,false,false,"Samsung E&A-style EPC can be Green-capable only after margin, OP/EPS, and cash conversion confirm."
EPC_LOW_MARGIN_ORDER_OVERLAY,CONSTRUCTION_REAL_ESTATE_MATERIALS,EPC_LOW_MARGIN_ORDER_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,large_epc_contract|long_term_project,contract_amount|project_period|revenue_recognition_schedule,not_green_if_cost_ratio_or_cash_conversion_missing,contract_headline_priced_before_margin,cost_overrun|construction_delay|low_margin_order|cash_conversion_failure,,cost_overrun|construction_delay|low_margin_order|cash_conversion_failure,cost|delay|margin|cash,true,false,"EPC size is Stage 2 evidence, not Stage 3 proof, until margin and cash are verified."
AI_DATA_CENTER_REAL_ASSET_KOREA,CONSTRUCTION_REAL_ESTATE_MATERIALS,AI_DATA_CENTER_REAL_ASSET_KOREA,WATCH_YELLOW_FIRST,12,18,12,16,8,14,8,openai_korea_data_center_plan|aws_korea_data_center_investment|samsung_affiliate_rally,actual_contract_option|tenant_or_epc_candidate|power_water_permitting_plan,binding_epc_contract|tenant_lease|noi_affo_or_op_eps_visible|power_water_secured,ai_data_center_name_only_rally|construction_material_basket_rally,actual_contract_missing|tenant_missing|power_water_permitting_failure|noi_affo_missing,binding_epc_contract|tenant_lease|power_water_secured|noi_affo_or_op_eps_visible,actual_contract_missing|tenant_missing|power_water_permitting_failure|noi_affo_missing,no_contract|no_tenant|power_water|noi_affo,false,false,"AI data-center demand is real asset option only until contract, tenant, power/water, and cash-flow ownership are source-backed."
CONSTRUCTION_REAL_ESTATE_CREDIT_KOREA,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONSTRUCTION_REAL_ESTATE_CREDIT_KOREA,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,pf_stress|rate_cut_expectation|support_package,debt_rescheduling|project_normalization|guarantee_support,not_green_if_workout_or_bridge_loan_rollover_active,pf_relief_rally_before_repair,pf_workout|debt_rescheduling|bridge_loan_rollover_failure|liquidity_crisis,,pf_workout|debt_rescheduling|bridge_loan_rollover_failure|liquidity_crisis,pf|workout|liquidity|bridge_loan,true,false,"Korea construction credit is RedTeam-first; PF workout is a hard break, not recovery evidence."
PF_RESTRUCTURING_RELIEF_KOREA,CONSTRUCTION_REAL_ESTATE_MATERIALS,PF_RESTRUCTURING_RELIEF_KOREA,WATCH_YELLOW_FIRST,12,16,16,18,8,14,6,government_support_package|guarantee_expansion|market_stabilization_fund,pf_refinancing|profitable_project_normalized|bad_project_separated,pf_exposure_decreases|cash_conversion_improves|cost_ratio_stable|op_eps_revision,support_news_priced_as_recovery,workout|refinancing_failure|delinquency_increase|impairment,pf_exposure_decreases|pf_refinancing|cash_conversion_improves|cost_ratio_stable,workout|refinancing_failure|delinquency_increase|impairment,policy_only|pf_exposure|cash_conversion|impairment,false,false,PF support is Watch until project-level refinancing and cash conversion are proven.
APARTMENT_QUALITY_SAFETY_OVERLAY,CONSTRUCTION_REAL_ESTATE_MATERIALS,APARTMENT_QUALITY_SAFETY_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,housing_brand|presale_recovery,quality_recovery_plan|compensation_plan,not_green_if_fatal_accident_or_quality_cost_active,brand_recovery_priced_before_trust_repair,fatal_collapse|government_investigation|business_suspension|quality_cost|brand_damage,,fatal_collapse|government_investigation|business_suspension|quality_cost|brand_damage,safety|quality|investigation|brand,true,false,Residential builders cannot ignore safety and quality hard breaks.
LARGE_BUILDER_BALANCE_SHEET_DEFENSE,CONSTRUCTION_REAL_ESTATE_MATERIALS,LARGE_BUILDER_BALANCE_SHEET_DEFENSE,GREEN_POSSIBLE,22,18,20,16,8,10,6,large_builder_defense|overseas_infra_mix|pf_relief,balance_sheet_strength|project_diversification|guarantee_support|cashflow_defense,pf_exposure_decreases|cash_conversion_improves|cost_ratio_stable|op_eps_revision|unsold_units_decline,large_builder_relief_rally_crowded,pf_delinquency|cashflow_deterioration|provision_increase|cost_ratio_spike,pf_exposure_decreases|cash_conversion_improves|cost_ratio_stable|op_eps_revision|unsold_units_decline,pf_delinquency|cashflow_deterioration|provision_increase|cost_ratio_spike,pf|cash|cost_ratio|unsold_units,false,false,Large builders can be Stage 2/3 candidates only when PF exposure and cash conversion improve.
K_REIT_DIVIDEND_COVERAGE,CONSTRUCTION_REAL_ESTATE_MATERIALS,K_REIT_DIVIDEND_COVERAGE,WATCH_YELLOW_FIRST,22,20,22,14,8,8,6,rate_cut_expectation|high_dividend_yield|nav_discount,occupancy_stable|noi_affo_visible|ltv_managed|refinancing_rate_stable,affo_per_share_improves|dividend_coverage_stable|ltv_stable|occupancy_resilient,yield_rally_before_affo|rate_cut_priced,dividend_cut|ltv_spike|refinancing_failure|vacancy_increase,affo_per_share_improves|dividend_coverage_stable|ltv_stable|occupancy_resilient,dividend_cut|ltv_spike|refinancing_failure|vacancy_increase,dividend|ltv|refinancing|occupancy,false,false,"K-REIT yield needs AFFO/share, dividend coverage, LTV, and refinancing support before Green."
LOGISTICS_REIT_OCCUPANCY_KOREA,CONSTRUCTION_REAL_ESTATE_MATERIALS,LOGISTICS_REIT_OCCUPANCY_KOREA,GREEN_POSSIBLE,22,22,20,12,8,8,8,logistics_asset_recovery|rate_cut_expectation|warehouse_demand,occupancy|lease_rate|tenant_quality|noi_affo_visible,occupancy_resilient|rental_growth|affo_per_share_improves|ltv_stable,logistics_reit_rally_before_affo,vacancy_increase|tenant_default|ltv_spike|dividend_cut,occupancy_resilient|rental_growth|affo_per_share_improves|ltv_stable,vacancy_increase|tenant_default|ltv_spike|dividend_cut,vacancy|tenant|ltv|dividend,false,false,"Logistics REIT can be Green-capable only with occupancy, rent, AFFO/share, and leverage evidence."
BUILDING_MATERIALS_PRICE_COST_KOREA,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_PRICE_COST_KOREA,WATCH_YELLOW_FIRST,20,14,20,16,8,14,8,cement_price_hike|housing_transaction_recovery|product_mix_shift|overseas_investment,price_pass_through|energy_cost_stable|volume_defended|product_mix_improves,opm_fcf_improves|volume_defended|raw_material_cost_stable|specialty_mix_margin,price_hike_or_housing_cycle_rally,volume_decline|raw_material_cost_spike|price_pass_through_failure|integration_failure,opm_fcf_improves|volume_defended|raw_material_cost_stable|specialty_mix_margin,volume_decline|raw_material_cost_spike|price_pass_through_failure|integration_failure,volume|raw_material|housing_cycle|integration,false,false,"Building-material stories need price-cost-volume and mix evidence, not housing-cycle headlines alone."
