archetype,priority,focus,success_case_candidates,counterexample_candidates,required_alignment_fields,green_policy
TURNAROUND_COST_RESTRUCTURING,HIGH,적자에서 흑자 전환이 아니라 비용구조 변화와 FCF 지속성을 검증한다.,적자사업 매각 기업|비용구조 개선 제조/플랫폼|구조조정 후 순현금 전환 기업,일회성 비용절감 기업|구조조정 실패 기업|유동성 악화/유증 반복 기업,opm_improvement|fcf_improvement|net_debt_reduction|no_one_off_cost_cut,"Green only after durable OP/FCF improvement, not one-time cost cuts."
COMMODITY_SPREAD,REDTEAM,"Refining, chemical, steel/metal spread를 분리하고 중국 공급과잉/재고 반례를 채운다.",refining_spread_recovery|steel_spread_recovery|cost_curve_advantaged_metal_case,chemical_china_oversupply|spread_reversal|inventory_loss_after_price_spike,spread_data|op_eps_revision|inventory_status|capacity_or_supply_discipline,RedTeam-first; Green is very restricted without structural supply constraint.
AUTO_MOBILITY_COMPLETED_VEHICLE,MEDIUM,완성차는 hybrid/mix/shareholder return과 저PBR 프레임 해소를 검증한다.,Hyundai Motor hybrid/shareholder return|Kia mix/shareholder return,tariff_or_policy_margin_hit|peak_margin_after_buyback|recall_or_quality_cost,op_eps_revision|mix_improvement|fcf|shareholder_return_execution,Watch/Yellow first; Green needs ROE/FCF durability plus executed return.
AUTO_MOBILITY_COMPONENTS,MEDIUM,부품주는 고객 다변화와 원가전가가 완성차보다 더 중요하다.,ADAS_component_customer_diversification|electronics_mix_component|cost_pass_through_component,single_customer_dependency|ev_demand_slowdown_component|cost_pass_through_failure,customer_diversification|opm_improvement|cost_pass_through|inventory_status,Watch/Yellow first; Green needs multi-customer revenue and margin proof.
FINANCIAL_SPREAD_BALANCE_SHEET,HIGH,ROE-PBR-CET1-주주환원 실행으로 value trap을 분리한다.,KB금융|신한지주|하나금융|메리츠금융|삼성화재|DB손해보험,low_pbr_without_roe|pf_credit_cost_financial|capital_ratio_weak_insurer_or_broker,roe|pbr|cet1_or_capital_ratio|shareholder_return_execution|credit_cost,"Green-eligible only with ROE, capital strength, credit-cost control, and executed return."
VALUE_UP_SHAREHOLDER_RETURN,HIGH,"저PBR/지주 이벤트와 실제 자사주 소각, 반복 환원, NAV/FCF 개선을 분리한다.",SK Square buyback/cancellation|holding_company_repeat_return,buyback_without_cancel|event_premium_only_governance|subsidiary_value_impairment,nav_discount|buyback_cancellation|fcf_support|governance_execution,Green needs executed return and durable NAV/FCF support.
CDMO_HEALTHCARE_CONTRACT,HIGH,"CDMO는 pre-revenue biotech이 아니라 장기계약, capacity, 가동률, FCF archetype이다.",Samsung Biologics|Celltrion|Samsung Bioepis|global_cdmo_peer,capacity_overbuild|utilization_down|patent_litigation|price_competition,long_term_contract|capacity_utilization|customer_diversification|fcf_conversion,"Green-eligible after utilization, FCF, customer, and litigation checks."
BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH,Approval -> commercialization -> royalty/revenue 경로를 pre-revenue 임상 뉴스와 분리한다.,Yuhan/Lazertinib|Alteogen|royalty_visibility_biotech,clinical_headline_only|unclear_royalty_tech_transfer|partner_termination|cb_dilution,approval|commercialization|royalty_or_revenue|dilution_risk,Watch/Yellow by default; Green needs actual royalty/revenue conversion.
PLATFORM_SOFTWARE_INTERNET,WATCH,좋은 회사와 E2R 성공사례를 분리하고 ARPU/OPM/FCF를 확인한다.,NAVER_if_OP_FCF_rerates|Duzon_Bizon_SaaS_candidate,Kakao_governance_legal|MAU_only_platform|AI_cost_margin_pressure,arpu|take_rate|opm|fcf|governance_risk,"Watch/Yellow first; Green requires monetization, FCF, and low governance risk."
SHIPPING_FREIGHT_CYCLE,REDTEAM,EPS 폭발이 가능하지만 운임 정상화/overcapacity로 cycle boom-bust를 분리한다.,HMM_2020_2021_cycle|Maersk_boom_cycle,overcapacity_after_freight_peak|spot_rate_collapse|new_vessel_supply,freight_rate|contract_vs_spot|new_vessel_supply|op_eps_revision,Green highly restricted; classify boom-bust explicitly.
NUCLEAR_SMR_GRID_POLICY,WATCH,원전은 정책 + 수주 + 법적 리스크 + 기자재 매출화 archetype이다.,KHNP_Czech_if_contract_economics|Doosan_Enerbility|KEPCO_Engineering,legal_appeal_delay|policy_contract_delay|cost_overrun_or_project_delay,contract_economics|legal_risk|project_financing|supplier_revenue_path,Watch/Yellow first; use policy_contract_delay pattern when legal risk appears.
AI_DATA_CENTER_INFRASTRUCTURE,HIGH,"AI 데이터센터 capex가 전력기기, 전선, IDC, 냉각, PCB, ESS로 번지는지 검증한다.",HD현대일렉트릭/효성중공업 AI power|LS ELECTRIC/전선|이수페타시스|cooling_hvac_candidate,ai_keyword_without_order|ai_capex_cut|data_center_project_delay,confirmed_order|customer_capex_visibility|capacity_bottleneck|op_eps_revision,"Green-eligible with orders, bottleneck, EPS revision, and project delay checks."
MEMORY_HBM_CAPACITY,HIGH,SK Hynix류 성공과 4B-watch를 동시에 캘리브레이션한다.,SK_Hynix_stage3_success|Samsung_memory_recovery_candidate,simple_dram_rebound|sk_hynix_4b_watch_after_large_run|ai_capex_or_price_downturn,hbm_demand|memory_price|supply_discipline|long_term_contract_or_prepayment|revision,"Green-eligible early; after massive rerating, move to 4B-watch diagnostics."
