target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop3_penalty_axes,gate_only,production_scoring_changed
FINANCIAL_SPREAD_BALANCE_SHEET,korea_discount_policy|commercial_act_revision|bank_low_pbr|financial_valueup_news,roe_improvement|cet1_stable|credit_cost_down|dividend_or_buyback_execution,pbr_roe_frame_change|recurring_return_policy|roe_stable|credit_risk_stable,financial_valueup_crowded|pbr_band_above_history|roe_before_price_gap_closed,credit_cost_spike|pf_loss|cet1_deterioration|return_policy_retreat|tax_policy_shock,credit_cost|pf_exposure|cet1_deterioration|return_policy_retreat|tax_policy_shock,credit_cost|pf_exposure|cet1|tax_policy,false,false
INSURANCE_UNDERWRITING_CYCLE,loss_ratio_improvement|csm_growth|insurance_valueup_news,roe_improvement|k_ics_stable|dividend_or_buyback_execution|csm_quality,pbr_roe_rerating|repeat_underwriting_quality|capital_ratio_stable|return_policy_repeatable,insurance_valueup_crowded|pbr_normalized|dividend_yield_chasing,loss_ratio_worse|k_ics_deterioration|alternative_investment_loss|csm_quality_damage,loss_ratio|k_ics_deterioration|investment_loss|csm_quality_damage,loss_ratio|k_ics|investment_loss|csm_quality,false,false
SECURITIES_BROKERAGE_CYCLE,trading_value_growth|market_rally|ipo_ib_recovery_expectation,brokerage_revenue_growth|ib_fee_growth|op_eps_revision,pf_risk_low|roe_structure_improved|ib_pipeline_durable,brokerage_cycle_peak|securities_group_overheated|trading_value_peak,transaction_tax_change|capital_gains_tax_change|trading_value_drop|pf_loss|proprietary_trading_loss,tax_policy_shock|trading_value_drop|pf_loss|proprietary_loss,trading_value|tax_policy|pf_loss|proprietary_loss,false,false
VALUE_UP_SHAREHOLDER_RETURN,commercial_act_revision|dividend_tax_reform|valueup_index|buyback_policy_news,treasury_share_cancellation|dividend_growth|roe_improvement|shareholder_return_execution,pbr_nav_discount_narrows|repeat_return_policy|capital_allocation_execution|pbr_roe_band_shift,valueup_crowded_trade|pbr_band_rerated_before_execution|policy_premium_fully_priced,no_cancellation|activist_rejection|capital_allocation_retreat|controlling_shareholder_risk,no_cancellation|execution_failure|low_roe|controlling_shareholder_risk|buyback_only,execution_failure|buyback_only|low_roe|policy_only,false,false
HOLDING_RESTRUCTURING_GOVERNANCE,nav_discount|subsidiary_value_gap|activist_or_buyback_news,buyback_cancel|independent_director|dividend_policy|governance_improvement,nav_discount_narrows|repeat_capital_return|minority_protection|subsidiary_value_supported,holding_valueup_crowded|nav_discount_compression_priced,activist_rejection|governance_battle|share_issuance_defense|minority_shareholder_value_damage,governance_battle|event_premium|share_issuance_defense|minority_conflict,event_premium|governance_battle|share_issuance|debt_ratio_jump,false,false
EVENT_PREMIUM_GOVERNANCE_BATTLE,tender_offer|hostile_takeover|management_control_battle|governance_event,event_premium_detected|deal_terms_known,not_structural_green_by_default,control_premium_fully_priced|event_spread_crowded,share_issuance_after_tender|unfair_trading_probe|capital_structure_risk|minority_shareholder_damage,tender_offer|governance_event|event_premium|share_issuance_after_tender|capital_structure_risk,event_premium|governance_battle|capital_structure|hostile_takeover,false,false
PAYMENT_FINTECH_INFRA,active_users_growth|global_expansion|payment_remittance_finance_service,payment_volume|take_rate|financial_service_attach|profit_or_fcf,repeat_financial_infra_revenue|regulatory_stability|security_clean|credit_loss_control,ipo_valuation_overheated|user_count_story_crowded,security_incident|credit_loss_rate_up|take_rate_pressure|regulatory_sanction,take_rate_pressure|security_incident|credit_loss|regulatory_sanction|user_count_only,take_rate|fcf|security|credit_loss|ipo_valuation,false,false
DIGITAL_ASSET_TOKENIZATION,stablecoin_sto_bill|tokenization_business_entry|partnership_news,regulatory_approval|issued_amount|transaction_volume|fee_model|reserve_disclosure,payment_custody_settlement_infra|repeat_revenue|reserve_transparency|convertibility_clear,stablecoin_law_expectation_crowded|sto_theme_rally,depeg|convertibility_failure|reserve_problem|regulatory_rejection|fraud,depeg|reserve_opacity|convertibility_risk|fraud|regulatory_rejection,reserve|convertibility|regulated_revenue|fee_model,false,false
REGULATED_STABLECOIN_INFRA,stablecoin_law|fiat_backed_issuer|stablecoin_ipo|payment_partnership,regulatory_approval|reserve_asset_disclosure|issued_amount|transaction_volume|redemption_system,payment_settlement_infra|repeat_fee_or_reserve_revenue|reserve_transparency|redemption_at_par,stablecoin_infra_valuation_overheated|ipo_rally_crowded,depeg|reserve_failure|issuer_margin_compression|regulatory_economics_break,reserve_opacity|convertibility_risk|depeg|algorithmic_design|regulatory_economics_break,reserve|redemption|issuer_margin|regulation,false,false
ALGORITHMIC_STABLECOIN_FAILURE,algorithmic_stablecoin|depeg_warning|reserve_design_unclear,risk_event_detected,not_applicable_gate_only,not_applicable_gate_only,depeg|reserve_failure|convertibility_failure|liquidity_run|fraud|algorithmic_stablecoin_failure,algorithmic_stablecoin|depeg|reserve_failure|fraud|run_risk,depeg|reserve_failure|algorithmic|fraud,true,false
