target_id,large_sector,canonical_archetype,posture,eps_fcf_opm,contract_visibility,capa_utilization_line_conversion,structural_demand_shift,early_price_validation,safety_regulatory_disclosure,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,hard_gate,production_scoring_changed,normalization_point
ESS_LFP_GRID_STORAGE_KOREA,BATTERY_EV_GREEN,ESS_LFP_GRID_STORAGE_KOREA,GREEN_POSSIBLE,24,22,14,12,10,8,10,ess_growth|lfp_ess|data_center_power|ev_line_conversion,ess_contract_value|supply_period|production_start_2027|line_conversion|price_reaction,ess_revenue_recognition|ess_opm|converted_line_utilization|repeat_ess_contract|fcf_improvement,ess_basket_crowded|contract_priced_before_margin,customer_undisclosed|line_conversion_delay|ess_margin_miss|revenue_recognition_delay,customer_or_use_case|contract_value|supply_period|utilization|ess_opm|fcf_conversion,customer_undisclosed|opm_missing|utilization_missing|line_conversion_delay,customer_disclosure|opm_utilization|line_conversion,false,false,"Samsung SDI-style ESS LFP contract is Stage 2 strong, but Stage 3 waits for OPM, utilization, revenue recognition, and repeat contracts."
EV_TO_ESS_CAPACITY_REDEPLOYMENT_KOREA,BATTERY_EV_GREEN,EV_TO_ESS_CAPACITY_REDEPLOYMENT_KOREA,WATCH_YELLOW_FIRST,20,19,18,14,9,8,8,ev_demand_slowdown|ev_line_to_ess|storage_redeployment,line_conversion_plan|ess_customer_contract|converted_line_capacity|production_start,converted_line_utilization|ess_opm|ev_idle_cost_offset|fcf_conversion,ev_failure_reframed_as_ess_crowded|redeployment_priced_before_utilization,conversion_cost_increase|low_utilization|ess_contract_absent|ev_write_down_continues,ess_customer_contract|converted_line_utilization|ess_opm|fcf_conversion,low_utilization|conversion_cost|contract_absent|ev_write_down,utilization|conversion_cost|contract_absent,false,false,"EV-to-ESS redeployment is positive only if idle EV fixed cost is offset by real ESS contracts, utilization, and margin."
ANODE_GRAPHITE_SUPPLYCHAIN_KOREA,BATTERY_EV_GREEN,ANODE_GRAPHITE_SUPPLYCHAIN_KOREA,WATCH_YELLOW_FIRST,20,22,12,16,10,8,8,graphite_dependency|us_graphite_tariff|ira_feoc_supply_chain|anode_material,six_year_graphite_offtake|monthly_tonnage|expansion_option|quarterly_price_negotiation,anode_revenue|gross_margin|customer_reorder|china_substitution_actual|fcf,tariff_event_rally_20pct|graphite_keyword_crowded,quality_or_supply_capacity_issue|quarterly_pricing_margin_risk|anode_opm_missing|customer_adoption_missing,graphite_offtake|tonnage|customer_adoption|anode_margin|fcf_conversion,opm_missing|quality_risk|quarterly_price_risk|event_rally,event_rally|pricing_risk|opm_missing,false,false,Graphite supply security is Stage 2 evidence; tariff-driven rallies need 4B-watch before anode revenue and margin are visible.
CATHODE_LONG_CONTRACT_VISIBILITY,BATTERY_EV_GREEN,CATHODE_LONG_CONTRACT_VISIBILITY,WATCH_YELLOW_FIRST,21,22,12,12,9,8,8,cathode_contract|cathode_plant_ownership|north_america_supply_chain|china_dependency_reduction,long_term_order|customer_name|plant_stake_realign|ownership_change|supply_chain_realignment,plant_utilization|customer_contract|opm_fcf_improvement|lithium_pass_through_stable,cathode_policy_rally|ownership_event_priced_before_margin,asp_linked_to_lithium_downturn|margin_compression|customer_concentration|opm_missing,customer_contract|plant_utilization|opm_fcf|price_pass_through,opm_missing|customer_concentration|lithium_asp_downturn|margin_compression,margin|lithium_price|customer_concentration,false,false,"Cathode visibility requires long-term orders plus margin and utilization, not just ownership or supply-chain realignment."
LITHIUM_RESOURCE_SECURITY_KOREA,BATTERY_EV_GREEN,LITHIUM_RESOURCE_SECURITY_KOREA,WATCH_YELLOW_FIRST,18,20,10,16,8,8,8,lithium_resource_security|mine_stake|spodumene|offtake,mine_name|jv_stake|deal_value|spodumene_rights,low_cost_offtake|material_margin_improvement|fcf_improvement|cycle_bottom_evidence,resource_security_narrative_priced|lithium_rebound_crowded,lithium_price_long_weakness|impairment|capex_burden|offtake_economics_missing,offtake_economics|low_cost_structure|margin_benefit|fcf_improvement,lithium_cycle|impairment|capex_burden|offtake_missing,commodity_cycle|capex|impairment,false,false,Lithium resource security is Stage 2; commodity cycle and FCF proof cap Stage 3.
BATTERY_MATERIALS_CAPEX_OVERHEAT_KOREA,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT_KOREA,REDTEAM_FIRST,14,12,10,8,8,8,6,precursor_vertical_integration|cathode_material_capa|ipo_or_capa_narrative,ipo|capa_expansion|customer_supply_chain_exposure,not_green_until_utilization_margin_fcf_and_customer_demand_recover,retail_investor_rally|materials_theme_crowded|capa_narrative_priced,weak_ev_demand|mineral_price_drop|operating_loss|customer_strategy_retreat|capa_overbuild,utilization|margin|fcf|customer_demand,weak_ev_demand|operating_loss|customer_strategy_risk|mineral_price_drop,ev_demand|losses|customer_strategy|capa_overbuild,false,false,Battery materials CAPA is RedTeam-first in Loop 11 because EV demand and mineral prices can break the story quickly.
SEPARATOR_EV_DEMAND_CYCLE,BATTERY_EV_GREEN,SEPARATOR_EV_DEMAND_CYCLE,REDTEAM_FIRST,12,12,8,8,7,8,5,separator_demand|ev_battery_shipments|panasonic_or_sk_on_customer,separator_customer_exposure|capacity_plan|utilization_signal,not_green_until_utilization_margin_and_customer_diversification_recover,separator_rebound_priced_before_ev_recovery,ev_demand_slowdown|sk_on_loss_expansion|sale_review|utilization_risk|customer_capex_cut,utilization_recovery|margin|customer_diversification,ev_demand_slowdown|sale_review|utilization_risk|loss_expansion,ev_demand|utilization|sale_review,false,false,Separator exposure is Watch/Red because EV battery shipment slowdown directly hits utilization.
ELECTROLYTE_CAPA_SUPPLYCHAIN,BATTERY_EV_GREEN,ELECTROLYTE_CAPA_SUPPLYCHAIN,WATCH_YELLOW_FIRST,18,17,12,10,8,8,7,electrolyte_capa|electrolyte_supply_chain|customer_capa_plan,customer_contract|capa_ramp|regional_supply_chain|shipment_schedule,electrolyte_revenue|opm|customer_diversification|fcf_conversion,electrolyte_capa_theme_crowded,customer_contract_missing|price_pressure|utilization_miss|single_customer,customer_contract|shipment|opm|fcf_conversion,contract_missing|utilization_miss|price_pressure,contract_missing|utilization|price_pressure,false,false,"Electrolyte CAPA can be Stage 1/2; Green waits for customer, OPM, and FCF backfill."
SILICON_ANODE_COMMERCIALIZATION,BATTERY_EV_GREEN,SILICON_ANODE_COMMERCIALIZATION,WATCH_YELLOW_FIRST,17,16,13,10,8,8,7,silicon_anode|energy_density|potential_cell_customers,customer_qualification|pilot_volume|commercialization_schedule,commercial_volume_revenue|asp_margin|customer_diversification|op_eps_revision,silicon_anode_theme_crowded|commercialization_priced_before_volume,qualification_delay|commercial_volume_missing|margin_unknown|cash_burn,commercial_volume|customer_qualification|asp_margin|op_eps_revision,commercial_volume_missing|qualification_delay|margin_unknown,commercialization|volume|margin,false,false,Silicon anode is Stage 1/2 before commercial volume and margin proof.
EVENT_LITHIUM_PRICE_RALLY,BATTERY_EV_GREEN,EVENT_LITHIUM_PRICE_RALLY,REDTEAM_FIRST,event,event,event,event,event,event,event,catl_mine_suspension|lithium_price_rebound|battery_materials_price_rally,one_day_10pct_rally|sentiment_driven_lithium_supply_shock,not_green_without_contract_margin_fcf_customer_demand,one_day_10_20pct_event_rally|lithium_keyword_crowding,mine_license_renewed|supply_resumes|lithium_price_redeclines|op_eps_not_following,,event_rally_only|contract_missing|margin_missing|demand_missing,event_rally|commodity_cycle|op_eps_missing,true,false,"Lithium mine suspension rallies are event premium, not structural Stage 3 evidence."
CONTRACT_CANCELLATION_CUSTOMER_STRATEGY_RISK,BATTERY_EV_GREEN,CONTRACT_CANCELLATION_CUSTOMER_STRATEGY_RISK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,customer_strategy_change|ev_model_cancel|supply_contract_review|battery_content_cut,risk_event_detected,not_green_until_customer_strategy_and_contract_visibility_recovered,positive_capa_story_ignores_customer_strategy_risk,customer_contract_cancelled|automaker_ev_retreat|factory_idle|operating_loss|expected_revenue_loss,customer_strategy_stable|contract_reaffirmed|utilization_recovered,customer_strategy_risk|contract_cancelled|factory_idle|losses,customer_strategy_risk|contract_cancelled|factory_idle|losses,true,false,Customer EV strategy retreat and contract cancellation are hard 4C gates.
DISCLOSURE_CONFIDENCE_CAP,BATTERY_EV_GREEN,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,cap,cap,cap,cap,cap,+,cap,battery_contract_headline|opendart_list_only|customer_confidential,detail_fetched|contract_amount|counterparty|contract_period|gwh_or_tonnage,multi_source_confirmation|contract_terms_verified|opm_utilization_visible,undisclosed_battery_contract_theme_crowded,customer_undisclosed|amount_missing|period_missing|margin_unknown|production_start_unknown,customer|amount|period|gwh_or_tonnage|opm|utilization,detail_missing|customer_undisclosed|margin_unknown|production_start_unknown,disclosure_confidence|detail_missing,false,false,"Battery contract headlines cannot support Stage 3-Green until customer, amount, period, GWh/tonnage, margin, and utilization are verified."
