sub_archetype,large_sector,canonical_archetype,posture,theme_tags,must_have_evidence,red_flag_evidence,score_weight_profile,case_candidates
RETAIL_CONVENIENCE_OFFLINE,CONSUMER_RETAIL_BRAND,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,편의점|홈쇼핑|음식료-유통|PB상품,same_store_sales|opm_improvement|pb_mix|fcf_improvement,rent_wage_pressure|traffic_only|inventory_build|online_competition,retail_operating_leverage,convenience_store_efficiency_success_candidate|home_shopping_margin_decline_counterexample
ECOMMERCE_FRESH_LOGISTICS,CONSUMER_RETAIL_BRAND,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,마켓컬리|오아시스|콜드체인|새벽배송,unit_economics|repeat_orders|logistics_margin|revenue_conversion,event_premium_only|traffic_without_profit|delivery_cost_pressure,fresh_ecommerce_unit_economics,ecommerce_fresh_logistics_candidate|china_direct_purchase_margin_pressure_counterexample
INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,손해보험|생명보험|화재|고배당주,loss_ratio|csm_growth|capital_ratio|shareholder_return_execution,loss_ratio_worsening|capital_ratio_weak|credit_cost|return_policy_retreat,insurance_underwriting_valueup,nonlife_insurance_loss_ratio_success_candidate|life_insurance_csm_candidate
PAYMENT_FINTECH_INFRA,FINANCIAL_CAPITAL_DIGITAL,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,결제서비스|토스 관련주|지역화폐|신용정보,transaction_volume|take_rate|institutional_adoption|fee_model,law_delay|security_issue|no_revenue|take_rate_pressure,payment_infra_monetization,stablecoin_payment_infra_candidate|sto_platform_candidate
DIGITAL_ASSET_TOKENIZATION,FINANCIAL_CAPITAL_DIGITAL,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,스테이블코인|STO|디지털자산|블록체인|NFT,regulation_approval|issued_volume|fee_model|institutional_adoption,law_delay|security_issue|no_revenue|theme_only_tokenization,digital_asset_regulated_revenue,crypto_theme_no_revenue_counterexample|regulation_crackdown_4c
BEAUTY_OEM_ODM_SUPPLYCHAIN,CONSUMER_RETAIL_BRAND,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,화장품 OEM|화장품 ODM|화장품 원재료|화장품 부자재,customer_diversification|repeat_orders|capacity_utilization|opm_roe_improvement,china_dependency|channel_stuffing|receivables_spike|tariff_regulation,beauty_supply_chain_export,kbeauty_oem_odm_success_candidate|channel_stuffing_receivables_4c
AGRI_LIVESTOCK_FOOD_COMMODITY,EDUCATION_LIFE_AGRI_MISC,COMMODITY_SPREAD,REDTEAM_FIRST,양돈주|육계주|배합사료|대두|참치 원양어업,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,food_commodity_cycle_cap,pork_price_cycle_candidate|feed_cost_squeeze_counterexample
BUILDING_MATERIALS_CYCLE,CONSTRUCTION_REAL_ESTATE_MATERIALS,COMMODITY_SPREAD,REDTEAM_FIRST,건자재|시멘트|레미콘|콘크리트|철근|가구|거푸집,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure,building_materials_credit_cycle,cement_price_hike_candidate|housing_slowdown_materials_4c
RENEWABLE_ENERGY_POLICY,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,풍력|탄소배출권|신재생에너지|전력망|스마트그리드,project_backlog|policy_support|utilization|margin_visibility,subsidy_cut|project_delay|tariff_issue|utilization_down,renewable_policy_project_economics,heatwave_power_demand_candidate|disaster_rebuild_materials_event
HYDROGEN_FUEL_CELL_INFRA,BATTERY_EV_GREEN,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,수소차 연료전지|수소차 인프라|수소차 기타부품,commercial_revenue|production_capacity|customer_demand|cost_curve,policy_dependency|no_revenue|utilization_down|project_delay,hydrogen_commercial_economics,hydrogen_fuel_cell_plant_candidate|hydrogen_theme_no_revenue_counterexample
