case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
john_deere_autonomous_agri_stage1_case,AGRI_MACHINERY_PRECISION_CYCLE,DE,John Deere autonomous agriculture technology,US,success_candidate,AGRI_MACHINERY_PRECISION_CYCLE,WATCH_YELLOW_FIRST,2025-01-07,,,,,autonomous_tractor|precision_agriculture|labor_shortage_solution|input_precision,farm_income|financing_cost|adoption_rate_unverified,precision_agri_stage1_success_candidate,needs_price_backfill,false,"Autonomous agriculture technology is useful Stage 1 evidence, but equipment sales, ROI, and software attachment must verify it."
deere_farm_equipment_demand_slowdown_case,AGRI_MACHINERY_PRECISION_CYCLE,DE,Deere farm equipment demand slowdown,US,4c_thesis_break,AGRI_MACHINERY_PRECISION_CYCLE,WATCH_YELLOW_FIRST,2025-02-13,,,,2025-02-13,equipment_sales_decline|farm_income_weakness|high_borrowing_cost,farm_income_weakness|high_borrowing_cost|equipment_sales_decline,technology_success_but_cycle_watch,needs_price_backfill,false,Precision agriculture can be promising while the machinery company is still capped by farm-income and financing cycles.
zoetis_bird_flu_vaccine_conditional_case,ANIMAL_HEALTH_BIOSECURITY,ZTS,Zoetis bird flu vaccine conditional clearance,US,success_candidate,ANIMAL_HEALTH_BIOSECURITY,WATCH_YELLOW_FIRST,2025-02-14,2025-02-14,,,,vaccine_conditional_approval|government_stockpile|biosecurity_demand,emergency_license|government_policy_uncertain|one_off_stockpile,animal_health_event_to_contract_candidate,needs_price_backfill,false,"Conditional approval and stockpile rebuilding can move disease news toward Stage 2, but recurring use must be checked."
calmaine_egg_price_profit_case,AGRI_LIVESTOCK_FOOD_COMMODITY,CALM,Cal-Maine egg price profit cycle,US,cyclical_success,AGRI_LIVESTOCK_FOOD_COMMODITY,REDTEAM_FIRST,2025-04-09,2025-04-09,,2025-04-09,,egg_price_spike|avian_flu_supply_shock|op_profit_increase,price_normalization|disease_normalization|government_inquiry,cyclical_success_candidate_regulatory_watch,needs_price_backfill,false,"Egg-price profit spikes can be real cyclical success, but price normalization and investigations cap Green."
multiverse_ai_training_case,EDUCATION_SPECIALTY_SERVICES,MULTIVERSE_PRIVATE,Multiverse AI workforce training,UK,success_candidate,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,2026-05-01,2026-05-01,,,,ai_training|enterprise_contract|apprenticeship_platform|cash_positive_quarter,loss_expansion|completion_rate|education_budget_cycle,adult_ai_training_success_candidate_but_profitability_watch,needs_price_backfill,false,"B2B AI workforce training can become a candidate, but losses and completion rates must be verified."
duolingo_ai_strategy_bookings_miss_case,EDUCATION_SPECIALTY_SERVICES,DUOL,Duolingo AI strategy and softer bookings,US,4c_thesis_break,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,2026-02-26,,,,2026-02-26,ai_speaking_feature|user_growth_priority|bookings_outlook_miss,bookings_miss|monetization_pressure|ai_cost,education_app_monetization_4c_watch,needs_price_backfill,false,Education apps need bookings and monetization; AI features and user growth alone can still break the thesis.
coway_rental_recurring_case,HOME_LIVING_APPLIANCE_RENTAL,021240,Coway rental recurring service model,KR,success_candidate,HOME_LIVING_APPLIANCE_RENTAL,WATCH_YELLOW_FIRST,,,,,,rental_accounts|filter_service_revenue|care_service_revenue|overseas_accounts,rental_churn|competition|overseas_margin,recurring_home_service_candidate,needs_price_backfill,false,"Rental accounts and care services are stronger than one-time appliance sales, but churn and overseas margin remain required fields."
juul_fda_approval_case,CONSUMER_REGULATED_PRODUCT,JUUL_PRIVATE,Juul FDA tobacco and menthol e-cigarette approval,US,success_candidate,CONSUMER_REGULATED_PRODUCT,WATCH_YELLOW_FIRST,2025-07-17,2025-07-17,,,,fda_approval|sales_authorization|repeat_consumption,youth_usage_controversy|policy_reversal|license_scope,regulated_consumer_approval_stage2_candidate,needs_price_backfill,false,"Regulatory approval can change Stage materially, but scope, channels, social backlash, and reversal risk remain core checks."
bowery_vertical_farming_shutdown_case,SMART_FARM_AGRI_TECH,BOWERY_PRIVATE,Bowery vertical farming shutdown,US,4c_thesis_break,SMART_FARM_AGRI_TECH,WATCH_YELLOW_FIRST,2024-11-05,,,,2024-11-05,vertical_farming|premium_pricing_failure|unit_economics_failure,unit_economics_failure|energy_cost|premium_pricing_failure|capex_burden,vertical_farming_unit_economics_4c,needs_price_backfill,false,Vertical farming can fail when consumers do not pay enough premium to cover energy and capex.
appharvest_chapter11_case,SMART_FARM_AGRI_TECH,APPH,AppHarvest Chapter 11,US,4c_thesis_break,SMART_FARM_AGRI_TECH,WATCH_YELLOW_FIRST,2023-07-24,,,,2023-07-24,vertical_farming|chapter11|greenhouse_sale,chapter11|capex_burden|unit_economics_failure|labor_or_safety_issue,smart_farm_hard_4c,needs_price_backfill,false,Hydroponics/greenhouse capex without unit economics can become hard 4C.
