target_id,stage1,stage2,stage3,stage4b,stage4c,loop2_penalty_axes,gate_only,production_scoring_changed
BATTERY_MATERIALS_CAPEX_OVERHEAT,ev_growth_narrative|long_term_supply_contract|capa_expansion_news|mineral_price_rebound,real_contract|price_margin_improvement|op_eps_revision|line_utilization,long_term_contract|price_pass_through|fcf_after_capex|demand_visibility,per_pbr_overheat|capa_race|target_price_crowding,ev_demand_slowdown|raw_material_price_drop|capa_overbuild|customer_contract_cancelled|plant_idle,ev_demand_slowdown|capa_overbuild|contract_cancellation|mineral_price,false,false
BATTERY_EQUIPMENT_PARTS,battery_equipment_order|cell_customer_capex|delivery_schedule_keyword,customer_order|delivery_schedule|margin_visibility|revenue_conversion,order_to_revenue_conversion|customer_diversification|op_eps_revision,equipment_capex_cycle_crowded|cell_capex_peak,customer_capex_cut|delivery_delay|margin_miss|single_customer,customer_capex_cut|delivery_delay,false,false
BATTERY_RECYCLING_ESS_SHIFT,ess_shift|battery_recycling|lfp_ess_production|black_mass|second_life_battery,ess_customer_contract|ess_contract_value|ess_contract_duration|recycling_volume|metal_recovery_revenue,recurring_ess_or_recycling_fcf|ess_margin|capacity_utilization|ev_slowdown_offset,ess_narrative_crowded|recycling_premium_overheat,recycling_volume_shortfall|metal_price_drop|ess_margin_miss|customer_demand_slowdown,ess_margin|recycling_volume|contract_value_missing,false,false
EV_INFRASTRUCTURE,charging_station|charger_installation|ev_infrastructure_policy|fast_charging,utilization|recurring_revenue|subsidy_visibility,profitable_utilization|repeat_revenue|subsidy_independent_margin,ev_charging_theme_crowded,low_utilization|subsidy_cut|fire_regulation|maintenance_cost,utilization|fire_regulation|subsidy_dependency,false,false
HYDROGEN_FUEL_CELL_INFRA,hydrogen_fuel_cell_factory|hydrogen_policy|electrolyzer_or_commercial_vehicle|hydrogen_capex,customer_or_demand_source|production_capacity|delivery_contract|plant_completion_date,utilization|op_eps_conversion|subsidy_independent_economics,hydrogen_theme_overheat,subsidy_cut|customer_absent|low_utilization|project_delay,customer_absent|utilization|subsidy_dependency,false,false
SOLAR_TARIFF_SUPPLYCHAIN,solar_factory|subsidy_policy|module_or_cell_demand|us_factory,utilization|customer_contract|supply_chain_stable|op_turnaround,subsidy_independent_fcf|supply_chain_clean|margin_visible,solar_manufacturing_narrative_crowded|subsidy_premium,tariff_risk|customs_detention|uflpa_detention|feoc_risk|worker_furlough|production_disruption,customs|tariff|uflpa|supply_chain_disruption,false,false
RENEWABLE_ENERGY_POLICY,wind_or_renewable_project|carbon_policy|ppa_or_project_news,permitted_project|funding_visible|cost_schedule_visible|construction_start,project_economics|op_eps_conversion|cost_controlled|repeat_project_backlog,renewable_policy_crowded|project_premium,permitting_delay|financing_cost|cost_overrun|project_delay|impairment|foundation_cost,rates|cost_overrun|permitting|impairment,false,false
ENERGY_DISTRIBUTION_FUEL,lng_or_lpg_distribution|fuel_spread|energy_price_move,spread_improvement|inventory_status|demand_visibility,repeat_spread_margin|fcf_defense|capital_allocation_disciplined,fuel_spread_crowded,energy_price_reversal|inventory_loss|tariff_or_policy_shock,energy_price|inventory|policy,false,false
WASTE_RECYCLING_ENVIRONMENT,waste_treatment_platform|recycling_demand|permit_value|waste_to_energy,treatment_volume|long_term_contract|utilization|fcf_visible,permit_asset|recurring_fcf|valuation_frame_change|mna_value_support,waste_mna_premium_crowded|permit_value_fully_priced,utilization_drop|capex_burden|metal_price_drop|regulatory_cost,utilization|capex|metal_price,false,false
CARBON_CREDIT_CBAM_COMPLIANCE,eu_ets_or_cbam_policy|carbon_accounting|compliance_monitoring,carbon_accounting_revenue|verification_revenue|low_carbon_product_premium,recurring_compliance_revenue|cost_pass_through|industrial_customer_base,carbon_price_theme_crowded,carbon_price_drop|free_allowance_expansion|greenwashing_risk|policy_delay,policy_reform|carbon_price|greenwashing,false,false
DATA_CENTER_WATER_REUSE_INFRA,ai_datacenter_water_use|water_reuse|closed_loop_cooling|water_treatment,data_center_customer|reuse_project|contracted_revenue,repeat_water_reuse_revenue|margin_visible|local_permit_support,water_reuse_theme_crowded,customer_absent|local_opposition|unit_economics_weak|permitting_delay,customer_absent|local_opposition|economics,false,false
EV_FIRE_RISK_OVERLAY,ev_fire|battery_recall|insurance_cost|regulatory_investigation|battery_certification,risk_event_detected,not_applicable_gate_only,not_applicable_gate_only,battery_fire|certification_requirement|battery_supplier_disclosure|recall|insurance_cost|parking_charging_regulation,fire|certification|recall|insurance,true,false
